,Id,ExternalId,Name,Precursor,PrecursorType,RetentionTime,Significance,ClusterId,Consensus,Reference,Clusterable,ChromatographyType,FileId,IntegerMz,Mass,Formula,TopMz1,TopMz2,TopMz3,TopMz4,TopMz5,TopMz6,TopMz7,TopMz8,TopMz9,TopMz10,TopMz11,TopMz12,TopMz13,TopMz14,TopMz15,TopMz16
17128,2147581,,Unknown,,,,,1265186.0,1,0,0,GAS,,0,,,149.0447,43.0542,73.0468,207.0324,42.9998,299.0709,217.1078,225.0591,281.0509,209.012,429.0893,147.0655,44.9791,319.1576,69.07,191.092
17153,2147606,,"Ethanol, TMS derivative",,,,,1265211.0,1,0,0,GAS,,0,,,103.0211,75.0261,73.0469,121.0285,104.0257,115.0574,46.9948,44.9792,76.0257,105.0337,45.0155,59.0312,93.0367,85.0468,187.1117,61.0105
17201,2147654,,"L-Tryptophan, 3TMS derivative",,,,,1265259.0,1,0,0,GAS,,0,,,202.1047,73.0468,203.0915,291.1505,239.2368,43.0542,42.9998,45.0155,200.0711,218.1023,240.1232,147.0655,204.0997,81.0699,83.0492,207.0324
17271,2147724,,Unknown,,,,,1265329.0,1,0,0,GAS,,0,,,92.9922,123.0029,75.0261,124.9999,94.9894,73.0469,55.0543,103.0574,93.9919,124.0024,165.0546,45.0156,115.0574,44.9792,207.0325,46.9948
17276,2147729,,Unknown,,,,,1265334.0,1,0,0,GAS,,0,,,92.9924,123.0028,75.0262,94.9893,124.9998,73.0469,152.0527,166.0626,103.0576,55.0544,93.9919,124.0023,45.0156,165.0545,44.9792,46.9949
17425,2147878,,1-(2-(3-Cyclohexenyl)ethyl)silatrane,,,,,1265483.0,1,0,0,GAS,,0,,,174.1127,175.1123,176.1098,454.4266,457.2873,73.0468,86.0421,380.3715,43.0542,100.0575,42.9998,281.0509,111.1168,455.4296,458.2894,191.0007
17680,2148133,,"Nonaethylene glycol, 2TMS derivative",,,,,1265738.0,1,0,0,GAS,,0,,,73.0468,117.0731,161.1166,87.0261,45.0156,116.0654,75.0261,101.0418,89.0417,207.0324,74.0463,103.0211,71.0856,42.9998,43.0542,281.0509
17718,2148171,,Unknown,,,,,1265776.0,1,0,0,GAS,,0,,,73.0468,117.0731,161.1165,87.0261,45.0155,116.0654,75.0261,89.0417,101.0418,43.0542,71.0856,85.1011,57.0699,74.0463,103.0211,42.9998
17719,2148172,,Unknown,,,,,1265777.0,1,0,0,GAS,,0,,,73.0468,117.073,75.026,131.0342,129.0732,173.1355,159.0651,45.0155,74.0463,44.9792,253.0168,221.084,143.0886,50.0151,76.0256,144.0921
17739,2148192,,Unknown,,,,,1265797.0,1,0,0,GAS,,0,,,345.1601,255.1237,346.1677,42.9998,239.0731,128.0891,257.1028,347.1534,85.0468,183.0835,109.1014,43.0542,419.1731,225.0591,419.1938,77.0217
17783,2148236,,Unknown,,,,,1265841.0,1,0,0,GAS,,0,,,73.0468,161.0825,161.1166,117.0731,205.1076,45.0156,89.0417,42.9998,133.0502,57.0699,43.0542,187.1117,249.1395,105.0732,215.1795,121.0648
17869,2148322,,Unknown,,,,,1265927.0,1,0,0,GAS,,0,,,207.0324,281.051,225.059,208.0323,253.0168,42.9998,282.0506,71.0855,69.0699,226.0584,43.0542,271.0277,133.0135,151.0415,75.0261,327.0352
17965,2148418,,Unknown,,,,,1266023.0,1,0,0,GAS,,0,,,207.0325,225.0528,341.0171,281.0509,267.0094,253.017,315.0308,324.9971,43.0542,327.0355,326.9656,248.9888,191.0008,75.0261,42.9998,111.1168
18038,2148491,,Unknown,,,,,1266096.0,1,0,0,GAS,,0,,,73.0468,117.073,161.1165,87.0261,207.0324,116.0654,42.9998,45.0155,147.0655,89.0417,75.0261,43.0542,101.0418,341.0185,281.0508,191.0013
18131,2148584,,Unknown,,,,,1266189.0,1,0,0,GAS,,0,,,85.1011,71.0856,57.0699,43.0542,99.1167,113.1326,127.148,141.1639,326.9656,155.1795,50.0151,169.1812,42.9998,207.0324,225.059,70.0778
18132,2148585,,Unknown,,,,,1266190.0,1,0,0,GAS,,0,,,207.0323,225.0589,332.0772,221.084,297.1392,99.1169,221.1353,44.0077,155.0156,429.0889,355.0693,266.9997,341.0185,209.0278,191.0013,44.0576
18171,2148624,,Unknown,,,,,1266229.0,1,0,0,GAS,,0,,,71.0856,85.1013,57.0699,117.0367,43.0542,129.0367,99.117,75.0261,113.1327,397.3487,131.0888,116.0654,141.164,127.1484,42.9998,44.0577
18172,2148625,,Unknown,,,,,1266230.0,1,0,0,GAS,,0,,,207.0324,281.0509,43.0178,341.0172,253.017,283.0279,429.0891,327.0355,299.061,359.0281,73.0469,83.0856,210.0111,71.0856,343.0147,43.0542
18209,2148662,,Unknown,,,,,1266267.0,1,0,0,GAS,,0,,,207.0324,191.0007,225.0591,253.0169,341.0171,248.9887,209.0118,43.0542,324.9861,429.0891,42.9998,208.0314,135.0625,299.0707,265.0201,178.9644
18228,2148681,,Unknown,,,,,1266286.0,1,0,0,GAS,,0,,,311.2767,73.0469,129.073,312.2803,207.0324,341.0172,75.0261,248.9888,225.0428,280.2635,282.0507,43.0178,117.0368,109.1014,43.0542,81.0699
18236,2148689,,Unknown,,,,,1266294.0,1,0,0,GAS,,0,,,311.2766,73.0469,129.0729,312.2802,207.0324,43.0542,280.2634,135.0625,81.0699,253.0169,191.0014,281.051,326.9655,282.0505,43.0178,225.0427
18238,2148691,,Unknown,,,,,1266296.0,1,0,0,GAS,,0,,,268.2999,240.2683,296.3312,58.0653,269.3029,269.3231,281.0509,43.0542,207.0324,327.0355,341.0186,44.0077,42.9998,45.0156,241.2719,73.0468
18260,2148713,,Unknown,,,,,1266318.0,1,0,0,GAS,,0,,,43.0542,57.0699,69.0699,71.0855,85.1013,70.0778,130.1049,128.107,147.0656,225.059,340.3403,42.9998,111.1168,81.0699,83.0856,73.0469
18336,2148789,,Unknown,,,,,1266394.0,1,0,0,GAS,,0,,,207.0324,43.0542,253.0168,281.0509,42.9998,83.0856,67.0543,248.9888,341.0185,327.0355,267.0093,97.0105,96.0043,282.0506,85.1013,208.0317
18354,2148807,,Unknown,,,,,1266412.0,1,0,0,GAS,,0,,,207.0324,281.0509,253.017,429.0891,324.9862,355.0696,43.0178,75.0261,341.0172,342.0179,225.0428,192.9801,265.0202,43.0542,248.9888,299.061
18417,2148870,,Unknown,,,,,1266475.0,1,0,0,GAS,,0,,,311.2767,429.0891,73.0469,341.0172,312.2803,43.0178,129.073,355.0696,43.0542,221.0842,43.9893,327.0355,281.0509,207.0324,253.017,430.0881
18428,2148881,,Unknown,,,,,1266486.0,1,0,0,GAS,,0,,,79.0417,253.0169,78.0339,43.0178,192.9801,271.0276,327.0355,43.0542,266.9989,80.045,52.0308,73.0469,44.0212,281.051,117.0731,341.0187
18488,2148941,,Unknown,,,,,1266546.0,1,0,0,GAS,,0,,,296.3311,281.051,341.0187,207.0324,297.3346,43.0178,71.0856,79.0417,324.9862,57.0699,266.9998,44.0576,43.0542,58.0653,282.0505,85.1011
18499,2148952,,Unknown,,,,,1266557.0,1,0,0,GAS,,0,,,281.051,253.0169,207.0324,75.023,209.0119,43.0178,79.0417,324.9861,73.0469,341.0187,191.0007,327.0355,91.0543,43.9893,43.0542,192.9801
18522,2148975,,Unknown,,,,,1266580.0,1,0,0,GAS,,0,,,207.0324,281.051,43.0178,73.0469,327.0355,225.0427,50.0151,253.0169,324.9861,429.0893,299.0611,342.0176,359.028,43.0542,135.0806,133.0136
18541,2148994,,Unknown,,,,,1266599.0,1,0,0,GAS,,0,,,324.9862,341.0187,73.0469,128.0622,359.028,325.9865,342.0177,44.0257,49.0073,281.051,268.9783,42.0463,42.0099,343.0149,266.9998,360.0285
18543,2148996,,Unknown,,,,,1266601.0,1,0,0,GAS,,0,,,296.3314,73.0469,297.3347,58.0652,43.0542,49.0073,271.0277,42.0099,429.0891,42.0462,253.017,104.0256,205.0857,75.0261,209.0118,282.0507
23633,2154086,,"Silane, (1,1-dimethylethyl)(dotriacontyloxy)dimethyl-",,,,,1271691.0,1,0,0,GAS,,0,,,523.3113,524.313,449.2901,525.3204,485.326,495.2944,591.2892,551.3061,535.3627,189.0176,363.0071,463.038,450.299,146.9599,434.9853,146.9379
