NIH_Lip_Std_CSH_POS_Brain_01,NIH_Lip_Std_CSH_POS_Brain_02,NIH_Lip_Std_CSH_POS_Brain_03,NIH_Lip_Std_CSH_POS_Heart_01,NIH_Lip_Std_CSH_POS_Heart_02,NIH_Lip_Std_CSH_POS_Heart_03,NIH_Lip_Std_CSH_POS_Liver_01,NIH_Lip_Std_CSH_POS_Liver_02,NIH_Lip_Std_CSH_POS_Liver_03,NIH_Lip_Std_CSH_POS_Muscle_01,NIH_Lip_Std_CSH_POS_Muscle_02,NIH_Lip_Std_CSH_POS_Muscle_03,NIH_Lip_Std_CSH_POS_Plasma1_01,NIH_Lip_Std_CSH_POS_Plasma1_02,NIH_Lip_Std_CSH_POS_Plasma1_03
0,0,0,0,0,0,222036,0,321929,0,0,0,0,0,0
79783,0,292589,0,0,0,1045315,1280528,1245804,0,0,0,0,0,0
155768,165623,268672,0,0,0,738113,857853,131816,0,0,0,0,0,0
651169,651692,1108309,130231,149828,128757,2639428,3470069,2962440,0,0,54334,44591,0,49070
0,0,0,0,0,0,140512,192713,200593,0,0,0,0,0,0
0,0,85284,0,0,0,0,0,0,0,0,0,89014,0,46205
363234,391373,413358,281947,0,355866,0,0,427772,297179,329124,329877,344485,102991,393701
229994,226364,268692,0,77015,0,4370126,4536624,4858758,94301,77245,96296,65392,0,142461
0,0,0,249242,313968,244572,0,0,0,0,0,0,203973,0,182670
0,0,1202920,200686,934141,898915,0,1349867,962507,696690,874964,805964,954675,180569,976485
16116721,14774909,14035666,15567912,15423348,13799882,12766966,14720005,13541686,13415887,13064667,14610692,17018054,5898324,18014876
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109405,134904,289086,121108,0,0,813680,641736,782066,24873,34435,42988,328156,61458,269934
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216114,238902,612032,0,0,0,236688,539127,316610,0,0,0,76754,0,0
0,0,0,0,0,0,637507,288966,0,0,0,0,0,0,0
52695,0,145866,309704,342368,337892,5235412,4191444,5154362,217887,247085,229537,520290,138071,508258
70994,0,0,0,0,0,2383136,2730284,0,251533,270681,286531,101515,0,119237
313619,343502,614456,1317648,1437881,1363893,19577936,15739490,19139102,832888,914495,910220,2138432,583611,2056865
1204574,1378178,2009172,0,0,38335,8965768,9826716,10376601,0,0,0,196394,0,214146
563820,695501,942305,0,0,0,0,0,0,0,0,0,0,0,0
0,0,673766,0,0,0,0,0,0,0,0,0,0,114389,0
0,0,0,1589747,1825266,1448818,1188501,1490486,1373474,1635833,1703741,1675836,1829505,718507,1934152
0,0,0,0,0,0,0,527506,0,0,0,0,0,0,0
284853,527696,1035754,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1239614,1509929,2283541,0,0,0,0,0,0,0,0,0,0,0,0
1643684,1874810,3098334,100935,85986,59143,1760848,2128933,1894954,245689,251974,96571,175287,0,191296
105417,0,0,0,0,0,0,33709,0,0,0,0,0,0,0
472279,772873,1548353,297207,314238,256128,3923338,4644812,4305598,324834,345899,0,374008,89714,348294
