2020-03-13_008_NISTplasma1,2020-03-13_012_NISTplasma1,2020-03-13_016_NISTplasma1,2020-03-13_022_HEART,2020-03-13_023_LIVER,2020-03-13_024_BRAIN,2020-03-13_025_MUSCLE,2020-03-13_026_HEART,2020-03-13_027_LIVER,2020-03-13_028_BRAIN,2020-03-13_029_MUSCLE,2020-03-13_030_HEART,2020-03-13_031_LIVER,2020-03-13_032_BRAIN,2020-03-13_033_MUSCLE
9805,8926,9532,2177,2627,2338,4569,2344,2544,2325,4205,2283,2329,2560,4884
7156,7959,8109,17981,20114,18506,18984,18423,21188,19740,19640,17490,21702,20104,19791
12466,12871,3213,0,5875,0,1437,0,4587,0,1423,0,4777,0,1368
0,0,0,0,11542,0,0,0,11592,0,0,0,12429,0,0
0,0,0,0,26269,0,0,0,25984,0,0,0,25173,1149,0
0,0,0,0,35310,1186,0,0,35291,1338,0,0,34740,1268,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15224,15596,16252,34610,40496,40008,40518,35266,41266,39746,40133,36573,43504,39130,40229
0,0,0,0,53271,0,0,0,4697,0,0,0,50182,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,72319,0,0
0,0,0,0,72616,0,0,0,71553,0,0,0,6413,0,0
0,0,0,0,62843,0,0,0,62164,0,0,0,62823,0,0
1907,1919,1927,6578,291839,14930,4597,6931,288124,15316,4438,6587,285319,15624,4706
2452,2070,2810,9560,422939,21696,6325,9533,427101,20611,7019,9148,422775,20774,6434
0,0,0,0,0,0,0,0,0,0,0,0,1061,0,0
0,0,0,0,15566,1624,0,0,15575,1560,0,0,15956,1437,0
0,0,0,0,5593,2868,0,0,28091,2512,0,0,5751,2592,0
6621,7319,7504,11428,14390,12681,13765,11713,14497,13240,14240,11617,14445,12796,14243
0,0,0,0,0,0,62275,0,0,0,62301,0,0,0,63023
0,0,0,0,7898,0,0,0,7865,0,0,0,7592,0,0
0,0,0,0,19024,4082,0,0,18648,4345,0,0,18417,4118,0
0,0,0,0,42978,0,0,0,42973,0,0,0,43245,0,0
0,0,0,0,20943,65360,0,0,20890,64932,0,0,20358,65292,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,9312,55779,394898,8290,8379,53622,393043,8109,8689,54626,394988,8063
0,0,0,12916,83790,614104,12200,12611,84190,607752,11851,12479,81884,614746,12184
0,0,0,0,1139,4605,0,0,0,4616,0,0,0,4411,0
