index,muscle,muscle,plasma,liver,brain,heart,heart,muscle,plasma,brain,liver,plasma,liver,brain,heart
164,0,0,0,10063,30529,0,0,0,0,31038,9827,0,10386,30693,0
165,0,0,0,10056,28651,0,0,0,0,30088,9622,0,10338,29241,0
166,0,0,0,1713,6622,0,0,0,0,6578,1349,0,1449,7491,0
167,0,0,0,1930,5584,0,0,0,0,5842,1750,0,1890,5627,0
168,0,0,0,1896,8640,0,0,0,0,10275,0,0,0,5669,0
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,0,4947,0,0,0,0,0,0,4614,0,4837,0,0
171,0,0,0,5626,0,0,0,0,0,0,5145,0,5526,0,0
172,0,0,0,19782,1058,0,0,0,0,1209,18435,0,19492,1178,0
173,0,0,0,19098,0,0,0,0,0,0,16888,0,18962,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,1062,2315,0,1572,1811,0,0,0,0,0,1984,0,1767
176,78489,69031,51085,34101,26481,54107,52729,59969,46695,24008,33634,48662,31280,0,58301
177,59287,57136,27220,0,58155,45633,58682,74766,26767,52914,51983,26307,54359,0,50840
178,0,1168,0,0,8480,0,0,1160,0,9827,0,0,0,9553,0
179,0,0,0,8147,10478,0,0,0,0,11501,7317,0,7928,41455,0
180,0,0,0,0,41506,0,0,0,0,43754,0,0,0,11037,0
181,0,0,0,2159,134720,0,0,0,0,140652,1941,0,2086,138110,0
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,1057,1317,1038,56384,10150,1852,1826,1152,1215,11013,54339,1154,58913,24709,1812
184,0,0,0,0,23600,0,0,0,0,24609,0,0,0,10820,0
185,1222,1517,1322,60008,11076,2151,1888,1237,1554,11296,57610,1239,61535,0,1946
186,0,0,0,0,28966,0,0,0,0,32345,0,0,2121,12225,0
187,0,0,0,0,4149,0,0,0,0,9715,0,0,0,8627,0
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,2755,3189,0,0,0,0,0,2588,0,0,0,0,0,0,0
190,0,0,0,0,21206,0,0,0,0,23895,0,0,0,0,0
191,0,0,0,8237,0,0,0,0,0,0,8063,0,8743,0,0
192,0,0,0,9394,83040,0,0,0,0,89869,8725,0,9433,84625,0
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,1764,7046,0,0,0,0,8542,1807,0,1840,8434,0
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,0,0,8646,3454,0,0,0,0,3551,8009,0,8610,2900,0
197,0,0,0,7449,1694,0,0,0,0,0,7003,0,7656,1943,0
198,0,0,0,0,27824,0,0,0,0,30627,0,0,0,29489,0
199,0,0,1032,113607,2800,2886,3123,0,1034,2989,107859,0,118287,0,3291
200,0,0,0,0,5610,0,0,0,0,5903,0,0,0,2882,0
201,1200,0,1348,128628,2921,3420,3480,0,1259,3245,119520,1197,131787,3180,3856
202,7064,8725,0,0,0,0,0,7658,0,0,0,0,0,0,0
203,0,0,0,2458,0,0,0,0,0,0,2101,0,2224,0,0
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,0,0,0,13322,0,0,0,0,0,0,12351,0,12720,0,0
207,0,0,0,0,4347,0,0,0,0,4813,0,0,0,4310,0
208,0,0,0,0,0,0,0,0,0,0,0,0,0,40365,0
209,0,0,0,12180,4104,0,0,0,0,4436,11258,0,12064,10605,0
