	m/z	retention_time	p-value	t-stat
51	358.2596	3.312	0.004947629773953747	2.8729803706502977
52	162.113	5.521	0.3374699166700301	-0.9637112848143629
53	102.1288	2.992	0.20715449439272296	1.269492000381333
54	235.1192	2.199	0.04611524183646981	-2.0189604725461385
55	447.3001	0.81	0.8880143901669159	0.1411696021974487
56	185.1288	1.256	0.13083857404870472	-1.523058101776328
57	132.0775	5.411	0.11149675930084538	-1.6054035742338761
58	241.1551	5.848	0.012687710006957396	-2.5372212063643875
59	243.1343	3.323	0.8697174035963186	-0.16443083019876703
60	290.1605	6.133	0.002568010323534338	-3.09151432696615
61	153.0661	1.362	0.6576172283901753	0.4445077915593122
62	403.2736	0.798	0.668636138592412	-0.429264441239865
63	257.1137	2.553	0.15670038629132754	-1.4267690382414695
64	246.1705	3.7	0.2984404666488141	-1.045114643144582
65	446.2965	1.03	0.9855865191692279	0.018109948489227274
66	271.093	2.922	0.5586147736803175	-0.5868295885776986
67	244.1547	3.84	0.008048899103528176	2.703093211547235
68	189.1602	8.387	0.7495712643051343	0.32006830516681695
69	184.0605	0.65	0.29326949015000076	1.0564256788567141
70	311.2056	3.076	0.3273337678436702	0.9842250178924421
71	338.2332	2.886	0.4315309007034275	0.789706984914751
72	925.0241	5.633	0.5498178025215483	0.6000287534049839
73	491.3262	0.83	0.36564232948032394	0.9087157142000322
74	146.0814	4.703	0.08083521420415361	1.763355158379556
75	220.0641	3.878	9.400094666528977e-05	4.066828280630225
76	287.2053	3.223	0.3677677560814909	0.9046781938614282
77	116.1077	2.909	0.10728786666808507	1.6248164048832712
78	479.2847	5.759	0.434993669930014	0.7837659798262312
79	578.375	1.264	0.43444118685674016	0.7847119990587897
80	460.2759	3.481	0.8266039650244923	-0.21962265391508898
81	312.2176	2.981	0.6478899195713805	0.4580513095991311
82	314.2178	0.778	0.25690699724124805	-1.140118637273765
83	376.2602	0.542	5.507735246545736e-07	-5.346340858773443
84	622.4012	1.091	0.4507272056206183	0.7571136067796955
85	248.0921	3.403	0.7455746233517643	-0.3253606086326141
86	330.2282	3.788	0.0005640410055582392	3.5604702627695564
87	203.1506	8.133	0.3284353110308518	0.9819756756881873
88	356.2438	2.979	0.16845195694092918	1.3870438080189402
89	416.2499	3.452	0.4477645987876847	-0.7620905578115912
90	359.2629	3.055	0.0024251396849301493	3.1100844841981723
91	257.15	3.175	0.07295411567372084	1.811835345323595
92	301.2208	3.027	0.0008318723692151182	3.444392195711335
93	229.119	6.437	0.6682408410437382	0.42980953202323735
94	144.1023	4.373	0.09905673005734571	1.6646245306750456
95	318.3009	0.893	0.004410082321061089	2.912122399622338
96	304.1761	5.934	0.6561627886183345	-0.4465275578540299
97	280.191	0.799	0.22064610482116012	1.2323644587357587
98	284.0625	2.863	0.12066291444887091	1.5650738020168977
99	260.1498	4.414	0.20730099937013055	1.2690794389926334
100	504.3021	3.507	0.7719769579054369	0.29056109998952445
101	312.2173	3.149	0.5252411118539664	-0.6374792354587442
102	204.1235	4.725	0.6114741779652947	-0.5095403583408387
103	151.0617	2.34	0.0008896616322425906	-3.424062685331859
104	153.0661	1.494	0.49058107191756317	0.6918856993599702
105	351.0023	5.633	0.7013119572257969	-0.38463051876351073
106	516.0117	5.635	0.9818969625578119	0.022746450431121765
107	170.0927	5.92	0.6153238939748923	-0.5040348151202028
108	339.1419	2.78	0.0011764795496773926	-3.3385904185566266
109	241.1299	6.277	0.03892783250569492	-2.091929340270148
110	130.0503	3.877	4.825627895576958e-05	4.245208828685659
111	290.1605	6.023	0.012449809518524403	-2.5442687714442935
112	174.124	4.84	0.006335181048505924	2.7875730461216888
113	248.1133	6.057	0.08895404511142435	-1.7173280993304387
114	328.2126	3.537	0.10519148693025006	1.6347147912747413
115	144.0478	0.664	0.0003429586395193292	3.7055407952401764
116	622.4011	1.346	0.44952402745728826	0.759132575957262
117	272.1689	3.036	0.041628346658369945	2.0632528976983084
118	323.0735	2.409	0.006980468668136588	2.7535634481830598
119	354.1014	0.405	0.3998622424541344	-0.8454073233574722
120	230.1582	4.648	0.3697483929922414	-0.9009289735510416
121	128.0822	1.723	0.06262956375789665	-1.8824161245248516
122	274.2744	0.869	0.5846684580589689	0.5483226949106025
123	262.1655	4.732	0.34994094370014917	0.9390158156607544
124	319.1875	4.55	0.34569280666049185	0.9473631287729566
125	374.1273	0.465	0.8628478268976453	-0.17318678307653956
126	535.352	0.889	0.4730609710897742	0.7201805394036869
127	212.1034	4.6	0.6395694035467068	-0.4697035973022282
128	384.1481	0.524	0.5106258703388729	0.6601808467444436
129	548.3285	3.535	0.5401778050306487	0.6146147317036262
130	565.2005	2.338	0.011236331249621723	-2.582219235921672
131	288.2004	4.188	1.0291144328085474e-05	4.642199778302808
132	359.2475	0.788	0.40190392853685064	-0.8417377825875755
