massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row192	191.0	230.1582	5.762	0.00023655858708382412	-3.8114588011320722
row193	192.0	344.2269	3.424	0.01946936176739849	2.373973213598068
row194	193.0	457.3029	5.759	0.32676591210450934	-0.9853865227158026
row195	194.0	275.1033	4.418	0.01665347221260236	2.434407322792809
row196	195.0	592.3542	3.562	0.43261025455809166	0.7878521657488142
row197	196.0	620.9724	5.627	0.11386887411233768	-1.594719979392542
row198	197.0	666.4276	1.255	0.38508279832815107	0.8723196917199183
row199	198.0	286.1291	4.612	0.44073627557122963	0.7739742056662207
row200	199.0	243.1343	3.419	0.8869057887326262	0.14257666341159939
row201	200.0	242.0461	3.876	0.0018004493144369508	3.205516066981364
row202	201.0	331.2316	3.326	0.17821467240720537	1.3556182277173567
row203	202.0	415.2121	0.589	9.780713841669158e-14	8.605164883267166
row204	203.0	535.352	1.186	0.4806873834548928	0.7077940084725303
row205	204.0	298.2019	3.134	0.025591686429599088	2.2655576754492794
row206	205.0	299.197	2.789	0.005587887884674052	2.831160237210834
row207	206.0	341.2174	0.789	0.37081424569998545	-0.8989166236583387
row208	207.0	948.9853	5.629	0.9882613714007432	0.014748832049031328
row209	208.0	180.088	2.947	0.062366578952693534	-1.884337589659305
row210	209.0	620.9723	5.659	0.13191615426115977	1.5187614531123133
row211	210.0	269.15	3.182	0.07636377812503559	1.7903540897611432
row212	211.0	327.2002	3.021	0.9409302621774323	-0.07428353808665207
row213	212.0	329.2159	3.385	0.00020857088642283606	3.8469357841203453
row214	213.0	598.0146	5.636	0.7322134895219432	-0.3431211515748535
row215	214.0	175.1445	8.693	0.38615853247515597	0.8703395757369805
row216	215.0	229.1239	6.17	0.20697311785931422	-1.2700030586384101
row217	216.0	538.9695	5.627	0.0949792609447656	-1.6853444368178065
row218	217.0	844.0238	5.635	0.4679562402859335	0.7285337919637341
row219	218.0	491.3259	1.109	0.6423871177449135	0.4657504691988672
row220	219.0	217.1186	4.479	0.7185323597156852	0.3614209444044332
row221	220.0	247.2019	4.206	4.682171670411315e-07	5.383942877506506
row222	221.0	230.1218	6.641	0.03529966189130036	-2.1332872246694974
row223	222.0	272.1862	3.375	0.7829531517850192	0.2762002037018871
row224	223.0	318.1918	5.793	0.0010328952873876497	-3.3785836549921417
row225	224.0	304.1298	3.512	0.44465331105973216	-0.7673377691676185
row226	225.0	330.2281	3.585	0.5401945765165657	0.6145892416163532
row227	226.0	372.1873	5.457	0.7361295197218403	-0.3379046270524048
row228	227.0	262.0385	4.545	0.03132751156882727	-2.1830232945695167
row229	228.0	247.1081	3.403	0.7302948554192217	-0.3456803872408137
row230	229.0	448.3064	2.946	0.37713410436853456	-0.8870586919771483
row231	230.0	365.1063	5.727	0.3318953384140414	-0.974942428496781
row232	231.0	339.051	3.228	0.07504253592692982	1.7985818596175012
row233	232.0	286.1039	2.546	0.02433537691105285	-2.2857815507347037
row234	233.0	460.27	0.589	5.340587698826325e-09	6.376929272327465
row235	234.0	388.2548	1.502	0.7407908807507244	0.33170730593837916
row236	235.0	138.0552	3.375	0.5835977698244784	0.5498887441187217
row237	236.0	288.1448	6.124	0.17852673232990512	-1.354635456683712
row238	237.0	298.1152	3.038	0.7593447110975574	0.3071640960145031
row239	238.0	246.1155	2.316	0.3795237714687759	0.8826074205178116
