Query Spectrum ID,Match Spectrum ID,Score
,122,2152461,0.9261622212845038
,123,2152462,0.9227829225828843
,124,2152463,0.9504859497666551
,125,2152464,0.9349539993489294
,126,2152465,0.9339933294470207
,127,2152466,0.9413898239444408
,128,2152467,0.9236620757876411
,129,2152468,0.967627031406193
,130,2152469,0.9863369585238629
,131,2152470,0.9274151443896766
,132,2152471,0.9619528092497731
,133,2152472,0.9731501070584844
,134,2152473,0.9801589997629162
,135,2152474,0.9815319998146322
,136,2152475,0.9860269854706645
,137,2152476,0.9226418449317442
,138,2152477,0.9453128893348846
,139,2152478,0.9760840235200668
,140,2152479,0.9171402478503896
,141,2152412,0.9548760400650025
,142,2152480,0.9245281503828912
,143,2152481,0.9626190371450835
,143,2152519,0.5104608644431532
,144,2152482,0.9362151903013156
,145,2152483,0.9369480627191674
,146,2152484,0.9495699997557998
,147,2152485,0.9160011676707251
,148,2152486,0.9181580809688823
,149,2152487,0.9324161349384265
,150,2152488,0.9609949991578314
,151,2152489,0.9346569996733861
,152,2152490,0.9369681884127471
,153,2152491,0.9219280776650066
,154,2152492,0.9519299034597267
,155,2152493,0.9362951269467988
,156,2152494,0.8986147968736091
,157,2152495,0.9377749998053708
,158,2152496,0.9094019997223974
,159,2152497,0.9258068512903164
,160,2152498,0.9550068645501927
,161,2152499,0.9082832748656573
,162,2152500,0.9538360456852453
,163,2152501,0.9162829997716843
,164,2152502,0.9554876868408736
,165,2152503,0.924833848993999
,166,2152504,0.9253050742243292
,167,2152505,0.9236317703067366
,168,2152506,0.9240848479378592
,169,2152507,0.9351879349063106
,170,2152508,0.898023795563305
,171,2152509,0.9394103015956516
,172,2152510,0.9330947985408194
,173,2152511,0.9271662910039443
,174,2152512,0.8952373708799524
,175,2152513,0.9682938092592781
,176,2152514,0.9369269365002246
,177,2152515,0.9127177380177277
,178,2152516,0.9244393018500063
,179,2152517,0.9270572910766917
,180,2152518,0.95598808686555
,181,2152519,0.9570380425240231
,181,2152481,0.5057715693280497
,182,2152520,0.9297831401903277
,182,2152822,0.5801405471566566
,183,2152521,0.9828179994400444
,184,2152522,0.9587740820616663
,185,2152523,0.9552820887071876
,186,2152524,0.9676650312587238
,187,2152525,0.982594999612748
