	m/z	retention_time	p-value	f-score	FDR_BH	custom_id
377	778.6113	5.6973	1.1994399146734844e-06	14.759970181235932	2.8759297954102867e-06	1603.0
378	790.5856	5.973	0.3699836229372699	1.0	0.3959474265159181	1608.0
379	790.5534	5.6122	0.03563908442284139	3.3990309853735723	0.057623347227735884	1614.0
380	698.6279	8.5828	3.2368573647820056e-06	13.6053973394594	7.464228458677631e-06	1620.0
381	746.4934	5.2736	0.0004859400753233975	7.973951729601722	0.0009406729898462098	1621.0
382	774.5291	4.4772	2.4445541745666082e-20	59.198273844864765	9.00962324600095e-20	1623.0
383	851.5631	4.5947	3.552320709900224e-77	571.0350061316874	4.051565782642958e-76	1627.0
384	514.893	3.1521	4.025668150652024e-113	1616.7962841153376	1.7882441679738465e-111	1628.0
385	520.9085	3.1431	0.09050716041515323	2.435801368958574	0.13470072933122032	1629.0
386	854.581	5.0337	5.376524633507992e-28	92.04482069263493	2.351184865637692e-27	1631.0
387	325.1844	1.0635	0.00027903678255220823	8.581472895441518	0.0005515387458408988	1638.0
388	900.595	6.2543	8.111041175060472e-49	223.66225264109065	5.348217774805499e-48	1645.0
389	777.6025	5.4651	2.375755328810041e-87	774.3897362859059	3.64570454093759e-86	1647.0
390	926.6611	6.8067	0.1447049666123122	1.954693634623607	0.1982645971116745	1648.0
391	343.2276	3.1594	0.7124587528180865	0.33969471335203905	0.7227346002145012	1666.0
392	227.7934	12.7045	6.107408181269662e-32	111.74788058468702	2.8478743121500525e-31	1668.0
393	855.5932	5.4414	1.7082444161771908e-75	542.3833207500998	1.8484080605814732e-74	1670.0
394	897.5661	5.2655	1.032167054507818e-116	1786.676199017912	5.124405847085873e-115	1671.0
395	627.5437	7.3214	0.3699836229372699	0.9999999999999997	0.3959474265159181	1678.0
396	883.5391	4.7853	2.1062157364459343e-123	2149.628901277607	1.975162312844854e-121	1680.0
397	788.5694	5.4669	0.8550354091194179	0.15675344366531802	0.8611573810224209	1682.0
398	421.2254	4.8766	2.8164618034151936e-102	1191.686369640823	6.791696463092638e-101	1685.0
399	844.649	6.4912	0.0183523875917839	4.091280943878157	0.030135048886119866	1692.0
400	189.055	0.4741	5.759628840302029e-06	12.941210006213714	1.2997665083462332e-05	1693.0
401	694.6281	7.8537	4.310714313549319e-06	13.27463744595678	9.833088866582772e-06	1705.0
402	790.5547	5.2668	0.3699836229372699	1.0000000000000002	0.3959474265159181	1708.0
403	763.5107	4.9903	1.2666177174392883e-07	17.423726787794696	3.172182057919167e-07	1711.0
404	664.5133	6.0359	1.417859586655102e-21	64.06214680652919	5.3662488391789515e-21	1714.0
405	790.6035	5.973	0.3699836229372699	1.000000000000001	0.3959474265159181	1722.0
406	818.6451	6.5099	1.5479443986282403e-41	169.21380394529857	8.595164950277861e-41	1723.0
