	m/z	retention_time	p-value	f-score
52	858.6679	6.8067	0.3699836229372699	0.9999999999999998
53	878.5913	5.4718	4.039079965488904e-63	366.6160576557697
54	852.5685	4.8352	1.1872075142528827e-05	12.113745632134728
55	831.6625	6.8532	0.08027155656343765	2.559260235212039
56	806.5767	5.5718	0.3699836229372699	0.9999999999999998
57	878.5761	5.4488	0.3699836229372699	0.9999999999999996
58	855.6581	6.2295	1.3103158319785877e-37	143.917825741019
59	588.4958	6.0221	2.7100143645433096e-28	93.46028881933017
60	179.0572	0.4303	2.939393441820846e-58	311.84453586473967
61	159.0265	0.4752	7.542406923182618e-07	15.304020439529342
62	806.5906	5.5718	0.43201966312933393	0.8433454884670134
63	745.5491	4.2707	1.1732554591258474e-90	853.1656838277498
64	832.5933	5.7322	0.02234807242065395	3.8852706152865712
65	692.6156	7.7258	0.3699836229372699	0.9999999999999997
66	541.3338	1.4608	8.37001695811681e-73	499.1296113148554
67	828.567	4.9926	0.05640901540394618	2.923161739903881
68	695.6393	8.4161	0.00689264558372009	5.12243125393534
69	132.8678	0.631	0.3113867059436424	1.1745779894516306
70	832.606	5.7322	0.3699836229372699	1.0000000000000013
71	311.17	0.7648	1.117862842912566e-33	121.1006360204441
72	134.8677	0.5156	0.3699836229372699	1.0
73	695.6293	8.3972	0.11932684472084902	2.152075399911277
74	205.0352	0.4824	8.214686578503538e-42	171.08652677589393
75	339.226	2.5857	0.13804752387482006	2.0028638343240566
76	832.6378	6.2478	0.00026314658208794416	8.645910352399513
77	684.6257	8.3972	1.1264742785589557e-13	35.56036410653983
78	554.3463	1.8082	1.9702887537151664e-37	142.83766879978427
79	134.8662	0.5149	0.00074055305682438	7.5151364171477955
80	564.3313	1.2042	6.534708258174885e-05	10.189668510022866
81	751.5397	5.6393	4.964753702345553e-106	1325.2488604764198
82	829.5776	5.1664	9.61999120051348e-77	563.5427864493356
83	859.6918	7.5208	0.9177259466157298	0.08589884395038425
84	803.6266	6.1534	1.3624120196515572e-21	64.1314285525664
85	566.3453	1.6097	6.29092159146513e-08	18.267098316115714
86	833.6151	6.2478	0.4345386400646636	0.8374755611199544
87	666.602	7.7618	7.063042914000042e-21	61.299619251333766
88	248.9632	0.4425	3.1260760722924856e-07	16.344976972012905
89	749.5709	4.7853	9.755805248539983e-97	1017.3098371713501
90	465.3356	3.1286	0.3699836229372699	1.0000000000000007
91	878.5626	5.4488	7.322697195632098e-09	20.90182258711649
92	488.3121	3.1281	2.6929036720175217e-13	34.33873783306927
93	277.076	0.4561	0.2138671144007949	1.5561539834817542
94	870.5466	5.0848	6.144239617161842e-10	24.019413611544117
95	719.5372	4.1654	0.10107072508390613	2.3223910721765377
96	94.9274	0.4253	0.3699836229372699	0.9999999999999997
97	680.6184	8.0867	1.4658935585016702e-53	265.21304054824174
98	311.1803	0.7731	0.01700978073091053	4.170859484896113
99	886.5518	4.9903	5.225432886932775e-45	193.8706458581998
100	826.5506	4.6026	9.865962398365139e-08	17.724039376246697
101	778.5614	5.5149	7.309507154138168e-07	15.340910041203038
102	136.8627	12.8124	1.7021753369229365e-19	55.97326513889571
103	852.5701	5.2227	0.1338577688197733	2.0343991367169565
104	825.5477	4.5943	7.6032917996332e-48	215.77285406785134
105	776.5443	4.9527	1.1223562299395174e-42	177.0594157969054
106	136.8626	12.8928	0.0001772007700593196	9.081624572921225
107	829.5638	5.1519	0.19230262688590563	1.6644057354380903
108	872.5629	5.5745	3.3073017698809083e-106	1331.858524364743
109	719.5384	6.3741	0.38904670934150487	0.949196521910739
110	598.5307	6.0206	1.3734464784909511e-94	956.2658216873824
111	100.9475	0.4154	0.36613038199827974	1.0105902106355809
112	857.6098	5.9205	1.7829686960437979e-78	594.0582644661573
113	803.6078	6.1575	0.04803744664350233	3.089360993953389
114	832.6622	6.8395	1.9531356574250666e-89	823.2611481726451
115	711.6254	8.4244	2.8387085124691212e-64	380.6739194274779
116	829.6432	6.2605	3.6356863549451215e-89	816.7831422180974
117	879.5845	5.4488	0.3699836229372699	0.9999999999999996
118	776.5976	5.4569	0.3701451653093121	0.9995584585380948
119	845.6738	7.1794	1.6308522929040306e-67	422.5568540875072
120	1175.7749	5.4909	1.720630946437963e-23	71.91980165442975
121	1175.7616	5.417	0.3699836229372699	0.999999999999999
122	248.9684	12.6285	0.04816644894917491	3.0865839507880746
123	464.2793	1.327	0.32838011895737	1.1207407753059726
124	856.6618	6.2378	1.0245707783856914e-91	879.8855996512777
125	853.5785	5.0337	9.054381963005959e-103	1208.4746570784619
126	158.0287	0.4752	0.0011556224509742749	7.032934321523859
127	1561.1229	5.0897	1.5557275523839855e-45	197.80951828089889
128	188.0464	0.4742	8.646629286625349e-20	57.09070146772662
129	311.1899	3.1426	0.6073233474783251	0.5001259522332869
130	1560.1201	5.0897	6.423668907964066e-85	720.6921892908238
131	486.3107	3.1287	1.6572841494327594e-118	1877.8042432123952
132	598.5157	6.0134	2.607185295252176e-13	34.38386308172112
133	750.5432	6.1276	3.0857416707702626e-17	47.678021859433564
134	161.0253	0.4893	2.027527715599285e-08	19.646086117752763
135	898.5785	5.7447	1.4014136070687474e-120	1988.6060455817283
136	686.6124	8.3972	0.3699836229372699	1.0000000000000009
137	747.512	4.798	0.3699836229372699	0.999999999999999
138	225.7949	12.7018	0.13387289025404747	2.0342835352958972
139	812.5723	5.3658	1.5042067042390635e-06	14.495491820795698
140	155.8759	0.4976	0.2267852072872667	1.4964765805757883
141	693.614	7.7451	0.3699836229372699	1.0000000000000002
142	776.5615	4.9574	0.13664927204151753	2.0132792279712888
143	100.9415	0.4126	0.12729089124992418	2.085893158931352
144	201.0404	0.524	4.26705104138067e-07	15.97603697513834
145	746.5527	4.279	5.923870783691362e-93	912.0891577828851
146	832.6445	6.8532	0.05158888261518896	3.015533154543788
147	852.5675	4.8328	4.351723008388089e-40	159.5746547585876
148	778.5799	5.5075	0.011200235072054598	4.609798775080639
149	297.1525	3.1427	1.4532022334845252e-31	109.77742581412765
150	845.6566	7.0736	0.003424264995454857	5.866175147290774
151	766.5391	5.8276	7.745870573079158e-35	127.58477498720522
152	609.557	6.6242	4.29972375067505e-43	179.98766692345345
153	326.2343	3.1426	0.31443135038502423	1.164716971115965
154	582.5084	5.6725	0.19231008207278272	1.6643662265454375
155	856.5979	5.6453	2.6850311577190153e-70	461.5124653718354
156	316.9531	0.4386	0.4352694624305471	0.8357789790312867
