,m/z,retention_time,p-value,f-score,FDR_BH,custom_id
77,116.0,9.9786,3.719665332840328e-15,40.556160326594345,7.87184989042953e-15,#78 116.0000@9.9786 MS1+
78,207.0,5.6676,7.818822165644504e-14,36.15290074496072,1.5811395934969996e-13,#79 207.0000@5.6676 MS1+
79,85.0,8.9467,7.258754738960214e-05,10.078886555260109,8.807289083271726e-05,#80 85.0000@8.9467 MS1+
80,174.0,10.4902,1.5835224351580346e-28,95.03336945286617,4.803351386646039e-28,#81 174.0000@10.4902 MS1+
81,147.0,8.7654,4.95996325624344e-44,188.1822900061274,2.3755613490429104e-43,#82 147.0000@8.7654 MS1+
82,147.0,6.7632,3.722433454113806e-21,62.609637619561084,9.962983656598716e-21,#83 147.0000@6.7632 MS1+
83,147.0,12.7138,4.121811206788456e-10,24.566951056305253,6.697943211031241e-10,#84 147.0000@12.7138 MS1+
84,160.0,8.4871,3.310160137633181e-05,10.960139188431658,4.303208178923135e-05,#85 160.0000@8.4871 MS1+
85,154.0,9.5484,1.6839046246374456e-10,25.72385752060482,2.786096742581956e-10,#86 154.0000@9.5484 MS1+
86,129.0,15.9429,7.9789916665219115e-22,65.29502141372014,2.2002673989499816e-21,#87 129.0000@15.9429 MS1+
87,134.0,7.8932,6.381740522103044e-05,10.22285280214279,7.84781604745104e-05,#88 134.0000@7.8932 MS1+
88,156.0,10.1913,4.816864185351599e-40,160.41980488779745,1.9058027863782413e-39,#89 156.0000@10.1913 MS1+
89,89.0,7.0082,4.4558304445721194e-21,62.29920255069222,1.158515915588751e-20,#90 89.0000@7.0082 MS1+
90,147.0,17.8196,3.2652903889793824e-19,55.07590625297028,7.819511194661153e-19,#91 147.0000@17.8196 MS1+
