,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
12188,12258,3.809,590.43536,Unknown,[M+Na]+,True,,,999,False,False,False,,,,,,0,0,0,280722,0,0,0,0,264769,0,0,0,0,296464,0,2.890200281941147
1742,17941,6.798,799.67255,SM 41:2;2O,[M+H]+,True,11.63,799.66882,420,True,True,True,100.0,99.9,72.5,80.2,100.0,46988,411912,380633,0,0,0,438216,413458,94405,772429,0,431215,386375,0,709415,2.8912886209954793
21005,20114,8.201,862.7149,w/o MS2:HexCer 16:0;2O/30:3;O,[M+Na]+,True,12.78,862.71301,530,True,True,False,99.4,99.9,,,,2718104,0,0,0,0,2556306,0,0,0,0,2580712,0,0,0,0,2.8915625877368374
1117,19516,7.051,844.72583,PC O-41:1,[M+H]+,True,13.37,844.71539,420,True,True,True,95.2,99.8,23.4,72.7,100.0,1289229,2340525,2254605,1860116,1875858,1243139,2409296,2242044,1897003,1927725,1250486,2351745,2265920,1858795,1858207,2.892068008764948
5974,3800,0.444,277.10468,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,83288,8481,0,0,88788,105184,0,0,0,88879,85656,8245,0,20498,89140,2.8922351828976343
756,6249,1.63,366.33789,NAE 21:2,[M+H]+,True,7.19,366.3367,410,True,True,True,100.0,99.8,36.3,75.0,100.0,0,156187,894945,0,0,0,173534,896703,0,0,0,161933,894770,0,0,2.894274173960677
19415,12418,7.161,596.59998,w/o MS2:Cer 12:0;2O/26:0,[M+H]+,False,12.41,596.5976,530,True,True,False,97.2,99.9,,,,211553,108936,112589,101529,116100,227220,113602,128754,103611,113612,232269,119366,116344,104575,105783,2.89437206362711
1229,16137,6.377,742.57709,PE P-37:2|PE P-19:1_18:1,[M+H]+,True,11.6,742.57452,410,True,True,True,100.0,99.9,30.9,81.1,100.0,659873,113414,40738,174983,138708,602907,121058,33561,173990,138923,397459,130127,36813,217789,140889,2.8961238308200583
12549,12867,8.398,614.62366,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,109978,4152,56160,7239,9554,128673,0,157258,7154,11670,104724,0,156241,0,6269,2.8964128903101853
24019,26216,6.171,1518.15344,w/o MS2:RIKEN P-VS1 ID-20344 from Mouse_Brain_fat1TG_N_w6rich,[M+H]+,False,10.91,1518.14514,530,True,True,False,70.9,99.9,,,,0,0,490592,0,0,0,0,464643,0,0,0,0,495303,0,0,2.8966866903413244
291,25839,9.729,1469.02185,CL 72:7|CL 36:3_36:4,[M+NH4]+,True,13.38,1469.02173,410,True,True,True,100.0,99.9,55.7,83.4,100.0,18422,1314698,263086,161962,0,15939,1319522,207953,168052,0,13078,1276537,252638,163420,0,2.8971324394951545
1214,15296,5.522,712.52936,PE P-35:3|PE P-17:1_18:2,[M+H]+,True,9.62,712.52759,410,True,True,True,100.0,99.9,38.4,93.3,100.0,58457,246097,1521002,20715,0,58130,275558,1197220,0,0,67250,241352,1492608,10771,0,2.897179688979363
21877,13382,6.249,637.55103,w/o MS2:NAGly 8:0;O(FA 28:2),[M+H]+,True,9.6,637.55139,530,True,True,False,100.0,100.0,,,,246320,0,0,0,0,213008,0,0,0,0,215567,0,0,0,0,2.8983656181710087
