,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
23619,22089,9.639,928.76599,w/o MS2:RIKEN P-VS1 ID-16033 from Mouse_AdrenalGlands_WT_N_Ctr,[M+H]+,False,12.89,928.76642,530,True,True,False,99.9,99.9,,,,32644,0,0,0,0,33745,0,0,0,0,33881,0,0,0,0,2.4158688568939266
184,12606,7.387,604.60516,Cer 40:1;2O|Cer 18:1;2O/22:0,[M+H-H2O]+,True,13.02,604.60272,410,True,True,True,100.0,99.9,66.4,94.2,100.0,697277,0,0,0,0,613091,0,0,0,0,627987,0,0,0,0,2.4158702095090314
1738,18071,7.645,803.69971,SM 41:0;2O,[M+H]+,True,12.98,803.70007,420,True,True,True,96.7,99.9,58.8,80.2,100.0,632185,100427,392202,0,37470,695347,97993,421630,0,31101,654219,93516,414224,0,27928,2.415872823033318
218,13746,8.333,652.65356,Cer 42:0;2O|Cer 18:0;2O/24:0,[M+H]+,True,13.42,652.66022,410,True,True,True,100.0,99.9,42.5,49.9,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.415874246381084
622,19657,8.085,848.69489,HexCer 45:3;3O,[M+H-H2O]+,True,12.72,848.69739,420,True,True,True,83.5,99.9,73.2,43.6,92.9,1406535,0,19119,0,0,1496654,9011,0,0,0,1273981,12047,0,0,0,2.415889064668403
21245,19658,7.8,848.69971,w/o MS2:HexCer 17:0;2O/28:3;O,[M+Na]+,True,12.65,848.69739,530,True,True,False,99.1,99.9,,,,1167042,0,0,0,0,1211034,0,0,0,0,1081584,0,0,0,0,2.4158962594441666
1096,18015,7.59,802.57336,PC O-39:8,[M+H]+,True,9.3,802.57452,420,True,True,True,90.3,100.0,48.6,62.4,100.0,601009,0,0,0,0,656689,0,0,0,0,636758,0,0,0,0,2.41591814712343
20779,23655,8.767,1028.78882,w/o MS2:HBMP 22:3_12:0_18:0,[M+H]+,False,13.38,1028.78894,530,True,True,False,100.0,99.9,,,,55180,0,0,0,0,66047,0,0,0,0,55002,0,0,0,0,2.415926703045221
12653,13079,7.921,623.56427,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,20667,23422,36866,0,0,32148,23631,39793,0,0,30028,23549,34661,0,0,2.4159271420154735
21394,23882,10.694,1058.9303,w/o MS2:HexCer 22:0;2O/38:3;O,[M+H]+,False,14.01,1058.93213,530,True,True,False,98.3,99.9,,,,4515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.415931560149134
10978,10251,6.833,509.4931,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,81511,0,0,0,0,78466,0,0,0,0,75693,0,0,0,0,2.4159355224044132
26031,19696,8.467,849.6828,w/o MS2:SM 43:2;2O,[M+H]+,False,12.82,849.68201,530,True,True,False,99.7,99.9,,,,62030,0,0,0,0,63991,0,0,0,38796,55727,0,0,0,0,2.415936327097251
19396,11246,11.04,548.53955,w/o MS2:Cer 12:0;2O/24:1,[M+H]+,False,10.66,548.5401,530,True,True,False,99.8,100.0,,,,25201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.415948868640085
6949,4869,3.088,316.2681,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,60450,18621,0,0,0,65662,11721,0,0,0,65864,20110,0,0,0,2.4159495552139183
15616,21168,4.694,897.48511,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,0,0,5197,0,0,0,0,3615,0,0,0,0,2.4159527863174537
22009,22713,9.913,956.80328,w/o MS2:NAGlySer 25:0;O(FA 28:5),[M+H]+,False,13.31,956.80249,530,True,True,False,99.7,99.9,,,,5881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.415972651409404
568,18262,8.167,808.61884,HexCer 41:3;4O,[M+H-H2O]+,True,10.52,808.6297,420,True,True,True,74.8,100.0,6.6,67.1,100.0,351662,0,0,0,0,336643,0,0,0,0,329951,0,0,0,0,2.4159758810470793
20025,12544,5.968,602.49097,w/o MS2:Cer 15:3;2O/26:6,[M+H]+,False,9.48,602.49323,530,True,True,False,97.5,99.9,,,,68902,0,0,0,0,90926,0,0,0,0,55949,0,0,0,0,2.4159815283980772
12874,13524,7.779,643.60187,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,76707,0,25180,0,10661,69406,0,0,0,0,68308,0,0,0,0,2.415991000075282
21384,23881,9.754,1058.86206,w/o MS2:HexCer 20:1;3O/38:5;(2OH),[M+H]+,False,13.59,1058.85938,530,True,True,False,96.5,99.9,,,,14480,0,0,0,0,22173,0,0,0,0,21402,0,0,0,0,2.415991745993818
21326,21276,7.443,900.65546,w/o MS2:HexCer 17:2;3O/30:6;(2OH),[M+H]+,False,10.35,900.65588,530,True,True,False,99.9,100.0,,,,0,15339,0,0,0,19599,15010,0,0,8120,0,0,0,0,0,2.416003637055201
24021,26234,5.369,1520.06885,w/o MS2:RIKEN P-VS1 ID-20359 from Mouse_Liver_WT_N_Ctr,[M+H]+,False,8.84,1520.07703,530,True,True,False,71.6,99.9,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4160149145193017
25834,18812,8.804,823.66937,w/o MS2:SM 13:1;2O/30:3,[M+H]+,False,11.3,823.66882,530,True,True,False,99.8,100.0,,,,40207,0,0,0,0,43812,0,0,0,0,39457,0,0,0,0,2.4160434143038043
24188,26888,5.839,1593.17432,w/o MS2:RIKEN P-VS1 ID-20977 from Mouse_Brain_WT_N_Ctr,[M+H]+,False,10.89,1593.16919,530,True,True,False,87.7,99.9,,,,0,0,0,0,0,0,0,0,0,0,33960,0,0,0,0,2.416064113899299
24798,16208,4.806,744.60162,w/o MS2:RIKEN P-VS1 ID-9206 from Mouse_Muscle_WT_CTX5_Ctr,[M+H]+,False,13.06,744.59882,530,True,True,False,96.1,99.6,,,,156233,0,0,0,0,144654,0,0,0,0,152873,0,0,0,0,2.4160754028986466
254,14386,7.435,678.6441,Cer 43:2;3O|Cer 18:1;2O/25:1;O,[M+H]+,True,12.96,678.63953,410,True,True,True,100.0,99.8,34.1,79.0,100.0,86272,0,0,0,0,92023,0,0,0,0,89409,0,0,0,0,2.4160776230052488
21447,10027,11.675,502.29263,w/o MS2:LPC 17:4,[M+H]+,False,4.9,502.29279,530,True,True,False,100.0,99.8,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4160797484851897
691,9440,6.339,480.30804,LPE 18:1,[M+H]+,True,6.41,480.3085,410,True,True,True,100.0,100.0,53.2,74.0,100.0,376413,0,0,0,0,348812,0,0,0,0,418920,0,0,0,0,2.4160918331717722
