,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
15340,20209,5.926,866.54376,Unknown,[M+NH4]+,True,,,999,False,False,False,,,,,,0,366068,0,579593,686539,0,358469,0,530135,694878,0,316106,0,527701,755159,2.6199483539387516
9751,8437,0.629,441.19009,Unknown,[M+Na]+,True,,,999,False,False,False,,,,,,0,0,0,0,4252,0,0,0,0,0,0,0,0,0,4929,2.621188944854198
11570,11198,2.803,547.15637,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,58277,50951,71719,0,9429,66576,50034,80149,0,11342,61696,43693,77717,0,6488,2.622054673562392
7830,5929,0.502,355.11652,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.622384491081891
319,12093,5.959,582.50916,DG 32:2|DG 14:0_18:2,[M+NH4]+,True,9.73,582.50922,410,True,True,True,100.0,99.9,65.0,84.1,100.0,0,120171,299329,0,49919,0,160776,246990,0,0,0,145468,304471,0,0,2.6228421831826663
25061,10971,6.073,537.39453,w/o MS2:SL 12:1;O/15:0;O,[M+H]+,True,6.96,537.39319,530,True,True,False,99.2,100.0,,,,0,48106,0,1550522,255907,0,47363,0,1546506,236977,72791,63614,0,1580446,254484,2.6238891911740145
25405,17080,5.51,773.58545,w/o MS2:SL 12:2;O/34:6,[M+2H]2+,True,11.12,773.58612,530,True,True,False,99.9,99.8,,,,5671782,0,0,3887718,3697666,5905204,0,0,3645760,3872782,5990588,0,120717,4021925,3824112,2.624455373998225
11082,10402,6.075,515.41223,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,118919,83655,55294,659135,107487,107595,87091,0,709434,86994,106948,81862,0,652422,97066,2.6250677336232826
21705,4070,0.48,286.20154,w/o MS2:NAGly 13:1;O,[M+Na]+,False,3.93,286.20129,530,True,True,False,100.0,99.9,,,,0,0,0,481648,791534,0,0,0,461809,782996,0,0,0,427064,788557,2.62512195051389
21842,9149,4.002,469.36697,w/o MS2:NAGly 8:0;O(FA 16:2),[M+H]+,True,6.41,469.36359,530,True,True,False,94.4,100.0,,,,0,462335,0,0,0,0,461206,225148,0,0,0,416485,0,0,0,2.627441079583282
26138,23467,7.181,1007.79413,w/o MS2:SM 55:7;2O,[M+H]+,False,13.28,1007.7915,530,True,True,False,96.6,99.8,,,,46980,69383,97998,34158,59978,33329,51731,95372,29433,47471,34037,61629,93455,34482,58512,2.629450440777556
6239,4087,0.47,287.09018,Unknown,[M+Na]+,True,,,999,False,False,False,,,,,,11613,0,10431,41497,0,8737,0,6520,25785,0,14061,0,0,22931,0,2.6330287391033163
652,10516,1.154,520.34167,LPC 18:2,[M+H]+,True,5.97,520.33978,410,True,True,True,100.0,99.9,67.0,70.8,100.0,74970,6485975,11681610,506316,3528638,79561,6465012,11756167,528438,3684622,77220,6480460,11923352,549798,3600294,2.6432991271707706
9196,7699,0.45,417.15344,Unknown,[M+Na]+,True,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6433878268309607
26837,25140,7.299,1244.15283,w/o MS2:TG 8:0_32:0_38:3,[M+Na]+,False,17.36,1244.14807,530,True,True,False,89.3,99.5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6439127510239366
23337,19686,6.288,849.54047,w/o MS2:RIKEN P-VS1 ID-13345 from Mouse_Adipose_WT_N_F1,[M+H]+,False,13.0,849.53998,530,True,True,False,99.9,99.8,,,,0,77577,0,128148,160606,0,83176,0,123135,171918,0,82045,0,131262,164464,2.644502111161031
7462,5501,0.461,341.10068,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.648654730125644
7434,5462,2.924,340.19763,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.650488407927272
17257,25134,7.89,1242.08337,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,43620,14108,20491,0,0,37856,11653,9798,0,0,45184,13918,18024,0,0,2.6511989996464194
23503,21009,7.419,891.65747,w/o MS2:RIKEN P-VS1 ID-14879 from Mouse_Plasma_ApoEKO_N_Ctr,[M+2H]2+,False,12.19,891.65118,530,True,True,False,82.1,99.9,,,,50432,425203,806631,29117,110763,59156,433480,771480,26220,119053,35453,439892,773852,30621,96010,2.6520557817443695
27367,11528,6.093,559.45001,w/o MS2:VAE 19:4,[M+Na]+,True,11.8,559.45099,530,True,True,False,99.6,99.8,,,,0,0,0,67330,11671,0,0,0,67390,11478,0,0,0,70168,6129,2.653898868084776
1567,12532,4.768,601.52124,RIKEN P-VS1 ID-5826 from Mouse_Feces_WT_N_Ctr,[M+H]+,True,12.88,601.51538,430,True,True,True,80.7,99.7,61.1,88.0,100.0,151256,337098,698251,0,27534,73096,329981,791054,0,23356,111746,329844,753250,0,27721,2.6578037861078134
10265,9183,0.456,471.20044,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,8980,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66385608300707
22648,20069,4.715,861.55219,w/o MS2:PI 34:0,[M+H]+,False,8.91,861.54639,530,True,True,False,84.5,99.9,,,,0,33800,0,0,0,0,0,0,0,0,0,0,0,0,0,2.665242727983154
7471,5510,5.17,341.15817,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6655161425718217
7402,5430,0.475,339.12158,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6674879155315447
9813,8516,1.431,444.332,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,0,0,65265,0,0,0,81295,58163,0,0,0,49452,62761,0,2.6678829734383607
11359,10833,1.414,532.38568,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,12412,0,0,96689,20178,18712,0,50950,86725,17572,13501,0,43128,90729,17152,2.6707419916608197
25181,13856,5.662,657.48816,w/o MS2:SL 12:1;O/24:3;O,[M+H]+,False,8.3,657.48712,530,True,True,False,99.5,100.0,,,,0,0,200522,21784,0,0,126093,0,24073,0,0,0,0,22926,0,2.670860648096386
25157,13285,7.237,633.48523,w/o MS2:SL 12:1;O/22:1;O,[M+H]+,True,8.2,633.48712,530,True,True,False,98.9,100.0,,,,189842,401541,580353,194354,297576,213023,381509,639102,162250,289880,169673,378899,612467,198345,265409,2.6713419177717626
1412,20096,5.186,862.51117,RIKEN P-VS1 ID-13826 from Mouse_Macrophage_WT_N_F1,[M+H]+,True,9.09,862.50879,430,True,True,True,71.3,99.9,81.0,31.3,46.2,0,179255,94363,177753,585649,0,193309,0,214202,601517,0,199494,0,173919,595928,2.673993303199725
20402,13289,8.169,633.54565,w/o MS2:DG 35:0,[M+Na]+,False,12.96,633.54279,530,True,True,False,96.0,99.9,,,,0,28542,30459,0,0,0,26252,31471,0,0,0,23876,0,0,0,2.6744533136765067
324,12932,7.23,617.51404,DG 34:1,[M+Na]+,True,11.53,617.51147,420,True,True,True,100.0,99.9,75.0,75.0,100.0,3423002,4238864,8670735,1721568,2732876,3338125,4330126,8940226,1558779,2587682,3310308,4199157,8688076,1710632,2547374,2.676713116594595
26829,24951,6.644,1214.10449,w/o MS2:TG 8:0_30:0_38:4,[M+H]+,False,17.36,1214.1012,530,True,True,False,94.7,99.4,,,,0,106945,377625,17972,21457,0,102441,348631,0,14219,0,106607,334726,16625,19700,2.6773931823928283
328,12886,6.685,615.49829,DG 34:2,[M+Na]+,True,10.77,615.49591,420,True,True,True,100.0,99.9,74.6,75.0,100.0,138621,5137692,14375452,1155688,1888843,148122,5386749,14564261,1054387,1800912,147688,4986792,14243439,1280886,1760711,2.6792363548321965
6805,4713,0.436,310.91238,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,25785,29075,18439,22832,0,14888,23273,22044,62481,0,21925,27959,16859,32169,0,2.6808014432894747
9849,8573,0.435,446.8884,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,57355,91136,77705,69071,0,64967,108157,69397,81155,0,60665,97891,74747,71871,0,2.6814676545966485
24601,13432,9.397,639.49915,w/o MS2:RIKEN P-VS1 ID-6588 from Mouse_Feces_WT_N_Ctr,[M+H]+,False,10.35,639.49658,530,True,True,False,96.8,100.0,,,,0,87718,0,0,0,0,93601,0,0,0,0,89767,134262,0,0,2.6835216039805014
6571,4459,0.476,301.10593,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,9018,0,0,0,0,0,0,0,0,0,14374,0,2.6839723284767656
9447,8008,2.263,427.39001,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,68683,0,0,0,7035,67004,0,0,0,0,58363,0,2.6862410409923814
21444,10083,2.372,504.30771,w/o MS2:LPC 17:3,[M+H]+,True,5.56,504.3085,530,True,True,False,99.7,99.9,,,,351397,1217819,2772892,67323,113164,360170,1254597,2910878,44835,100712,402864,1320205,2814250,63243,97136,2.6901154171363397
