,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
505,6975,3.567,391.28369,Dioctyl phthalate (also known as the production of plastic),[M+H]+,True,6.76,391.28427,430,True,True,True,84.5,99.9,73.3,70.7,100.0,7872538,8875964,9388538,6918791,9331990,7924374,8426582,10798618,7894221,9527418,8025762,8521344,8169608,8360574,9508020,3.2494282640097354
1575,12581,5.263,603.53656,RIKEN P-VS1 ID-5863 from Mouse_Adipose_WT_N_F1AA,[M+H]+,True,14.76,603.5343,430,True,True,True,91.4,99.5,83.2,89.9,100.0,0,0,0,0,0,381474,0,0,0,0,335691,0,0,0,0,3.2505464336126946
24651,14064,7.324,665.59747,w/o MS2:RIKEN P-VS1 ID-7146 from Mouse_AdrenalGlands_WT_N_Ctr,[M+NH4]+,True,13.32,665.59119,530,True,True,False,89.4,99.8,,,,0,306115,286398,321521,283008,0,312560,271348,316659,254989,0,333692,272974,337590,281603,3.2526476318597006
1955,20310,11.333,869.75732,TG 51:1|TG 16:0_16:0_19:1,[M+Na]+,True,14.7,869.7569,410,True,True,True,100.0,99.9,73.7,72.4,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.253879023555512
20316,10610,9.729,523.38037,w/o MS2:CoQ5,[M+H]+,False,7.34,523.37817,530,True,True,False,97.6,100.0,,,,0,85532,43125,0,0,0,84988,37360,16865,0,4974,70379,52275,18844,0,3.254412186851042
24807,16361,6.197,750.55847,w/o MS2:RIKEN P-VS1 ID-9358 from Mouse_Feces_WT_N_Ctr,[M+H]+,False,9.03,750.5647,530,True,True,False,82.4,100.0,,,,30112078,20704672,32764226,62631208,40087672,28107846,20699560,34864212,62632952,41039048,27034864,20763194,32496842,62267096,37682488,3.2552671400076325
17639,25703,5.064,1443.11572,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2564631562345507
19964,17461,9.61,784.71802,w/o MS2:Cer 13:1;3O/38:3;(2OH),[M+H]+,True,13.39,784.71771,530,True,True,False,100.0,99.9,,,,2604440,1217791,9500,1704719,826982,2914774,268619,1295989,1813160,851654,249186,1138544,273671,1794011,891326,3.2617366330066884
15307,20133,5.214,863.5672,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.265236531264311
1741,17998,7.387,801.68396,SM 41:1;2O|SM 18:1;2O/23:0,[M+H]+,True,12.76,801.68439,410,True,True,True,100.0,99.9,84.0,84.3,100.0,840715,8125839,19929430,461742,1992040,846183,7989271,19764040,402638,1942453,907508,8113828,19566548,445020,1836071,3.2671194224600018
9173,7640,3.778,415.19162,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2698093789592817
1251,16741,5.149,762.54285,PE P-39:6|PE P-17:0_22:6,[M+H]+,True,9.96,762.54321,410,True,True,True,100.0,99.9,48.6,94.9,100.0,0,5451039,3748751,143217,0,0,5984234,3941972,143556,0,0,5784144,4038349,147013,0,3.2698460521782207
17719,25817,4.975,1465.09924,Unknown,[M+NH4]+,False,,,999,False,False,False,,,,,,0,6081,0,0,19466,0,4336,0,0,22572,0,0,0,17560,0,3.2720832462114378
411,16466,4.916,753.54645,DG 45:10,[M+Na]+,True,11.83,753.54279,420,True,True,True,100.0,99.8,43.8,75.0,100.0,1516032,1562147,1425607,902306,1185446,1573884,1723196,0,868774,1152517,1454450,1686645,1639606,909086,1115188,3.274889346230497
5162,2914,3.864,236.16762,Unknown,[M+NH4]+,True,,,999,False,False,False,,,,,,271871,284916,772820,0,0,274733,303670,683436,0,0,266151,306162,745255,0,233422,3.2846104127619626
26644,21441,7.737,905.67303,w/o MS2:TG 8:0_15:2_32:9,[M+2H]2+,True,13.33,905.66302,530,True,True,False,85.8,99.8,,,,180571,304809,827387,139915,200524,210361,306372,856638,131878,193682,192393,319812,869470,135155,198037,3.288798983815009
5187,2939,10.006,237.11205,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,134504,83408,44501,0,0,126075,76960,0,0,0,137697,89750,39158,0,3.2896503588585833
1721,17561,7.074,787.67157,SM 40:1;2O|SM 18:1;2O/22:0,[M+H]+,True,12.08,787.66882,410,True,True,True,100.0,99.9,82.2,83.4,100.0,0,0,0,0,6722838,0,54745,0,0,7270160,21622614,0,0,0,0,3.292988454534614
7373,5391,5.772,337.2735,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,473619,343784,133129,17947,0,518219,348407,117508,0,0,470255,413074,123278,0,3.2954844171394106
19169,9401,3.56,478.39084,w/o MS2:CAR 22:3,[M+H]+,False,6.55,478.3891,530,True,True,False,98.5,100.0,,,,1383766,1591408,1571426,5323622,1375236,1439143,1496061,1562185,1245865,1445024,1385055,1576843,1570250,1219323,1429103,3.2964653946961304
2004,20577,10.49,877.72461,TG 52:4|TG 16:0_16:0_20:4,[M+Na]+,True,14.29,877.72559,410,True,True,True,100.0,99.9,71.0,74.8,100.0,152961,8793568,6589321,29313564,1112849,878418,9045099,1091561,31771016,17270714,908778,8973356,6823628,31991314,1127171,3.298519411948422
18659,27178,10.733,1632.43005,Unknown,[M+Na]+,False,,,999,False,False,False,,,,,,0,1701426,573491,584876,0,0,1935692,560545,749135,0,0,1668078,497459,555539,0,3.2990371278597705
1542,11324,6.339,550.63007,RIKEN P-VS1 ID-4994 from Mouse_Muscle_WT_CTX0_Ctr,[M+H]+,True,10.91,550.62952,430,True,True,True,85.9,99.9,74.7,74.7,100.0,71941,54345,110659,702396,109051,77855,60978,110707,689598,111611,77648,65819,120042,778933,104858,3.3006201627344245
1286,21531,5.833,908.62225,PI 38:2,[M+NH4]+,True,8.99,908.62231,410,True,True,True,100.0,99.9,58.4,70.0,100.0,0,199679,1052334,0,0,0,89147,458837,0,0,0,81402,434601,0,0,3.3023787448826982
15605,21123,10.691,895.70081,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3034989426976793
128,9774,3.572,492.40427,Cer 30:3;4O,[M+H-H2O]+,True,7.1,492.40469,420,True,True,True,76.2,99.9,23.8,53.1,78.6,433873,514170,493718,418788,475922,463746,462292,471141,376948,471074,451536,505234,520631,423847,446686,3.30389795654925
27128,21481,10.577,906.84723,w/o MS2:TG 8:0_8:0_38:1,[M+H]+,True,15.38,906.84839,530,True,True,False,99.8,99.9,,,,0,4896198,1049611,4036022,0,60335,4005231,0,4162036,0,0,3664694,0,3991556,815088,3.3043356486154587
25552,19511,5.896,844.65436,w/o MS2:SL 15:1;O/36:6;O,[M+H]+,False,12.95,844.64832,530,True,True,False,83.3,99.8,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3045632584100813
2899,594,0.439,148.11403,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,2261334,640350,3818992,33859,516533,2151602,681557,3754522,29382,561471,2259400,706674,3880193,0,532605,3.306691040407455
307,10810,4.705,531.40997,DG 28:2,[M+Na]+,True,8.49,531.40198,420,True,True,True,94.0,99.9,5.5,75.0,100.0,33538,27598,35167,78539,40636,36328,25262,41366,81520,36698,32551,26558,41959,87006,35409,3.3081565238512236
1661,15428,5.3,717.59296,SM 35:1;2O|SM 18:1;2O/17:0,[M+H]+,True,9.17,717.59052,410,True,True,True,100.0,99.9,73.5,75.2,100.0,1215362,3805938,7369871,892887,1167356,1136490,3785537,8370371,895690,1240134,1041225,4132077,7480640,1058290,1210618,3.3128476550759975
22672,20776,4.758,883.534,w/o MS2:PI 36:3,[M+Na]+,False,8.35,883.5307,530,True,True,False,94.7,99.9,,,,0,0,253107,0,10929,8367,0,289666,0,11447,0,73196,241249,0,10116,3.315344367440879
1211,15342,6.02,714.54523,PE P-35:2|PE P-17:0_18:2,[M+H]+,True,10.19,714.54321,410,True,True,True,100.0,99.9,67.2,93.5,100.0,1283893,2503516,1830917,184355,0,1102022,3256606,2094213,245990,4526,1145154,2211176,1839740,260956,9416,3.3165728651655684
7751,5844,3.956,353.15802,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3194970844810348
26109,22148,9.78,931.73456,w/o MS2:SM 50:7;3O,[M+H]+,False,11.82,931.72632,530,True,True,False,71.2,100.0,,,,0,22252,27295,0,0,0,21064,17262,0,0,0,17750,15163,0,0,3.3221792496819003
22724,21976,5.016,924.56244,w/o MS2:PI 40:8,[M+H]+,False,8.02,924.55969,530,True,True,False,96.3,100.0,,,,7099,223067,13310,230249,248219,47166,222927,14288,222514,245402,71538,227467,16010,235785,217735,3.323410214608378
23687,22601,11.547,951.76154,w/o MS2:RIKEN P-VS1 ID-16645 from Mouse_Aorta_WT_N_Ctr,[M+H]+,True,14.97,951.75568,530,True,True,False,96.4,99.9,,,,63393,563157,377585,538864,104032,72937,522792,364042,541750,107289,64139,546893,333453,514970,97922,3.3242553971573083
13045,13892,5.963,658.68591,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,776182,787087,223075,823837,638224,866799,825165,166850,802525,607369,780061,798312,0,807357,628360,3.324824335653175
7485,5524,2.545,341.30466,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,16853,186536,544318,0,14753,35545,184649,451600,0,12800,41271,154207,528235,0,11247,3.3248730258485977
2194,22598,10.181,951.745,TG 58:9|TG 18:1_20:4_20:4,[M+Na]+,True,14.11,951.74121,410,True,True,True,100.0,99.9,70.0,74.9,100.0,69098,0,218377,804319,648550,80384,0,217945,801467,610188,76916,0,236810,785718,630867,3.327801695837097
6542,4425,3.489,300.14453,Unknown,[M+Na]+,True,,,999,False,False,False,,,,,,0,0,0,0,0,462111,0,0,0,608938,0,0,0,0,0,3.3295196318242435
91,9116,2.947,468.40646,CAR 21:1,[M+H]+,True,7.2,468.40469,410,True,True,True,100.0,99.9,80.7,87.7,100.0,0,351182,342453,0,0,0,350717,244236,0,0,0,43285,240707,0,0,3.33129111151928
7223,5208,3.471,329.15854,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,0,0,0,5997,0,0,0,0,0,0,0,0,0,0,3.3374663522894386
22086,19884,6.0,855.6604,w/o MS2:NAOrn 22:5;O(FA 28:6),[M+H]+,False,11.47,855.66101,530,True,True,False,99.8,99.8,,,,250078,532442,485049,123686,0,249925,672518,597096,117114,0,238930,606099,494383,0,0,3.3411350232471118
1923,19742,11.15,850.78558,TG 50:1|TG 16:0_16:0_18:1,[M+NH4]+,True,14.62,850.78583,410,True,True,True,100.0,99.9,67.7,89.7,100.0,2624609,381302528,141954656,312215552,59791696,2768578,420479744,138164496,320830752,60166532,2737891,409857792,141076816,317321728,60917424,3.3424210390909805
1658,14993,4.433,701.56219,SM 34:2;2O|SM 18:1;2O/16:1,[M+H]+,True,8.5,701.5592,410,True,True,True,100.0,99.9,71.2,72.6,100.0,89453,328272,503636,1427742,4902458,79481,341107,557106,1356634,4702888,88932,341592,567591,1287104,4960964,3.3426247087102667
11216,10599,5.732,522.59802,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,19283,45442,303741,145770,34534,165239,45450,214759,150411,138025,184235,41556,300365,123376,12946,3.34403720455031
804,16199,4.976,744.55634,PC 33:2|PC 15:0_18:2,[M+H]+,True,8.89,744.55377,410,True,True,True,100.0,99.9,86.1,75.8,100.0,445847,3590519,11004242,2176217,1615416,496825,3537993,11823242,2111781,1616733,515894,3607079,10951235,2211817,1507290,3.3454417528859723
994,15020,5.107,702.54565,PC O-31:2,[M+H]+,True,9.01,702.54321,420,True,True,True,99.2,99.9,79.8,81.5,100.0,0,573425,1821253,0,0,0,566798,1946349,0,0,0,570922,1741935,0,0,3.348114482126456
1552,11974,5.19,577.52063,RIKEN P-VS1 ID-5423 from Mouse_Plasma_ApoEKO_N_F1DHA,[M+H]+,True,13.05,577.51569,430,True,True,True,74.6,99.7,65.6,75.5,50.0,0,0,0,0,0,907066,3064349,0,0,0,0,0,0,0,0,3.3485098245618814
26505,22228,10.877,934.87842,w/o MS2:TG 8:0_10:0_38:1,[M+H]+,True,15.93,934.8797,530,True,True,False,99.8,99.9,,,,0,0,0,0,0,0,0,0,0,0,0,0,4166913,0,0,3.3559228024036396
1350,17750,4.513,793.5025,RIKEN P-VS1 ID-11002 from Mouse_Lung_WT_N_F1AA,[M+H]+,True,8.34,793.49323,430,True,True,True,73.8,99.9,69.0,66.1,41.7,0,133631,406606,0,0,25280,138393,403736,0,0,195186,152228,427151,19703,13418,3.3567005385564896
27362,11160,3.251,545.43726,w/o MS2:VAE 18:4,[M+H]+,True,11.2,545.4353,530,True,True,False,99.8,99.7,,,,47329,52899,59844,55150,62523,56960,53372,55496,64036,58590,48997,58904,49363,59394,62279,3.3689774080891293
1030,16492,5.301,754.57727,PC O-35:4,[M+H]+,True,9.48,754.57452,420,True,True,True,100.0,99.9,86.1,86.5,100.0,0,3223063,3845990,130025,0,0,4760225,3953732,0,69452,0,4697842,4136078,159535,56340,3.3700921827785977
