,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
23283,19125,8.907,833.58435,w/o MS2:RIKEN P-VS1 ID-12734 from Mouse_Macrophage_WT_N_F1AA,[M+H]+,False,9.91,833.58582,530,True,True,False,98.9,100.0,,,,0,25024,78771,0,0,0,22103,68379,0,0,0,25338,81917,0,0,2.6539154562868483
25419,13556,9.726,645.48883,w/o MS2:SL 13:1;O/22:2;O,[M+H]+,False,7.97,645.48712,530,True,True,False,98.6,100.0,,,,9367,89067,69438,21366,0,0,94161,56134,17718,0,9748,101009,60041,24400,0,2.6547611032443434
1758,19209,7.057,835.66882,SM 42:2;2O,[M+Na]+,True,12.58,835.66632,420,True,True,True,100.0,99.8,91.0,95.2,100.0,15187439,227243,326239,160519,3636426,16350637,1285150,1184039,1703280,3579266,15754745,1306118,1164282,1731903,3449616,2.655414657606453
108,3129,0.476,246.17062,CAR 5:0,[M+H]+,True,0.68,246.17,410,True,True,True,100.0,100.0,40.2,87.3,100.0,0,243097,0,94022,123677,0,254758,0,107944,133157,0,249684,0,134277,130380,2.6558784612878825
1567,12532,4.768,601.52124,RIKEN P-VS1 ID-5826 from Mouse_Feces_WT_N_Ctr,[M+H]+,True,12.88,601.51538,430,True,True,True,80.7,99.7,61.1,88.0,100.0,151256,337098,698251,0,27534,73096,329981,791054,0,23356,111746,329844,753250,0,27721,2.6577308478219677
26288,7088,9.84,395.3688,w/o MS2:ST 29:2;O,[M+H]+,False,9.46,395.36719,530,True,True,False,98.7,100.0,,,,0,63847,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6578397661254822
22759,23612,4.83,1024.68469,w/o MS2:PI 47:7,[M+H]+,False,10.37,1024.68494,530,True,True,False,100.0,99.8,,,,0,0,0,23622,26642,0,0,0,20528,26724,0,0,0,19119,23007,2.657938617981561
15325,20186,5.71,865.58344,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,434393,1300224,0,0,0,452028,1406964,28755,0,24581,396037,1450254,28818,21396,2.6594733095903633
21808,20296,5.976,869.67371,w/o MS2:NAGly 26:6;O(FA 28:6),[M+Na]+,False,12.39,869.67657,530,True,True,False,96.0,99.8,,,,193577,533632,393334,91288,0,205356,518361,451448,106918,0,167442,514176,426322,102102,0,2.6612150697756474
340,13455,7.919,640.59027,DG 36:1|DG 18:0_18:1,[M+NH4]+,True,12.94,640.58752,410,True,True,True,100.0,99.9,75.4,89.8,100.0,887483,777759,1189449,59690,55784,912675,720280,1142203,49358,57945,952327,728146,1220269,57476,50118,2.664597683661183
7191,5172,10.089,327.30453,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,46549,27040,0,117217,0,55175,17588,0,19622,0,43258,24302,0,105001,2.6652024905546865
20321,15681,9.579,727.56683,w/o MS2:CoQ8,[M+H]+,True,12.49,727.56598,530,True,True,False,99.8,99.9,,,,0,44895,35144,0,0,0,63399,26768,0,0,0,34027,22278,0,0,2.6659404837349308
20316,10610,9.729,523.38037,w/o MS2:CoQ5,[M+H]+,False,7.34,523.37817,530,True,True,False,97.6,100.0,,,,0,85532,43125,0,0,0,84988,37360,16865,0,4974,70379,52275,18844,0,2.666822292180706
1887,18948,10.745,827.71014,TG 48:1|TG 14:0_16:0_18:1,[M+Na]+,True,14.28,827.7099,410,True,True,True,100.0,99.9,69.3,74.8,100.0,521058,15173800,13297552,7150604,5869928,552670,15071165,13094401,7439207,5832512,526794,14685854,12337442,7394140,5928245,2.669832951607926
2227,23558,12.048,1018.9729,TG 62:1|TG 16:0_28:0_18:1,[M+NH4]+,True,17.28,1018.97357,410,True,True,True,100.0,99.8,26.5,80.9,100.0,0,567339,44358,194340,17992,8512,751844,31777,207778,19880,5187,257018,37762,191268,22486,2.6704610408847933
2296,21250,11.53,899.74573,TG O-55:7|TG O-21:5_17:1_17:1,[M+Na]+,True,14.73,899.74628,410,True,True,True,100.0,99.9,29.0,74.3,100.0,630730,942491,1035939,765077,673310,646025,1104399,945855,839459,671043,617863,1042662,1041900,710054,653914,2.6706608032066055
2209,22965,9.94,970.7887,TG 60:11|TG 16:0_22:5_22:6,[M+NH4]+,True,14.0,970.78583,410,True,True,True,100.0,99.9,28.3,76.5,100.0,13104,0,0,132835,88803,10941,0,0,113134,91475,0,0,19586,116393,101134,2.6717356752230104
1573,12579,6.12,603.5343,RIKEN P-VS1 ID-5863 from Mouse_Adipose_WT_N_F1AA,[M+H]+,True,14.76,603.5343,430,True,True,True,90.6,99.6,83.4,87.5,90.0,1080537,1644517,6860204,0,0,1050445,1564826,6895314,200464,33887,1021708,1519975,7534671,214950,0,2.675205093665645
14455,17462,9.95,784.73529,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,260829,339650,271023,279221,297918,295471,0,292466,277183,303904,0,334973,0,297254,294351,2.6752550621256206
23987,26081,10.086,1502.00647,w/o MS2:RIKEN P-VS1 ID-20208 from Mouse_Kidney_fads2KO_N_Ctr,[M+H]+,False,13.45,1502.00049,530,True,True,False,83.6,99.9,,,,8011,0,0,0,0,10786,0,0,0,0,0,6308,0,0,0,2.67706157483623
10979,10252,5.416,509.50586,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,16834,19723,0,417618,94813,10755,0,0,417918,84865,16665,0,0,479953,91938,2.6774740900824763
25923,14561,6.206,685.43829,w/o MS2:SM 32:7;2O,[M+Na]+,True,6.61,685.43158,530,True,True,False,91.3,100.0,,,,1906247,3581528,3340882,12691506,9130915,1860332,3602972,3448790,12514068,9367242,1912846,3379483,3362114,12604846,8800354,2.6792320558007217
25240,15323,9.729,713.55145,w/o MS2:SL 12:1;O/28:3;O,[M+H]+,False,9.22,713.54968,530,True,True,False,98.4,100.0,,,,7734,100345,77087,37341,0,0,101290,64290,32886,0,0,123262,72821,29874,0,2.6805143090443604
4674,2407,0.481,215.12527,Unknown,[M+Na]+,True,,,999,False,False,False,,,,,,0,0,0,148086,93422,12953,0,0,146858,99922,13111,0,0,165244,79373,2.682883240383142
5735,3531,0.485,265.11148,Unknown,[M+Na]+,True,,,999,False,False,False,,,,,,271952,371030,312889,23840,34476,269903,359107,352862,29385,35873,280439,401724,340957,23301,3840,2.6830304281406794
