index_no,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
1564,12529,9.699,601.51886,RIKEN P-VS1 ID-5826 from Mouse_Feces_WT_N_Ctr,[M+H]+,TRUE,12.88,601.51538,430,TRUE,TRUE,TRUE,81.3,99.9,62.3,88.0,100.0,0,858699,164741,0,0,0,903835,147879,0,0,0,897723,192354,0,0,2.1586458114496500
23965,25939,5.627,1484.14612,w/o MS2:RIKEN P-VS1 ID-20084 from Mouse_Kidney_fads2KO_N_Ctr,[M+H]+,TRUE,9.64,1484.12939,530,TRUE,TRUE,FALSE,85.3,99.9,,,,0,13811947,65174,658015,0,0,14218192,59562,608988,0,0,14002207,70169,639520,0,2.1600207303516100
3640,1362,3.317,186.058,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,6205420,0,5940122,0,0,5490535,0,6008667,0,0,5945346,0,6075982,2.1609570265106700
27275,25464,12.348,1331.24927,w/o MS2:TG 9:0_38:0_38:6,[M+H]+,FALSE,17.42,1331.25525,530,TRUE,TRUE,FALSE,83.6,99.9,,,,55480,41070,86121,1475513,0,65285,51227,81001,1380459,0,55770,45654,87582,1477979,0,2.1630006697545600
26854,25364,7.935,1300.20862,w/o MS2:TG 8:0_36:0_38:3,[M+H]+,FALSE,17.46,1300.21069,530,TRUE,TRUE,FALSE,97.9,99.5,,,,279835,140685,229723,0,0,321304,145102,183802,0,0,294963,122232,216570,0,0,2.163205384278080
21262,23062,9.77,976.88934,w/o MS2:HexCer 17:0;2O/38:1,[M+H]+,FALSE,14.07,976.89032,530,TRUE,TRUE,FALSE,99.5,99.9,,,,0,203000,31177,0,0,0,196368,23635,0,0,0,219061,0,0,0,2.1638005351646700
10294,9226,1.955,472.33575,Unknown,[M+NH4]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,214695,232089,193241,202903,145204,205162,207066,219466,200681,134595,189872,222736,211637,199297,142863,2.1639983699343600
23982,26068,5.726,1500.0835,w/o MS2:RIKEN P-VS1 ID-20185 from Mouse_AdrenalGlands_fads2KO_N_Ctr,[M+H]+,FALSE,9.25,1500.07751,530,TRUE,TRUE,FALSE,83.6,99.9,,,,511460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1640240437088000
658,10941,1.913,536.36432,LPC 19:1/0:0,[M+H]+,TRUE,6.67,536.37109,410,TRUE,TRUE,TRUE,97.5,99.9,22.6,67.8,100.0,100431,139536,96696,125331,62198,131220,137148,124023,120355,71794,115656,134730,126381,120616,67371,2.1646597684740900
27397,13521,4.779,643.54028,w/o MS2:VAE 23:1,[M+H]+,FALSE,13.91,643.54248,530,TRUE,TRUE,FALSE,97.6,99.6,,,,0,0,0,147986,0,0,0,0,60741,0,0,0,0,0,0,2.1647798328199600
1600,13991,6.198,663.45654,RIKEN P-VS1 ID-7082 from Mouse_Macrophage_WT_N_F1AA,[M+H]+,TRUE,9.9,663.45538,430,TRUE,TRUE,TRUE,98.8,99.9,98.1,97.5,100.0,25075088,15898047,33178790,58363872,32638036,25142632,15936268,36500356,55810344,33881500,24595304,15567137,34764352,57386172,31751920,2.1659242938903800
11874,11723,4.784,567.53076,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,43408,55079,50703,0,0,0,0,0,48096,0,50655,51091,42111,0,0,2.166197252826140
1084,18572,6.385,816.69519,PC O-39:1,[M+H]+,TRUE,13.2,816.68408,420,TRUE,TRUE,TRUE,91.2,99.8,27.7,83.1,100.0,98123,2394205,1391940,2205591,1282354,0,2438083,1383914,2239326,1253404,0,2344648,1399738,2311595,1227478,2.1663364803321200
24066,26389,5.776,1537.19019,w/o MS2:RIKEN P-VS1 ID-20498 from Mouse_AdrenalGlands_fads2KO_N_Ctr,[M+H]+,FALSE,9.27,1537.18726,530,TRUE,TRUE,FALSE,95.8,99.9,,,,236253,0,0,0,0,223698,0,27496,0,0,128944,0,0,0,0,2.1663623154745400
16119,22948,11.799,969.76312,Unknown,[M+Na]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,339934,69795,144137,0,5619,304492,70479,136179,0,0,364656,71254,136340,0,2.1667844145231500
686,10145,2.321,506.3605,LPC O-18:2,[M+H]+,TRUE,6.28,506.3605,410,TRUE,TRUE,TRUE,100.0,99.9,54.9,94.1,100.0,0,194494,322418,0,98639,0,0,543340,0,107787,0,0,427341,0,86292,2.1671927014890000
919,18841,5.931,824.61908,PC 39:4|PC 17:0_22:4,[M+H]+,TRUE,9.98,824.61639,410,TRUE,TRUE,TRUE,100.0,99.9,84.5,73.7,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.167534573408920
