index_no,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
19560,10212,3.36,508.41388,w/o MS2:Cer 12:1;2O/22:6,[M+H]+,FALSE,7.86,508.41489,530,TRUE,TRUE,FALSE,99.5,99.9,,,,0,0,41226,0,0,0,0,34198,0,0,0,0,37317,0,0,1.8078371244517200
20930,15245,6.264,710.54846,w/o MS2:HexCer 16:0;2O/19:2;O,[M+H]+,FALSE,8.95,710.55652,530,TRUE,TRUE,FALSE,72.3,100.0,,,,0,0,0,0,0,99008,0,0,0,0,0,0,0,0,0,1.8078381497691400
22042,16076,8.644,740.61646,w/o MS2:NAGlySer 9:0;O(FA 28:1),[M+H]+,FALSE,10.2,740.61469,530,TRUE,TRUE,FALSE,98.4,100.0,,,,0,0,167207,0,12502,0,0,169172,0,12017,0,0,175074,0,12435,1.8078613153734100
14911,18823,9.514,823.82184,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,256680,0,1142,0,0,209095,0,0,0,0,0,0,0,1.8078643237148600
9855,8579,3.9,447.2919,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,52348,0,0,0,0,47378,0,0,0,0,59338,0,0,1.8078839739330900
19143,9016,3.496,464.37299,w/o MS2:CAR 21:3,[M+H]+,TRUE,6.3,464.37341,530,TRUE,TRUE,FALSE,99.9,100.0,,,,636448,730692,700520,523643,663959,647502,670524,709606,525382,674972,626111,699872,741544,549506,662795,1.8078848718129300
24754,3638,3.497,269.22748,w/o MS2:RIKEN P-VS1 ID-865 from Mouse_Spleen_WT_N_F1AA,[M+H]+,FALSE,13.27,269.22849,530,TRUE,TRUE,FALSE,99.5,99.5,,,,0,0,155563,0,0,0,0,149830,0,0,0,0,149823,0,0,1.807915523176000
11829,11661,1.713,565.31287,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,11992,0,61604,0,0,10159,0,56970,0,8652,13356,0,74698,0,0,1.8079204481380900
14384,17274,9.279,779.79639,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,83574,0,0,0,0,79822,0,0,0,0,80964,0,0,1.8079217808862900
20029,13885,7.473,658.55249,w/o MS2:Cer 15:3;2O/30:6,[M+H]+,FALSE,11.11,658.55579,530,TRUE,TRUE,FALSE,94.7,99.9,,,,0,0,0,0,0,0,0,28462,0,0,0,0,31623,0,0,1.8079272007053900
19725,15650,8.328,726.6012,w/o MS2:Cer 12:1;3O/34:6;(2OH),[M+H]+,FALSE,10.72,726.60309,530,TRUE,TRUE,FALSE,98.2,100.0,,,,0,0,175307,0,0,0,0,166397,0,0,0,0,167277,0,0,1.8079682769193100
23458,20663,10.283,879.88452,w/o MS2:RIKEN P-VS1 ID-14524 from Mouse_SmallIntestine_WT_N_F1,[M+H]+,FALSE,14.55,879.88422,530,TRUE,TRUE,FALSE,100.0,99.9,,,,0,0,74807,0,0,0,0,0,0,0,0,0,72002,0,0,1.8079758598247900
26387,20459,3.633,874.58167,w/o MS2:TG 15:4_15:4_20:5;3O,[M+H]+,FALSE,8.96,874.58282,530,TRUE,TRUE,FALSE,99.3,99.8,,,,0,0,21343,0,0,0,0,10594,0,0,0,0,33020,0,0,1.80799098822188
19402,11588,6.191,562.52191,w/o MS2:Cer 12:0;2O/24:2;O,[M+H]+,TRUE,9.76,562.51941,530,TRUE,TRUE,FALSE,99.5,100.0,,,,0,0,348547,0,15412,0,0,421738,0,18389,0,0,336386,0,20257,1.8079979169448700
25787,14948,4.567,699.54504,w/o MS2:SM 12:1;2O/22:2,[M+Na]+,FALSE,8.52,699.54358,530,TRUE,TRUE,FALSE,98.9,99.9,,,,0,5306,67729,0,15484,0,0,65942,0,0,0,9259,71386,0,15939,1.808039232619330
