index_no,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
23280,19106,6.487,832.65344,w/o MS2:RIKEN P-VS1 ID-12699 from Mouse_Spleen_WT_N_F1AA,[M+NH4]+,TRUE,12.68,832.65588,530,TRUE,TRUE,FALSE,98.9,99.8,,,,0,0,110165,0,0,0,0,132588,0,0,0,0,119788,0,0,1.7221170606300100
12799,13365,5.797,636.64233,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,1042641,0,0,0,0,1017552,0,0,0,0,992934,0,1.7221316648377100
23579,21777,9.992,917.68542,w/o MS2:RIKEN P-VS1 ID-15743 from Mouse_Plasma_ApoEKO_N_Ctr,[M+Na]+,FALSE,14.31,917.68719,530,TRUE,TRUE,FALSE,98.4,99.9,,,,0,0,0,0,0,0,0,0,475384,0,0,0,0,420599,0,1.7221556193390100
8873,7249,2.469,401.18015,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7221643555505400
10663,9761,3.066,491.42242,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,37821,0,0,0,0,40696,0,0,0,0,43315,0,1.7222220117010500
26895,12409,5.351,596.4895,w/o MS2:TG 8:0_8:0_16:2,[M+NH4]+,FALSE,8.99,596.48853,530,TRUE,TRUE,FALSE,99.5,99.9,,,,0,0,0,0,0,0,0,0,0,0,0,10015,0,0,0,1.7222273685030200
12217,12301,6.969,591.58435,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,3256879,0,0,0,0,3265233,0,0,0,0,3174070,0,1.722232734934720
12016,11982,6.627,577.5686,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,653670,0,0,0,0,632028,0,0,0,0,628717,0,1.7223692413274600
26996,17732,8.462,792.70776,w/o MS2:TG 8:0_8:0_30:2,[M+H]+,FALSE,13.74,792.70758,530,TRUE,TRUE,FALSE,100.0,99.9,,,,0,0,0,152129,122703,0,0,0,138809,0,0,0,0,165331,128732,1.722391187644280
13425,14792,7.078,692.7052,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,980426,0,0,0,0,976431,0,0,0,0,931356,0,1.7223947284403000
19952,16077,8.148,740.61707,w/o MS2:Cer 13:1;3O/34:6;(2OH),[M+H]+,FALSE,11.63,740.61877,530,TRUE,TRUE,FALSE,98.6,100.0,,,,0,0,64351,0,0,0,0,76824,0,0,0,0,66962,0,0,1.7224056182715200
16486,23838,4.749,1052.66455,Unknown,[M+2H]2+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,31398,0,0,0,0,30059,0,0,0,0,31591,0,1.72245011810456
5435,3213,0.431,251.13675,Unknown,[M+Na]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,287596,72271,0,0,0,285059,81597,0,0,0,349355,69477,1.7224599281611700
1219,15717,6.252,728.56177,PE P-36:2|PE P-18:1_18:1,[M+H]+,TRUE,10.61,728.5589,410,TRUE,TRUE,TRUE,100.0,99.9,65.4,87.1,100.0,0,0,5998772,0,0,0,0,6241821,0,0,0,0,6256458,0,0,1.7224678584421000
11383,10870,4.997,533.5058,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,666554,0,0,0,0,670163,0,0,0,0,641447,0,1.722477471369920
5314,3078,0.473,243.17015,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,259195,0,0,0,0,260820,0,0,0,0,260993,0,0,1.7224819665893500
13178,14181,0.897,670.25623,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,12414,15562,15431,15318,5242,16022,19008,16270,14575,7951,15431,15764,17489,16578,6218,1.7224866699437700
16305,23424,3.306,1004.65594,Unknown,[M+NH4]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,822535,0,0,0,0,813995,0,0,0,0,788227,0,1.7225195342828500
9766,8462,4.033,441.46863,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,32034,0,0,0,0,20668,0,0,0,0,23859,0,1.7225342972642600
5433,3207,3.747,251.0477,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,96797,0,0,0,0,80724,0,0,0,0,99124,0,1.7225396775681800
7781,5874,9.326,354.21371,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7225490724610400
12015,11981,6.486,577.56848,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,1571508,0,0,0,0,1493939,0,0,0,0,1518764,0,1.722574493075990
10150,9009,1.984,464.29352,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,252887,0,0,0,0,248957,0,0,0,0,278744,0,1.7225836740701600
12634,13052,6.552,622.62439,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,773608,0,0,0,0,729239,0,0,0,0,741965,0,1.7225941081555700
3402,1114,3.384,175.01596,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,3629204,0,0,0,0,3598941,0,0,0,0,3540019,0,1.7225996950633600
21045,13580,2.355,646.48889,w/o MS2:HexCer 16:0;3O/13:0;(2OH),[M+H]+,FALSE,7.92,646.48889,530,TRUE,TRUE,FALSE,100.0,99.8,,,,0,0,0,188745,0,0,0,0,192272,2569,0,0,0,192407,0,1.7226045451109700
3285,996,0.468,169.09706,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,70013,40973,297231,0,0,77100,0,298371,22731,0,78248,27713,276281,0,0,1.7226278991345700
22543,22617,4.7,952.61377,w/o MS2:PG 15:4_34:9,[M+2H]2+,TRUE,9.47,952.6062,530,TRUE,TRUE,FALSE,93.3,99.9,,,,0,0,0,592956,0,0,0,0,614819,0,0,0,0,609743,0,1.722631394045530
1647,14760,4.856,691.5777,SM 33:0;2O,[M+H]+,TRUE,9.24,691.57489,420,TRUE,TRUE,TRUE,100.0,99.9,53.3,66.0,100.0,0,0,0,0,0,0,0,0,0,0,0,56304,0,0,0,1.7226812291586200
13588,15156,1.726,707.27051,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,8385,0,46264,0,0,10180,0,52366,0,0,0,0,43965,0,0,1.7227117105566800
21489,13878,1.474,658.47638,w/o MS2:LPC 26:0,[M+H]+,FALSE,8.6,658.47821,530,TRUE,TRUE,FALSE,98.3,99.8,,,,0,0,0,80711,3692,0,0,0,80774,2816,3580,0,0,77777,0,1.7227190108898700
12916,13618,4.57,647.58344,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7227287100590200
21990,9094,9.726,467.31729,w/o MS2:NAGlySer 20:3;O,[M+H]+,FALSE,5.88,467.31161,530,TRUE,TRUE,FALSE,85.1,99.9,,,,13676,145260,99711,51247,0,13708,156869,82843,45904,0,12670,161331,87327,43875,0,1.722734816015520
10626,9699,2.673,489.40427,Unknown,[M+Na]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,29185,0,0,0,0,41096,0,0,0,0,18622,0,1.7227403759656300
19842,13786,7.093,654.58252,w/o MS2:Cer 13:0;2O/30:5;O,[M+H]+,FALSE,11.77,654.58197,530,TRUE,TRUE,FALSE,99.8,99.9,,,,0,0,76643,0,0,0,0,73355,0,0,0,0,0,0,0,1.7227666508739900
24548,12944,1.709,618.36145,w/o MS2:RIKEN P-VS1 ID-6173 from Mouse_BAT_fads2KO_N_Ctr,[M+NH4]+,FALSE,6.22,618.36407,530,TRUE,TRUE,FALSE,96.6,99.9,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7227706739798200
1505,26691,5.934,1572.19971,RIKEN P-VS1 ID-20824 from Mouse_AdrenalGlands_fads2KO_N_Ctr,[M+H]+,TRUE,9.93,1572.20056,430,TRUE,TRUE,TRUE,87.0,99.9,86.1,84.7,55.6,0,0,35888572,0,0,0,0,0,0,0,0,0,36129560,0,0,1.7227964667080100
6847,4755,0.491,312.13184,Unknown,[M+NH4]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,78424,0,0,0,0,73669,0,0,0,0,79212,0,0,1.7228031667142200
11475,11031,2.697,539.45294,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7228166522821500
12680,13121,6.725,625.56665,Unknown,[M+Na]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,72350,0,0,0,0,78080,0,5876,0,0,71876,0,1.722872043956770
25129,11297,0.724,550.35968,w/o MS2:SL 12:1;O/19:5,[M+NH4]+,FALSE,6.31,550.35608,530,TRUE,TRUE,FALSE,93.7,99.8,,,,0,0,0,69462,0,0,0,0,67182,0,0,0,0,78226,0,1.7228812959828900
18941,19862,9.609,854.68439,w/o MS2:ASG 28:2;O;Hex;FA 19:2,[M+H]+,FALSE,12.69,854.68683,530,TRUE,TRUE,FALSE,97.1,100.0,,,,0,0,132281,0,0,0,0,141513,0,0,0,0,118743,0,0,1.7228876031667200
21925,7259,0.47,401.26523,w/o MS2:NAGlySer 15:1;O,[M+NH4]+,FALSE,4.9,401.26459,530,TRUE,TRUE,FALSE,99.8,99.9,,,,0,6070,9439,74845,5991,6254,0,0,73796,0,7520,9310,0,73758,0,1.7229226213838500
5391,3165,0.443,248.21219,Unknown,[M+2H]2+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,5980796,0,0,0,0,6142045,0,0,0,0,6360436,0,1.7229226252787000
12769,13317,4.906,634.62677,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,131708,0,0,0,0,130114,0,0,0,0,124117,0,1.7229335315864300
9023,7452,3.639,409.27097,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,240285,262125,257043,397293,255116,281556,262393,269860,343713,261397,280518,267151,261376,395513,274682,1.7229441325789500
24751,3635,8.953,269.2262,w/o MS2:RIKEN P-VS1 ID-865 from Mouse_Spleen_WT_N_F1AA,[M+H]+,TRUE,13.27,269.22849,530,TRUE,TRUE,FALSE,97.4,99.9,,,,0,0,4167873,35965,0,0,0,4092575,58639,0,0,0,4167527,0,0,1.722953211734710
13386,14693,5.845,688.67389,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,962689,0,0,0,0,906956,0,0,0,0,886200,0,1.7229860553086700
13380,14665,0.407,687.77295,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,234798,0,0,0,0,243117,0,0,0,0,296976,0,1.7229874124699000
11578,11206,1.881,547.35822,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,6927,0,0,0,0,0,0,54015,0,0,0,0,10489,0,0,1.7229979299472000
10203,9093,1.589,467.29965,Unknown,[M+Na]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,20472,25549,22500,22468,13825,19278,24250,18591,0,17213,18962,21548,21795,17065,11140,1.723017870418630
9958,8725,3.358,453.22192,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,84181,0,0,0,0,72361,0,0,0,0,82916,0,1.7230185720738800
