Name,SpectrumId,ClusterId,SubmissionId
"Succinic acid, octyl 3-oxobut-2-yl ester",369013,1264095,138
Unknown,377584,1272570,150
"L-Leucine, 2TMS derivative",369562,1264642,139
Unknown,377908,1272894,151
Unknown,377088,1272074,149
Unknown,378912,1273898,153
Unknown,377994,1272980,151
Unknown,370121,1265164,140
Unknown,378933,1273919,153
"Cyclotetrasiloxane, octamethyl-",370411,1265413,140
Unknown,377129,1272115,149
Unknown,378953,1273939,153
Unknown,369905,1264985,139
Unknown,370798,1265790,140
Unknown,378916,1273902,153
Unknown,378101,1273087,151
Unknown,370564,1265537,140
Unknown,370016,1265091,140
Unknown,369272,1264353,138
Unknown,370540,1265537,140
"3-Methylpentan-1-ol, O-tert-butyldimethylsilyl ether",370007,1265085,140
Unknown,370767,1265537,140
"Glycine, 2TBDMS derivative",369387,1264467,139
"3-Methylpentan-1-ol, O-tert-butyldimethylsilyl ether",370005,1265085,140
"2,3-Dimethylbutan-2-ol, O-tert-butyldimethylsilyl ether",370017,1265085,140
Unknown,377588,1272574,150
Unknown,377167,1272153,149
Unknown,370258,1265271,140
Unknown,370738,1265731,140
Unknown,369429,1264509,139
Unknown,378477,1273463,152
Unknown,370553,1265549,140
2-Ethyl-1-dimethyl(isopropyl)silyloxyhexane,369070,1264151,138
Unknown,378222,1273208,152
Unknown,371217,1266207,140
Unknown,378821,1273807,153
Unknown,378404,1273390,152
"3-Hydroxybutyric acid, 2TMS derivative",377710,1272696,151
"Bis(tert-butyldimethylsilyl) carbonate",377261,1272247,150
"4-Hydroxybutanoic acid, 2TMS derivative",376985,1271971,149
Unknown,370338,1265344,140
Unknown,378139,1273125,151
Unknown,370369,1265373,140
Unknown,370332,1265338,140
Unknown,378899,1273885,153
Unknown,379006,1273992,153
Unknown,369368,1264449,139
Unknown,370781,1265773,140
Unknown,377575,1272561,150
Unknown,369378,1264458,139
Unknown,369078,1264159,138
Unknown,370775,1265767,140
Unknown,377965,1272951,151
Unknown,377441,1272427,150
Unknown,376875,1271861,149
Unknown,378839,1273825,153
Unknown,369445,1264525,139
Unknown,371178,1266168,140
Unknown,378416,1273402,152
Unknown,378574,1273560,153
Unknown,371098,1266088,140
Unknown,370515,1265512,140
Unknown,370217,1265238,140
Unknown,370261,1265273,140
Unknown,370146,1265183,140
Unknown,378102,1273088,151
"Benzoic Acid, TBDMS derivative",369440,1264520,139
"Oxalic acid, isohexyl neopentyl ester",370288,1265298,140
Unknown,378444,1273430,152
Unknown,371426,1266416,140
"Ethanol, TMS derivative",370184,1265211,140
Unknown,378165,1273151,151
"Ethanol, TMS derivative",370227,1265244,140
"2-Aminobutanoic acid, 2TMS derivative",377308,1272294,150
Unknown,371135,1266125,140
Unknown,370419,1265421,140
"2-Methylalanine, 2TMS derivative",378717,1273703,153
"2-Aminobutanoic acid, 2TMS derivative",377708,1272694,151
