,accession,name,chemical_formula,average_molecular_weight,monisotopic_molecular_weight,iupac_name,traditional_iupac,cas_registry_number,smiles,inchi,inchikey
1727,HMDB0045347,"TG(18:0/20:4(8Z,11Z,14Z,17Z)/14:1(9Z))",C55H96O6,853.367,852.720690811,"(2S)-1-(octadecanoyloxy)-3-[(9Z)-tetradec-9-enoyloxy]propan-2-yl (8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoate","(2S)-1-(octadecanoyloxy)-3-[(9Z)-tetradec-9-enoyloxy]propan-2-yl (8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C55H96O6/c1-4-7-10-13-16-19-22-24-26-27-29-31-34-37-40-43-46-49-55(58)61-52(50-59-53(56)47-44-41-38-35-32-21-18-15-12-9-6-3)51-60-54(57)48-45-42-39-36-33-30-28-25-23-20-17-14-11-8-5-2/h7,10,15-16,18-19,24,26,29,31,52H,4-6,8-9,11-14,17,20-23,25,27-28,30,32-51H2,1-3H3/b10-7-,18-15-,19-16-,26-24-,31-29-/t52-/m1/s1",XTHHRTVNJZAGND-SSDOXADPSA-N
1728,HMDB0045348,"TG(18:0/20:4(8Z,11Z,14Z,17Z)/16:1(9Z))",C57H100O6,881.421,880.75199094,"(2S)-1-[(9Z)-hexadec-9-enoyloxy]-3-(octadecanoyloxy)propan-2-yl (8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoate","(2S)-1-[(9Z)-hexadec-9-enoyloxy]-3-(octadecanoyloxy)propan-2-yl (8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C57H100O6/c1-4-7-10-13-16-19-22-25-27-28-30-33-36-39-42-45-48-51-57(60)63-54(52-61-55(58)49-46-43-40-37-34-31-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h7,10,16,19,21,24-25,27,30,33,54H,4-6,8-9,11-15,17-18,20,22-23,26,28-29,31-32,34-53H2,1-3H3/b10-7-,19-16-,24-21-,27-25-,33-30-/t54-/m1/s1",PYBMXNRCLHIQRA-FPYBVXOCSA-N
1729,HMDB0045353,"TG(18:0/20:4(8Z,11Z,14Z,17Z)/22:1(13Z))",C63H112O6,965.583,964.845891326,"(2S)-2-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyloxy]-3-(octadecanoyloxy)propyl (13Z)-docos-13-enoate","(2S)-2-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyloxy]-3-(octadecanoyloxy)propyl (13Z)-docos-13-enoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H112O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-35-38-41-44-47-50-53-56-62(65)68-59-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)69-63(66)57-54-51-48-45-42-39-36-32-29-26-23-20-17-14-11-8-5-2/h8,11,17,20,25-26,28-29,36,39,60H,4-7,9-10,12-16,18-19,21-24,27,30-35,37-38,40-59H2,1-3H3/b11-8-,20-17-,28-25-,29-26-,39-36-/t60-/m0/s1",WGJIHWLKJGCRQX-YKGWEVPKSA-N
1730,HMDB0045360,"TG(18:0/20:4(8Z,11Z,14Z,17Z)/22:2(13Z,16Z))",C63H110O6,963.567,962.830241262,"(2S)-2-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyloxy]-3-(octadecanoyloxy)propyl (13Z,16Z)-docosa-13,16-dienoate","(2S)-2-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyloxy]-3-(octadecanoyloxy)propyl (13Z,16Z)-docosa-13,16-dienoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H110O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-35-38-41-44-47-50-53-56-62(65)68-59-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)69-63(66)57-54-51-48-45-42-39-36-32-29-26-23-20-17-14-11-8-5-2/h8,11,16-17,19-20,25-26,28-29,36,39,60H,4-7,9-10,12-15,18,21-24,27,30-35,37-38,40-59H2,1-3H3/b11-8-,19-16-,20-17-,28-25-,29-26-,39-36-/t60-/m0/s1",XJEUXSCURWSZSQ-HSFLBUGXSA-N
1731,HMDB0045361,"TG(18:0/20:4(8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z))",C63H106O6,959.535,958.798941133,"(2S)-2-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyloxy]-3-(octadecanoyloxy)propyl (7Z,10Z,13Z,16Z)-docosa-7,10,13,16-tetraenoate","(2S)-2-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyloxy]-3-(octadecanoyloxy)propyl (7Z,10Z,13Z,16Z)-docosa-7,10,13,16-tetraenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H106O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-35-38-41-44-47-50-53-56-62(65)68-59-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)69-63(66)57-54-51-48-45-42-39-36-32-29-26-23-20-17-14-11-8-5-2/h8,11,16-17,19-20,25-26,28-29,31,33,36,38-39,41,60H,4-7,9-10,12-15,18,21-24,27,30,32,34-35,37,40,42-59H2,1-3H3/b11-8-,19-16-,20-17-,28-25-,29-26-,33-31-,39-36-,41-38-/t60-/m0/s1",IRFCZQIIPLGSKZ-NXSIOJLZSA-N
1732,HMDB0045362,"TG(18:0/20:4(8Z,11Z,14Z,17Z)/22:5(4Z,7Z,10Z,13Z,16Z))",C63H104O6,957.519,956.783291069,"(2S)-2-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyloxy]-3-(octadecanoyloxy)propyl (4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate","(2S)-2-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyloxy]-3-(octadecanoyloxy)propyl (4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H104O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-35-38-41-44-47-50-53-56-62(65)68-59-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)69-63(66)57-54-51-48-45-42-39-36-32-29-26-23-20-17-14-11-8-5-2/h8,11,16-17,19-20,25-26,28-29,31,33,36,38-39,41,47,50,60H,4-7,9-10,12-15,18,21-24,27,30,32,34-35,37,40,42-46,48-49,51-59H2,1-3H3/b11-8-,19-16-,20-17-,28-25-,29-26-,33-31-,39-36-,41-38-,50-47-/t60-/m0/s1",AKYYZUWPIITYAK-HJJVPOESSA-N
1733,HMDB0045367,"TG(18:0/20:4(8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z))",C63H104O6,957.519,956.783291069,"(2S)-2-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyloxy]-3-(octadecanoyloxy)propyl (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate","(2S)-2-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyloxy]-3-(octadecanoyloxy)propyl (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H104O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-35-38-41-44-47-50-53-56-62(65)68-59-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)69-63(66)57-54-51-48-45-42-39-36-32-29-26-23-20-17-14-11-8-5-2/h7-8,10-11,16-17,19-20,25-26,28-29,31,33,36,38-39,41,60H,4-6,9,12-15,18,21-24,27,30,32,34-35,37,40,42-59H2,1-3H3/b10-7-,11-8-,19-16-,20-17-,28-25-,29-26-,33-31-,39-36-,41-38-/t60-/m0/s1",VGDHPALBZNZOAN-JMTVFVGRSA-N
1734,HMDB0045368,"TG(18:0/20:4(8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C63H102O6,955.503,954.767641004,"(2S)-2-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyloxy]-3-(octadecanoyloxy)propyl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate","(2S)-2-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyloxy]-3-(octadecanoyloxy)propyl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H102O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-35-38-41-44-47-50-53-56-62(65)68-59-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)69-63(66)57-54-51-48-45-42-39-36-32-29-26-23-20-17-14-11-8-5-2/h7-8,10-11,16-17,19-20,25-26,28-29,31,33,36,38-39,41,47,50,60H,4-6,9,12-15,18,21-24,27,30,32,34-35,37,40,42-46,48-49,51-59H2,1-3H3/b10-7-,11-8-,19-16-,20-17-,28-25-,29-26-,33-31-,39-36-,41-38-,50-47-/t60-/m0/s1",RXVLBDOYHGQIHF-SWXKNVJDSA-N
1735,HMDB0045372,"TG(18:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:0)",C63H112O6,965.583,964.845891326,"(2S)-2-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyloxy]-3-(octadecanoyloxy)propyl docosanoate","(2S)-2-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyloxy]-3-(octadecanoyloxy)propyl docosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H112O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-35-38-41-44-47-50-53-56-62(65)68-59-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)69-63(66)57-54-51-48-45-42-39-36-32-29-26-23-20-17-14-11-8-5-2/h8,11,17,20,26,29,36,39,45,48,60H,4-7,9-10,12-16,18-19,21-25,27-28,30-35,37-38,40-44,46-47,49-59H2,1-3H3/b11-8-,20-17-,29-26-,39-36-,48-45-/t60-/m0/s1",UGESMJAODJVYKL-QJOGIDDNSA-N
1736,HMDB0045380,"TG(18:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:1(13Z))",C63H110O6,963.567,962.830241262,"(2S)-2-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyloxy]-3-(octadecanoyloxy)propyl (13Z)-docos-13-enoate","(2S)-2-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyloxy]-3-(octadecanoyloxy)propyl (13Z)-docos-13-enoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H110O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-35-38-41-44-47-50-53-56-62(65)68-59-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)69-63(66)57-54-51-48-45-42-39-36-32-29-26-23-20-17-14-11-8-5-2/h8,11,17,20,25-26,28-29,36,39,45,48,60H,4-7,9-10,12-16,18-19,21-24,27,30-35,37-38,40-44,46-47,49-59H2,1-3H3/b11-8-,20-17-,28-25-,29-26-,39-36-,48-45-/t60-/m0/s1",BHSZPPTYGRFCSI-AWMQCPORSA-N
1737,HMDB0045388,"TG(18:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z))",C63H104O6,957.519,956.783291069,"(2S)-2-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyloxy]-3-(octadecanoyloxy)propyl (7Z,10Z,13Z,16Z)-docosa-7,10,13,16-tetraenoate","(2S)-2-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyloxy]-3-(octadecanoyloxy)propyl (7Z,10Z,13Z,16Z)-docosa-7,10,13,16-tetraenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H104O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-35-38-41-44-47-50-53-56-62(65)68-59-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)69-63(66)57-54-51-48-45-42-39-36-32-29-26-23-20-17-14-11-8-5-2/h8,11,16-17,19-20,25-26,28-29,31,33,36,38-39,41,45,48,60H,4-7,9-10,12-15,18,21-24,27,30,32,34-35,37,40,42-44,46-47,49-59H2,1-3H3/b11-8-,19-16-,20-17-,28-25-,29-26-,33-31-,39-36-,41-38-,48-45-/t60-/m0/s1",FUFCCGBYLOBWHP-GCJOXKIISA-N
1738,HMDB0045389,"TG(18:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:5(4Z,7Z,10Z,13Z,16Z))",C63H102O6,955.503,954.767641004,"(2S)-2-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyloxy]-3-(octadecanoyloxy)propyl (4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate","(2S)-2-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyloxy]-3-(octadecanoyloxy)propyl (4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H102O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-35-38-41-44-47-50-53-56-62(65)68-59-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)69-63(66)57-54-51-48-45-42-39-36-32-29-26-23-20-17-14-11-8-5-2/h8,11,16-17,19-20,25-26,28-29,31,33,36,38-39,41,45,47-48,50,60H,4-7,9-10,12-15,18,21-24,27,30,32,34-35,37,40,42-44,46,49,51-59H2,1-3H3/b11-8-,19-16-,20-17-,28-25-,29-26-,33-31-,39-36-,41-38-,48-45-,50-47-/t60-/m0/s1",WEHFEWQFZHCTSK-CJVFTWQWSA-N
1739,HMDB0045391,"TG(18:0/20:5(5Z,8Z,11Z,14Z,17Z)/18:4(6Z,9Z,12Z,15Z))",C59H96O6,901.411,900.720690811,"(2S)-1-[(6Z,9Z,12Z,15Z)-octadeca-6,9,12,15-tetraenoyloxy]-3-(octadecanoyloxy)propan-2-yl (5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoate","(2S)-1-[(6Z,9Z,12Z,15Z)-octadeca-6,9,12,15-tetraenoyloxy]-3-(octadecanoyloxy)propan-2-yl (5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C59H96O6/c1-4-7-10-13-16-19-22-25-28-29-32-35-38-41-44-47-50-53-59(62)65-56(54-63-57(60)51-48-45-42-39-36-33-30-26-23-20-17-14-11-8-5-2)55-64-58(61)52-49-46-43-40-37-34-31-27-24-21-18-15-12-9-6-3/h7-8,10-11,16-17,19-20,25-26,28,30,32,35-36,39,41,44,56H,4-6,9,12-15,18,21-24,27,29,31,33-34,37-38,40,42-43,45-55H2,1-3H3/b10-7-,11-8-,19-16-,20-17-,28-25-,30-26-,35-32-,39-36-,44-41-/t56-/m1/s1",HQMVQKBESXYEOV-RDXPTAAPSA-N
1740,HMDB0045394,"TG(18:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z))",C63H102O6,955.503,954.767641004,"(2S)-2-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyloxy]-3-(octadecanoyloxy)propyl (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate","(2S)-2-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyloxy]-3-(octadecanoyloxy)propyl (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H102O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-35-38-41-44-47-50-53-56-62(65)68-59-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)69-63(66)57-54-51-48-45-42-39-36-32-29-26-23-20-17-14-11-8-5-2/h7-8,10-11,16-17,19-20,25-26,28-29,31,33,36,38-39,41,45,48,60H,4-6,9,12-15,18,21-24,27,30,32,34-35,37,40,42-44,46-47,49-59H2,1-3H3/b10-7-,11-8-,19-16-,20-17-,28-25-,29-26-,33-31-,39-36-,41-38-,48-45-/t60-/m0/s1",OHSCTPYVQBIXJB-JOVICSMISA-N
1741,HMDB0045395,"TG(18:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C63H100O6,953.487,952.75199094,"(2S)-2-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyloxy]-3-(octadecanoyloxy)propyl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate","(2S)-2-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyloxy]-3-(octadecanoyloxy)propyl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H100O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-35-38-41-44-47-50-53-56-62(65)68-59-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)69-63(66)57-54-51-48-45-42-39-36-32-29-26-23-20-17-14-11-8-5-2/h7-8,10-11,16-17,19-20,25-26,28-29,31,33,36,38-39,41,45,47-48,50,60H,4-6,9,12-15,18,21-24,27,30,32,34-35,37,40,42-44,46,49,51-59H2,1-3H3/b10-7-,11-8-,19-16-,20-17-,28-25-,29-26-,33-31-,39-36-,41-38-,48-45-,50-47-/t60-/m0/s1",ORHRYJKHSZANHP-RHLDFOEISA-N
1742,HMDB0045398,"TG(18:0/22:5(7Z,10Z,13Z,16Z,19Z)/20:0)",C63H112O6,965.583,964.845891326,"(2S)-1-(icosanoyloxy)-3-(octadecanoyloxy)propan-2-yl (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate","(2S)-1-(icosanoyloxy)-3-(octadecanoyloxy)propan-2-yl (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H112O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-36-39-42-45-48-51-54-57-63(66)69-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)59-68-62(65)56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h7,10,16,19,25,28,31,33,39,42,60H,4-6,8-9,11-15,17-18,20-24,26-27,29-30,32,34-38,40-41,43-59H2,1-3H3/b10-7-,19-16-,28-25-,33-31-,42-39-/t60-/m0/s1",DSTCTJRXZHFEEO-CYHCANLKSA-N
1743,HMDB0045405,"TG(18:0/22:5(7Z,10Z,13Z,16Z,19Z)/20:1(11Z))",C63H110O6,963.567,962.830241262,"(2S)-1-[(11Z)-icos-11-enoyloxy]-3-(octadecanoyloxy)propan-2-yl (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate","(2S)-1-[(11Z)-icos-11-enoyloxy]-3-(octadecanoyloxy)propan-2-yl (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H110O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-36-39-42-45-48-51-54-57-63(66)69-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)59-68-62(65)56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h7,10,16,19,25-26,28-29,31,33,39,42,60H,4-6,8-9,11-15,17-18,20-24,27,30,32,34-38,40-41,43-59H2,1-3H3/b10-7-,19-16-,28-25-,29-26-,33-31-,42-39-/t60-/m0/s1",DWQZBCMNGWIPJK-AKRVDTJHSA-N
1744,HMDB0045406,"TG(18:0/22:5(7Z,10Z,13Z,16Z,19Z)/20:3(5Z,8Z,11Z))",C63H106O6,959.535,958.798941133,"(2S)-1-[(5Z,8Z,11Z)-icosa-5,8,11-trienoyloxy]-3-(octadecanoyloxy)propan-2-yl (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate","(2S)-1-[(5Z,8Z,11Z)-icosa-5,8,11-trienoyloxy]-3-(octadecanoyloxy)propan-2-yl (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H106O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-36-39-42-45-48-51-54-57-63(66)69-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)59-68-62(65)56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h7,10,16,19,25-26,28-29,31,33,35,38-39,42,44,47,60H,4-6,8-9,11-15,17-18,20-24,27,30,32,34,36-37,40-41,43,45-46,48-59H2,1-3H3/b10-7-,19-16-,28-25-,29-26-,33-31-,38-35-,42-39-,47-44-/t60-/m0/s1",BRPUMZUOUUAVGA-QZXWPPGBSA-N
1745,HMDB0045412,"TG(18:0/22:5(7Z,10Z,13Z,16Z,19Z)/20:3n6)",C63H106O6,959.535,958.798941133,"(2S)-1-[(8Z,11Z,14Z)-icosa-8,11,14-trienoyloxy]-3-(octadecanoyloxy)propan-2-yl (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate","(2S)-1-[(8Z,11Z,14Z)-icosa-8,11,14-trienoyloxy]-3-(octadecanoyloxy)propan-2-yl (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,"InChI=1S/C63H106O6/c1-4-7-10-13-16-19-22-25-28-30-31-33-36-39-42-45-48-51-54-57-63(66)69-60(58-67-61(64)55-52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)59-68-62(65)56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h7,10,16-17,19-20,25-26,28-29,31,33,35,38-39,42,60H,4-6,8-9,11-15,18,21-24,27,30,32,34,36-37,40-41,43-59H2,1-3H3/b10-7-,19-16-,20-17-,28-25-,29-26-,33-31-,38-35-,42-39-/t60-/m0/s1",FFMPGKXDJNLCRV-RTLLCJTESA-N
