SpectrumId,SubmissionId,name
365906,126,"#99 57.0000@7.9475 MS1+"
365907,126,"#100 57.0000@8.4642 MS1+"
365908,126,"#101 74.0000@11.5333 MS1+"
365909,126,"#102 57.0000@5.1700 MS1+"
365910,126,"#103 71.0000@7.1208 MS1+"
365911,126,"#104 57.0000@7.0658 MS1+"
365912,126,"#105 73.0000@9.9483 MS1+"
365913,126,"#106 57.0000@6.8367 MS1+"
365914,126,"#107 57.0000@10.7383 MS1+"
365915,126,"#108 74.0000@12.4258 MS1+"
365916,126,"#109 57.0000@6.7567 MS1+"
365917,126,"#110 72.0000@5.3783 MS1+"
365918,126,"#111 71.0000@10.8242 MS1+"
365919,126,"#112 57.0000@10.7425 MS1+"
365920,126,"#113 73.0000@11.4658 MS1+"
365921,126,"#114 74.0000@13.2350 MS1+"
365922,126,"#115 57.0000@10.5250 MS1+"
365923,126,"#116 73.0000@9.2483 MS1+"
365924,126,"#117 57.0000@7.1992 MS1+"
365925,126,"#118 69.0000@4.9150 MS1+"
365926,126,"#119 69.0000@4.7992 MS1+"
365927,126,"#120 75.0000@9.9817 MS1+"
365928,126,"#121 74.0000@13.9967 MS1+"
365929,126,"#122 73.0000@9.6367 MS1+"
365930,126,"#123 57.0000@17.9325 MS1+"
365931,126,"#124 117.0000@11.5967 MS1+"
365932,126,"#125 57.0000@11.7242 MS1+"
365933,126,"#126 81.0000@6.0967 MS1+"
365934,126,"#127 74.0000@14.7108 MS1+"
365935,126,"#128 75.0000@11.4558 MS1+"
365936,126,"#129 105.0000@6.5367 MS1+"
365937,126,"#130 73.0000@12.1542 MS1+"
365938,126,"#131 73.0000@13.5217 MS1+"
365939,126,"#132 73.0000@4.9550 MS1+"
365940,126,"#133 57.0000@12.6375 MS1+"
365941,126,"#134 75.0000@7.2317 MS1+"
365942,126,"#135 74.0000@15.4758 MS1+"
365943,126,"#136 86.0000@5.0583 MS1+"
365944,126,"#137 73.0000@13.0075 MS1+"
365945,126,"#138 57.0000@12.4792 MS1+"
365946,126,"#139 75.0000@8.5650 MS1+"
365947,126,"#140 74.0000@16.3933 MS1+"
365948,126,"#141 57.0000@13.0317 MS1+"
365949,126,"#142 73.0000@14.4467 MS1+"
365950,126,"#143 73.0000@12.7700 MS1+"
365951,126,"#144 57.0000@12.3092 MS1+"
365952,126,"#145 57.0000@6.1700 MS1+"
365953,126,"#146 73.0000@15.3500 MS1+"
365954,126,"#147 75.0000@13.6558 MS1+"
365955,126,"#148 57.0000@6.4758 MS1+"
365956,126,"#149 57.0000@13.4783 MS1+"
365957,126,"#150 69.0000@5.3175 MS1+"
365958,126,"#151 57.0000@9.0433 MS1+"
365959,126,"#152 69.0000@14.3333 MS1+"
365960,126,"#153 197.0000@9.3317 MS1+"
365961,126,"#154 57.0000@13.3183 MS1+"
365962,126,"#155 69.0000@9.7067 MS1+"
365963,126,"#156 57.0000@14.1100 MS1+"
365964,126,"#157 147.0000@12.5625 MS1+"
365965,126,"#158 57.0000@14.2533 MS1+"
365966,126,"#159 57.0000@8.6508 MS1+"
365967,126,"#160 73.0000@5.0308 MS1+"
365968,126,"#161 67.0000@12.9783 MS1+"
365969,126,"#162 57.0000@7.5108 MS1+"
365970,126,"#163 69.0000@7.3825 MS1+"
365971,126,"#164 57.0000@15.0017 MS1+"
365972,126,"#165 105.0000@9.0908 MS1+"
365973,126,"#166 75.0000@15.5683 MS1+"
365974,126,"#167 57.0000@14.8592 MS1+"
365975,126,"#168 71.0000@15.8442 MS1+"
365976,126,"#169 69.0000@14.7550 MS1+"
365977,126,"#170 94.0000@18.9900 MS1+"
