SpectrumId,SubmissionId,name
366146,128,"#111 73.0000@42.7713 MS1+"
366147,128,"#112 158.0000@13.2771 MS1+"
366148,128,"#113 145.0000@13.4147 MS1+"
366149,128,"#114 215.0000@17.4432 MS1+"
366150,128,"#115 183.0000@15.3726 MS1+"
366151,128,"#116 73.0000@43.5095 MS1+"
366152,128,"#117 207.0000@42.0770 MS1+"
366153,128,"#118 73.0000@21.8093 MS1+"
366154,128,"#119 117.0000@30.2792 MS1+"
366155,128,"#120 73.0000@41.9955 MS1+"
366156,128,"#121 71.0000@14.9661 MS1+"
366157,128,"#122 61.0000@40.0440 MS1+"
366158,128,"#123 361.0000@27.6518 MS1+"
366159,128,"#124 56.0000@32.4623 MS1+"
366160,128,"#125 100.0000@18.5880 MS1+"
366161,128,"#126 327.0000@36.6722 MS1+"
366162,128,"#127 71.0000@10.3370 MS1+"
366163,128,"#128 73.0000@13.2334 MS1+"
366164,128,"#129 73.0000@21.6280 MS1+"
366165,128,"#130 98.0000@10.8501 MS1+"
366166,128,"#131 130.0000@21.8532 MS1+"
366167,128,"#132 73.0000@15.2161 MS1+"
366168,128,"#133 100.0000@14.0589 MS1+"
366169,128,"#134 73.0000@41.6013 MS1+"
366170,128,"#135 184.0000@18.6505 MS1+"
366171,128,"#136 71.0000@16.2546 MS1+"
366172,128,"#137 75.0000@39.7937 MS1+"
366173,128,"#138 73.0000@15.4414 MS1+"
366174,128,"#139 73.0000@43.3905 MS1+"
366175,128,"#140 89.0000@26.6198 MS1+"
366176,128,"#141 73.0000@40.8508 MS1+"
366177,128,"#142 73.0000@38.2425 MS1+"
366178,128,"#143 441.0000@42.2457 MS1+"
366179,128,"#144 315.0000@41.4013 MS1+"
366180,128,"#145 117.0000@27.4455 MS1+"
366181,128,"#146 184.0000@34.3577 MS1+"
366182,128,"#147 73.0000@43.2528 MS1+"
366183,128,"#148 207.0000@43.0777 MS1+"
366184,128,"#149 72.0000@45.4485 MS1+"
366185,128,"#150 73.0000@34.8393 MS1+"
366186,128,"#151 75.0000@42.6335 MS1+"
366187,128,"#152 75.0000@39.0432 MS1+"
366188,128,"#153 73.0000@44.7793 MS1+"
366189,128,"#154 337.0000@43.4720 MS1+"
366190,128,"#155 73.0000@42.2147 MS1+"
366191,128,"#156 57.0000@42.5523 MS1+"
366192,128,"#157 89.0000@25.2875 MS1+"
366193,128,"#158 221.0000@32.2623 MS1+"
366194,128,"#159 75.0000@42.7775 MS1+"
366195,128,"#160 147.0000@15.8794 MS1+"
366196,128,"#161 73.0000@45.0232 MS1+"
366197,128,"#162 73.0000@13.9528 MS1+"
366198,128,"#163 107.0000@18.3002 MS1+"
366199,128,"#164 89.0000@16.8740 MS1+"
366200,128,"#165 72.0000@45.5925 MS1+"
366201,128,"#166 73.0000@36.1907 MS1+"
366202,128,"#167 71.0000@20.9525 MS1+"
366203,128,"#168 73.0000@24.0488 MS1+"
366204,128,"#169 187.0000@11.8197 MS1+"
366205,128,"#170 172.0000@18.0188 MS1+"
366206,128,"#171 73.0000@35.7778 MS1+"
366207,128,"#172 207.0000@14.9535 MS1+"
366208,128,"#173 337.0000@43.4280 MS1+"
366209,128,"#174 73.0000@44.0348 MS1+"
366210,128,"#175 75.0000@42.7023 MS1+"
366211,128,"#176 71.0000@22.3412 MS1+"
366212,128,"#177 75.0000@44.5478 MS1+"
366213,128,"#178 73.0000@41.5140 MS1+"
366214,128,"#179 147.0000@12.4764 MS1+"
366215,128,"#180 284.0000@23.4045 MS1+"
366216,128,"#181 339.0000@44.3413 MS1+"
366217,128,"#182 73.0000@42.0643 MS1+"
366218,128,"#183 71.0000@22.1035 MS1+"
366219,128,"#184 299.0000@32.3810 MS1+"
366220,128,"#185 129.0000@27.2265 MS1+"
366221,128,"#186 73.0000@35.2022 MS1+"
366222,128,"#187 73.0000@29.4535 MS1+"
366223,128,"#188 73.0000@35.0210 MS1+"
366224,128,"#189 272.0000@23.4670 MS1+"
366225,128,"#190 316.0000@45.6800 MS1+"
366226,128,"#191 73.0000@11.1879 MS1+"
366227,128,"#192 107.0000@44.4477 MS1+"
366228,128,"#193 73.0000@35.8652 MS1+"
366229,128,"#194 302.0000@45.0607 MS1+"
366230,128,"#195 313.0000@28.9657 MS1+"
366231,128,"#196 146.0000@23.5610 MS1+"
366232,128,"#197 73.0000@43.6032 MS1+"
366233,128,"#198 73.0000@44.3350 MS1+"
366234,128,"#199 73.0000@41.8707 MS1+"
366235,128,"#200 147.0000@24.7182 MS1+"
366236,128,"#201 302.0000@43.5530 MS1+"
366237,128,"#202 56.0000@36.7412 MS1+"
366238,128,"#203 73.0000@27.3018 MS1+"
366239,128,"#204 75.0000@44.6415 MS1+"
366240,128,"#205 71.0000@10.5558 MS1+"
366241,128,"#206 73.0000@32.7625 MS1+"
366242,128,"#207 75.0000@24.1927 MS1+"
366243,128,"#208 181.0000@17.9060 MS1+"
366244,128,"#209 107.0000@46.4495 MS1+"
366245,128,"#210 207.0000@11.3317 MS1+"
366246,128,"#211 147.0000@31.2300 MS1+"
366247,128,"#212 269.0000@43.2967 MS1+"
