H1.CDF height,H2.CDF height,H21.CDF height,H22.CDF height,H23.CDF height,H24.CDF height,H25.CDF height,H3.CDF height,H31.CDF height,H32.CDF height,H33.CDF height,H34.CDF height,H35.CDF height,H4.CDF height,H41.CDF height,H42.CDF height,H43.CDF height,H44.CDF height,H45.CDF height,H5.CDF height,L1.CDF height,L2.CDF height,L21.CDF height,L22.CDF height,L23.CDF height,L24.CDF height,L25.CDF height,L3.CDF height,L31.CDF height,L32.CDF height,L33.CDF height,L34.CDF height,L35.CDF height,L4.CDF height,L41.CDF height,L42.CDF height,L43.CDF height,L44.CDF height,L45.CDF height,L5.CDF height,M1.CDF height,M2.CDF height,M21.CDF height,M22.CDF height,M23.CDF height,M24.CDF height,M25.CDF height,M3.CDF height,M31.CDF height,M32.CDF height,M33.CDF height,M34.CDF height,M35.CDF height,M4.CDF height,M41.CDF height,M42.CDF height,M43.CDF height,M44.CDF height,M45.CDF height,M5.CDF height,S1.CDF height,S2.CDF height,S21.CDF height,S22.CDF height,S23.CDF height,S24.CDF height,S25.CDF height,S3.CDF height,S31.CDF height,S32.CDF height,S33.CDF height,S34.CDF height,S35.CDF height,S4.CDF height,S41.CDF height,S42.CDF height,S43.CDF height,S44.CDF height,S45.CDF height,S5.CDF height
,3342188.415,544121.471,164030.2007,,906051.7939,,,1599284.33,3499218.277,,3201312.012,,,,2706355.15,3631243.669,,,3005491.355,34177.15123,,15700.02483,13305.89589,13987.04338,37419.87818,,,20822.92411,13051.93117,,,13685.2551,,32880.97434,,,20226.40057,7617.879965,,,,203855.6578,,,,1442619.995,,,,,,,,,,,1047398.896,,,158989.3755,,,,155590.7845,211863.0731,388355.2139,439555.5888,78792.40445,117718.288,49315.94127,,296303.493,366062.545,,337311.6819,334387.6328,307697.8718,,444762.731
41726.0918,38031.71679,71016,116647.3056,10715.91861,31888.59048,44363.44049,58213.42679,37014.3813,46381.09941,50535.55724,65962.9611,34315.0087,39244.24452,23012.56311,51472.34852,37719.60149,72976,38667.94537,51742.60319,114567.722,153221.7586,170704.3993,127157.5532,117699.0016,206731.0431,224506.711,178838.7684,107737.2755,122752.4077,168516.5334,208426.6598,36306.20591,165670.542,200856.8655,119340.1513,145376.4061,138009.6551,156701.1,209409.1263,37683.35281,43069.12047,99346.55766,51139.3263,22011.24703,19639.18659,109081.4527,42066.20756,31060.61499,36874.49378,34726.55665,69753.37213,48214.93319,38545.84376,24076.35845,40512.0056,28477.23917,49949.03295,53181.92011,57250.12676,1243136,1445436.472,,247611.3595,875494.6587,3094779.463,3062225.779,1276366.27,,1480704,,,,2072721.737,1792330.559,,,,,
368782.4918,,2934695.047,,233248.6551,1574484.103,27560,239977.7897,68056,1697430.736,71074.88992,63728,58088,,832314.2814,28288,174075.3814,84560,933406.5723,,24407.97667,21868.55593,23249.51905,27249.59189,31053.74769,42353.24278,37484.06301,29535.3258,30009.95364,38464,25700.96265,48726.72607,,18949.83655,27546.63051,33896,27054.3719,17156.30546,,,,,,,53004.67479,,,,,,,,,19140.98468,,,,,,19568.53016,313739.0253,594343.3485,,,395065.7901,422635.689,388480,400828.2158,653254.0497,,,1694058.616,,725607.4356,180939.5452,,,,,662286.3774
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150400,2092605.014,2268672,2407895.438,2378687.446,2665984,2588160,2380288,2810368,2538109.61,2757120,1917419.322,2141913.854,2345207.678,2309288.855,2505724.227,2806184.989,2726941.802,,2492928
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650176,1787175.591,2487324.671,2400892.407,373776.5293,1872548.648,2149295.214,2075680.547,1783076.813,1620649.443,1958700.157,1684735.078,898608.6572,1850707.921,2187032.231,1796443.352,1927440.445,2330989.683,,1876275.031
,,,,,,,,,,,,,,,,,,,,,55863.29968,,,,,,109632,,,123464.2772,,76360.82678,,,,,,,,,,,,,,,,,,,,,49928,,,,,,,626552.2759,499885.3784,1346454.744,519945.8706,859718.7625,1804963.143,1647243.343,2283501.12,,1073310.914,,,,1254278.355,3601043.307,,,,,
603335.0668,598132.8951,358381.4992,630162.0556,466717.8749,413621.2253,582164.6199,621186.5392,552607.4637,558260.3052,442842.952,620458.2337,492882.7213,645850.6994,186991.5378,500514.4221,604577.2929,600844.9038,517193.4319,515420.0642,563611.3361,546514.2304,728064,704743.0154,681792.6312,555987.8768,715579.9281,836832.9045,422086.2992,475427.2062,718227.6886,619197.9171,687398.4286,621315.2446,615178.5621,563815.4242,463054.0344,466273.8104,559887.5535,1049196.118,502807.0679,604887.6043,578268.4541,669204.049,569472,660207.9878,755591.7152,796646.0912,919513.263,578308.3704,825192.8313,691040.8524,810048.4098,682618.9583,848486.4116,694100.41,525444.2181,607086.2231,444639.0618,715883.5711,1961472,1948672,1440768,1736853.472,1792379.871,1790425.306,2162141.275,1990144.708,1547441.318,1782579.291,2107392,1477205.848,1985806.356,1936799.251,2210816,2036369.285,1511424,1719080.637,,1998619.118
1214058.463,1276886.171,705677.1653,1347318.954,715859.4834,884418.5517,569963.3966,1185188.113,1700585.187,1595484.704,1570304,2209307.881,1642800.389,1494059.121,331392,1612205.406,1966090.377,1611395.552,728783.5225,616815.4611,463290.4838,300993.9157,229857.4816,316849.2317,371941.3047,304584.6508,237671.742,408585.0117,405846.6965,415817.6825,974048.6218,704598.3907,603793.3975,379230.9387,316192.156,144167.98,216425.9168,270218.991,339265.9296,381778.2795,111452.1589,63570.69172,304689.2518,118032.3224,211303.4143,103114.8336,289395.1275,81051.95947,280505.6815,265327.6725,237031.5456,250645.783,298924.292,203791.2138,350920.0856,356051.2513,142728.751,232620.8124,35911.8499,204384.784,,90941,,44404.59305,,35198.84385,,75125.36558,87648.37893,64878.87086,31353.74421,42803.30453,58415.25286,67665.2174,46792.24691,33404.30512,,,,
554365.3002,343922.0471,428740.0161,588640.2891,91143.52889,230016.5077,217433.282,425470.5188,675259.6646,552768,518242.0077,634573.1937,496552.3107,406797.3225,193693.6014,674591.9549,634955.5013,65273.93941,58262.3229,253585.9822,8347.834946,14209.26017,18487.09552,15295.51212,11082.22897,16576.03052,13399.40281,17601.01549,15182.92315,14464.92352,20716.45267,14216.40014,15813.30009,14798.89113,12851.82068,,20390.35347,20062.36057,14899.23314,18617.49165,2163760.862,356290.0909,1787510.716,1048428.694,1271435.372,103829.3487,82278.19341,191432.7474,149003.354,1544632.823,1369600,1502720,1534332.897,1720953.802,59909.3099,148209.8332,1035461.661,1251672.225,99610.74951,1488912.384,224945.363,363473.1482,314395.8512,186196.6373,400400.1991,151450.9975,260025.1781,150751.1597,483960.9336,207963.8266,,57136.02416,,429961.4804,336860.9193,,,,,
954423.3194,821598.368,1473423.405,1629063.095,845939.1801,1834083.522,2031039.682,1603137.881,327258.1132,1434531.639,1250009.351,1592718.877,1680275.32,875005.114,268560.5379,1789561.197,2107257.606,1690053.274,2000384,1885451.803,516829.7051,1000832.879,931046.2404,1526579.739,994967.9802,901250.5901,1274104.881,795270.6209,819114.8154,700224,1533081.13,964426.5591,1046191.248,903384.226,1028813.22,859776,573419.4314,675279.6778,686483.2107,1415542.918,490971.9635,525145.9227,354641.7795,563003.2406,313504.2798,722646.3629,747054.1841,801543.54,523570.6727,470122.3452,389863.1568,476432.3181,707188.6442,505779.8605,941376,982144,170112,581763.4885,638525.3831,672260.6229,,,,,,,,,,,,,,,,,,,,
,14290.79874,3397.565175,10165.29163,,6151.086978,3840,11519.54049,32875.03984,20474.33984,21122.1105,18587.79841,28099.10969,18148.14692,,18121.04241,13017.88272,25876.28726,5670.875634,12044.04073,166886.5268,312844.9583,227771.2151,153641.8641,268104.9638,197919.5782,326548.1189,418408.296,261156.4136,162929.5448,265860.1728,232983.6836,196423.3113,209090.0775,213403.439,174653.667,266032.6142,219074.2904,220341.6768,360248.3835,26707.63984,22459.29593,24116.38492,26264.3033,,15311.96928,33449.62178,21128.54688,26452.12098,23334.33591,25171.52903,27702.39991,30012.44718,30785.22608,24252.66921,18617.33242,10596.20285,37367.02367,,25659.14698,,,,,,,,,,,,,,,,,,,,2036487.793
48161.71748,48820.41563,27187.82783,58816.99819,29401.56009,48975.27201,46040.56036,56414.07957,74043.61981,66449.43994,60512.3326,71153.35356,82721.71028,52133.44993,37544.1212,89128.61368,67083.92441,68980.23285,37164.55622,50976.07731,,,,,,,,,,,,,,,,,,,,,56790.80355,57618.68306,47855.0679,68847.73784,48337.20082,48698.03444,90214.02501,70651.52372,75028.11923,75320.88994,76021.52789,71374.49411,91116.71842,63867.45945,83668.14674,102017.4513,45523.40547,75046.1695,50159.00728,80079.80689,946661.5375,1457886.683,897485.2461,1300252.356,1689824.943,1484201.903,1779950.58,1522493.357,1552140.309,1537941.19,1490552.259,1275716.175,2016336.917,1377229.038,1648159.168,1828259.518,1224577.676,1153353.973,,1442266.154
943611.1902,841330.2829,458686.2359,821533.8974,,,484220.498,1133913.251,1507508.377,1041871.438,687344.8885,1234217.612,1457375.898,883799.4395,,825632.4836,560789.137,635792.9736,610500.2245,793508.4357,1263449.298,1863711.349,1149911.856,1120357.216,1080262.293,1371470.35,1268544.022,1947609.419,1734725.297,1057611.986,,869722.4882,1359053.139,1273862.486,995563.0257,206802.0318,946821.1365,884140.9982,824635.3403,1448477.842,1091463.407,1140844.601,804819.8244,789185.7875,685200.4313,579565.7569,908106.8225,1572535.178,1713822.501,1316350.836,1421758.468,198387.0985,1811876.846,114358.1672,850274.5477,741648.6279,555529.9528,725834.7062,689868.7226,1342917.381,,,,,1410355.169,,619768.9559,,,,,,,,377469.8814,,,,,
,,,,,,,,,,,,,,,,,,,,467075.2922,77864,,56033.02878,,,88472,,51033.0899,38537.79829,72182.47083,57896.78202,53284.20254,55756.79042,69901.17775,44984.63116,71639.85674,54948.02851,60453.01712,69616.40922,55323.3426,,91437.51273,,,,,,,,,,,,,,,,,,77443.46914,579086.5613,1945562.772,707110.7182,741426.1267,889267.0047,458866.9177,477137.4616,543122.4018,,,,,829679.6957,,768640,,,,560270.6861
