H1.CDF height,H2.CDF height,H21.CDF height,H22.CDF height,H23.CDF height,H24.CDF height,H25.CDF height,H3.CDF height,H31.CDF height,H32.CDF height,H33.CDF height,H34.CDF height,H35.CDF height,H4.CDF height,H41.CDF height,H42.CDF height,H43.CDF height,H44.CDF height,H45.CDF height,H5.CDF height,L1.CDF height,L2.CDF height,L21.CDF height,L22.CDF height,L23.CDF height,L24.CDF height,L25.CDF height,L3.CDF height,L31.CDF height,L32.CDF height,L33.CDF height,L34.CDF height,L35.CDF height,L4.CDF height,L41.CDF height,L42.CDF height,L43.CDF height,L44.CDF height,L45.CDF height,L5.CDF height,M1.CDF height,M2.CDF height,M21.CDF height,M22.CDF height,M23.CDF height,M24.CDF height,M25.CDF height,M3.CDF height,M31.CDF height,M32.CDF height,M33.CDF height,M34.CDF height,M35.CDF height,M4.CDF height,M41.CDF height,M42.CDF height,M43.CDF height,M44.CDF height,M45.CDF height,M5.CDF height,S1.CDF height,S2.CDF height,S21.CDF height,S22.CDF height,S23.CDF height,S24.CDF height,S25.CDF height,S3.CDF height,S31.CDF height,S32.CDF height,S33.CDF height,S34.CDF height,S35.CDF height,S4.CDF height,S41.CDF height,S42.CDF height,S43.CDF height,S44.CDF height,S45.CDF height,S5.CDF height
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455241.9693,719490.7672,396131.2928,433203.2043,694768.0355,408001.8747,341485.1449,549744.7633,640771.9087,477378.3014,379846.6846,383198.5159,610342.1959,558541.2009,354947.0663,347404.7169,347981.1899,275550.1241,,403622.1926
27205.83664,,,,,,,,,,,,,,,,,,23928,,108287.2255,68533.34695,,59740.69268,44714.15152,111141.4087,,109039.4211,54091.76165,,86409.19327,51680,73137.54303,62012.4597,9875.596535,24392,,79915.87612,100838.3127,144521.3829,,,,,,,602139.1416,,,,,,,,,,,407091.1785,217483.0965,,,,,,36416,113200,58728,52176,64274.83529,51680,66715.43937,84956.5099,715242.097,39184,75452.72283,,43020.14885,70436.32173,,46248
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295021.0767,96383.59115,102736.2639,511431.9587,217675.7065,33000,558241.2004,700576.3681,403854.3879,68200.56535,154515.0524,132416,597330.0334,85728.7351,98921.07749,,,,299079.5209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26371.70463,,,,,40533.0425,41525.2296,,,,,15978.08518,,27945.57615,32756.41415,32324.16822,,,72319.44255,,,91354.18302,,33512.1926,,,,44889.0424,48533.9568,265271.4944,454795.9763,218405.3981,395999.8798,282649.2649,212088.3821,191004.6914,444241.2956,525718.1282,679257.1005,268139.4868,342834.1551,319439.2164,559287.6299,233214.5494,295675.1686,456678.6509,554793.5683,,327062.3644
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340157.758,238845.9561,143969.6207,256212.915,382403.1723,267404.3964,440022.0932,397524.1519,314893.4559,408887.2236,480582.6034,471914.683,576607.6541,298181.8971,500460.5844,518029.4623,581259.1873,666780.249,,393165.1721
,,,314388.2031,,,,,,,,,,,,,,,,,198800.5383,231692.2545,260422.0638,249246.865,288440.9224,,,241856,327421.7203,275584,342804.6694,324075.4562,321879.056,221940.1379,289676.5089,,373748.4049,380492.9606,358956.7922,291415.9008,21543.09956,374144.4091,,397310.9361,511724.671,,699016.0126,,,657592.1514,518854.0049,,,663168,,34216,294409.5903,562624,,,130983.1475,329612.0216,,,295825.9507,297013.2084,,,169867.423,,,,,208195.4384,,,,,,119263.3551
322941.3847,239920.0705,158964.9073,293579.5201,173734.9708,185830.7477,217714.7535,275363.2433,374375.6959,314085.1751,239474.5939,304288.3825,310281.7453,316036.6335,70907.42815,293840.6988,320429.3401,343402.9052,175234.1678,266341.3856,333759.2974,481965.5198,574897.0639,550864.7775,551492.663,491952.1577,533832.0461,166964.4855,478529.8153,487144.2658,538369.8351,524736,318543.8186,515873.4776,511483.8319,383905.1772,341732.784,172311.3166,459906.3077,661259.1308,329556.0844,281020.9569,358616.4033,321272.5802,357402.9552,275964.2981,371232.0141,395308.6968,389708.4057,348438.836,320468.6834,417561.6439,484162.958,370061.2567,420659.4712,364766.5699,268485.6568,383111.9396,184192.2696,382818.7863,,,,,,,,,,,,,,,,,,,,
99857.93369,106786.574,94828.3384,152908.3162,75487.88688,88573.63118,92167.20855,128669.3695,168693.6233,147343.6669,122068.5551,162204.2085,132517.4298,123134.1834,,170029.1937,170756.3178,151650.8134,56302.75997,112580.7911,276548.8249,412253.8204,373822.0984,464344.732,418635.8338,481555.6469,536324.2062,493570.0189,482681.5636,415963.6453,581553.3731,557767.6338,525356.7025,417461.9743,450894.4909,485909.0696,419808.4659,464690.2896,488438.1652,601737.8896,53242.87177,51355.60362,59824.77855,55813.43241,122386.2311,31612.26798,86352.81079,55823.8563,74409.41812,72122.93024,54592.43312,79923.62987,71034.70049,63353.5188,70631.37346,55502.81039,46520.68305,66106.3567,19594.18727,77983.26274,,,,,,,,,,,,,,,377330.6938,,,,,
,,124178.7921,,,,80187.50774,,1040443.468,,,,,84137.18715,,,,,68432.78333,,,,334214.166,,,82037.66653,,279583.7449,448937.3832,136275.7669,115792,311543.0678,,,76442.45411,61124.22465,,53482.16593,,,22754.59575,,18805.15491,35700.31254,49934.6592,180915.561,86510.2796,,39004.48652,95120.04559,,18409.6215,41534.08979,43508.87579,38112.13014,59941.4927,,,381660.7471,170041.2742,,,,,,,,,,,,,,,,,42729.73729,,,
,,,,,,,,,,,,,,,,,,,,,8431.842301,,11935.50412,12494.40591,,15360.49156,11640.07873,9054.265964,,,13981.26606,,,14182.11563,,,,,18922.85976,,,,,16740.13644,,,,,,,,,,,,,,,,168879.229,161620.0832,115114.1484,183523.958,162778.2261,166729.9771,297833.9803,140816.4062,70018.6071,132978.2021,336349.7314,140124.9517,246780.0152,152760.7345,562337.0658,261720.9588,103842.762,145590.7443,,178751.7321
25856.56651,87220.24363,24218.679,182605.4402,,119203.3315,,54919.56248,139446.5237,300672,266106.7904,202225.1957,510452.9717,21600,,274106.8105,269696,518086.27,17465.45955,64404.6371,,,,,,,,,,,,,,,,,,,,,159472.5092,81490.27122,65740.41864,125087.5543,100911.8705,,96856.79285,38435.14642,197848.9149,343475.2836,421340.7195,290982.2502,546496,235311.2188,14112.41588,34356.22643,12040.31148,498636.4012,,286793.2742,,,,,,,,,,,,,,,,,,,,
,9398.073146,63777.21111,10977.17457,4947.229645,181898.9185,219523.9311,24729.81836,,129250.2864,52726.67071,89853.38862,111556.2555,10689.89168,,198414.2386,80831.15133,15993.77855,,520796.5149,,,,,,,,,,,,,,,,,,,,,3449.712008,3404.216401,66695.38359,23560.30627,12527.76187,,20395.98921,9629.746816,,10631.04317,8526.880672,,22839.21673,,159896.3259,,,47543.16547,87492.59193,,,,,,,,,,,,,,,,,,,,,
20020.17161,98434.90486,193577.7873,38213.67914,49986.48869,187630.5115,230086.5478,226035.4468,75780.2805,240785.0343,256544.2389,357460.6918,307129.248,75505.55624,,428317.2536,512410.3522,85403.59375,119452.7962,188485.7676,,9888.701309,7190.143188,15690.12814,9082.956441,6315.172878,9408.447889,,9145.227108,,,,,,,,,,,8916.632055,14603.23465,,,12453.63339,,,,,,11832.3095,,,,8755.379954,,,,7110.735418,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321881.2216,444042.8302,434033.8243,430399.9345,495325.6207,395920.3916,412075.7199,447625.3191,420433.8907,344051.109,348992,282697.6761,437285.3958,502520.7093,379550.0951,405820.9073,274191.8798,197877.3606,,479855.8839
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84754.16989,170096.292,,,143971.3951,25630.52639,381075.9795,,46984.66966,18232,64500.05483,33014.91857,61814.20894,94367.37973,122034.9484,,332304.971,456467.1451,,30128.0529
,,,14611.52015,,,30172.78456,20233.66466,,20307.29439,12207.9736,14132.59699,,44447.15599,,,44517.23359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135027.0292,,,,,,,,,,113760.2298,197173.6368,95920.54211,196796.238,,271797.7889,,304398.2917,379242.7457,368187.7607,437153.7568,,,430096.6776,278303.5397,45259.93845,,101631.0709
,,,,,,,,,,,,,,,,,,,,45347.89921,318337.5014,,,,567764.4012,,785503.049,336796.818,,453993.9025,276251.0091,,428885.9927,,667568.0711,,377938.5108,,407796.0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15542.39557,21159.61969,31794.66772,10747.22707,14527.48837,45045.10462,55698.60802,17099.6955,32984.05926,63991.05829,31206.16573,42522.7362,49280.96476,23038.65522,,41978.73328,22228.27415,32899.69921,39605.13757,49623.4749,,,40916.9283,9565.195168,13618.17109,8716.75205,,,19096.83971,17286.80701,18303.07681,16939.8773,26671.35866,4653.979956,22489.02525,15428.30483,8690.578543,,8911.858547,13373.71746,,,,,24291.41995,,,,,,,,,,,,,,,,105319.2171,323485.0822,117757.7577,141562.9474,158173.513,153852.6015,322664.0092,421912.9814,249127.4886,45525.8272,168433.1731,112518.8441,248052.1417,310782.333,130748.7597,110536.4266,92086.88018,65475.87908,,243450.1537
263362.7371,57110.76475,137692.1683,262522.1898,149634.6415,131488.5354,147383.7921,213632.0076,280259.28,199660.5199,186771.006,242253.3401,213174.284,253952,19590.1774,221100.7167,242920.7231,265168.4645,101245.2404,192234.6702,283110.2387,314940.8886,410918.3092,383082.2206,401312.4035,375190.0243,349470.2076,411257.2187,246228.3611,276725.6369,269366.4823,274022.5191,244478.4386,353941.3452,298772.2787,223614.5814,282685.1116,261048.0598,231039.3643,355150.306,125648,89887.16179,133502.4736,63945.32536,87031.40002,105107.5079,180136.7853,151405.5044,126567.236,116457.5604,72863.90311,157239.1877,194195.9028,103916.5437,61958.31397,122707.9066,94235.33342,135607.3349,40230.77979,161862.3037,157533.8034,241996.6051,20538.40406,287523.1085,295680.6606,112062.2904,272960,174841.5994,211872.5707,137316.3231,132611.0798,101081.4943,140078.6913,261172.2594,158142.9738,248404.3238,123886.9086,95729.89248,144302.3787,283405.6829
,,,,,,,,,,,,,,,,,,,,64131.07673,107438.705,108058.5982,123122.0446,133175.6065,146289.6294,106295.7838,181336.3615,126028.8072,65183.58539,,,58928.44118,82991.09577,91426.82542,63088.7655,,,,80189.72622,,,,,,,,,51458.42777,,,,,,,,,,,,,,387040.9866,,,,,,,,,,,,,,,,,
3873.623305,,,,,,9751.148758,8240.818108,,3715.869833,,,,15570.82182,,,,,4768.082364,5179.411986,384464.2906,14806,20571.79907,12351.644,172573.054,48834.41123,28395.47069,19990.07716,18628.6068,,17809.72385,16321.39779,20337.96323,16524.44179,24427.53446,18443.42395,35955.58754,8224.177574,38863.36168,17743.09237,,,,,,,,,,,,,,6190.314781,,,,,,,,,147841.3316,,,,,,,,,,,,,,,,,
31508.84219,35125.33707,28053.08009,40781.30561,32767.2744,24304.31349,37690.95021,44177.42351,52039.62801,32270.06072,44276.57445,39692.63882,45738.47325,41745.55841,7480.675891,45161.94767,58929.61748,42611.52411,23450.51834,49794.66802,27431.39451,,41267.82399,37527.26101,,43638.65968,36213.42168,42575.43209,,30831.94704,32798.38328,35392.83043,38493.16182,32733.24686,,40063.43222,,28959.62758,27903.3772,52337.50319,29056.73675,34456.75642,30479.2699,38394.64111,38933.60471,38461.8375,44277.69283,50154.00105,50866.38507,35224.49522,46848.12995,39804.4472,44333.72068,37441.2264,47326.85253,39963.45759,33879.74504,31962.96504,16944.33001,47917.22384,150340.2987,140110.1793,197576.6354,133203.8335,165932.2084,131393.8921,264709.4299,113528.0482,98765.08021,148671.537,,111983.1827,188855.8131,147302.2434,380520.4654,183086.4622,127913.0744,116932.3685,,153475.7839
,,,,,,,,,,,,,,,,,,,,,,,,,,,14653.49575,,,,,,,,,9441.095409,9395.385901,,,,,,,,5707.304503,,,,,,7811.119762,6526.636016,,,,13313.81813,,,,135974.0769,197287.2542,299213.1396,263758.7265,312169.4117,186108.9887,367486.2957,246679.3779,286064.175,213481.6099,206540.6045,165072.5426,359680.4831,251207.953,256225.1978,285335.8487,238578.6448,184245.1357,,214994.9025
32713.87609,22997.53802,21288.31161,39883.08133,19052.44748,22724.49076,24437.01807,35464.20095,46875.44049,38075.31815,30833.68413,41945.39314,33434.61092,31806.36787,8993.966623,41004.87521,44380.20837,38801.49536,8053.438474,28121.12073,,102962.7113,93165.49824,63303.08761,151518.1728,94296.51374,126582.7691,120088.7214,126370.4314,64001.39427,150051.9734,86544.07018,78425.1075,,112600.7482,121415.0511,38630.91252,52660.00597,60293.91316,93935.62806,25438.01674,16017.23931,10746.46556,15827.87609,31317.72987,7499.599136,20964.77269,17283.93242,22570.44991,19967.61034,18340.95652,21346.37696,28593.98843,,12054.50527,11208.07722,,20433.48722,,19332.98374,,,,356032,,,,,,,,,,,,220528.4588,84851.30931,,,
,,,,,,,,,,,6735.693771,,,,,6176.817288,23019.21809,15693.74129,,13658.74707,24233.73048,33599.90168,43951.50862,43159.97409,43487.08819,38482.05723,36585.61053,23878.78688,31758.27223,48233.23324,47173.48213,50147.38335,24162.74595,,34857.89592,49374.86505,50083.13224,62909.32133,42128.74108,36259.55127,,,25056.56994,26742.31936,13144.94317,26155.25408,,31019.20364,36827.22655,13455.16749,26575.55281,50409.04235,27173.28413,,,13006.96222,34391.13757,32805.58108,13176.04948,56424.07737,212412.7844,55088.4914,88472.90584,308469.0968,244981.5749,145912.9571,319340.3262,,280449.8595,,,,350500.0774,102698.4681,,,,,
,,,,,,,,,,,,,,,,240697.5202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38323.56804,132347.5964,220069.1328,232953.7989,276838.9723,175120.8322,340139.6328,115321.5079,282992.9726,168328.9446,194747.5248,141033.1148,301260.9003,134130.1752,279008.5246,197851.8786,154095.3809,83029.131,,99064.72498
,,,,,,,,,,,,,,,,,,,,52749.46776,77942.22089,94252.21449,37464.86148,82579.76523,80460.69972,82764.9401,95659.17319,76459.41049,58999.17767,119361.8514,79833.1094,68314.6414,67405.55959,67216.23008,34854.16228,87990.56665,72764.04338,72112.60561,71430.89074,,,,,,,,,,,336820.5862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,39330.1903,,,28925.02208,,,,69239.42103,32666.26154,51280.56004,53897.08107,,,61988.05466,55584.5265,,29452.49207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93399.90675,121867.0874,26237.14881,32091.54361,176025.7281,88066.80296,160204.8974,156397.4328,171268.021,235408.7482,238827.9732,174852.9583,336088.8367,138687.5402,48623.56562,48827.24327,80830.62186,77729.75331,,171605.2289
47840.46187,,34797.26253,48230.19205,,,49930.2101,,78567.75715,57374.47337,59046.82499,63877.74046,,58428.61568,18928.74183,77208.08687,87437.5523,83413.43007,63194.93903,54903.88147,,,,9053.182378,,,,,,,,,,,,,,,,,,,69330.70122,,,,,,,,,,,,,,,,,,277904.6303,281135.6136,,228530.3873,235929.6457,187179.2249,184141.1743,325537.6468,225506.1166,196947.7265,,,,232062.782,,,,,,211257.8833
14211.61542,,,,,,,,,,,,,,,,,,,,72181.97398,,,62156.74398,,,,,,36239.1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132225.9467,319956.7073,222161.7469,260583.5295,238397.6892,160461.2598,236297.8866,214428.5222,279968.2951,180004.6139,202436.4831,,,303053.5058,175513.7235,167818.9122,145525.6837,,,315771.6526
21254.29322,37429.78406,,16339.00143,25220.42232,32325.45436,,48713.67425,21328.50563,,,,65481.59552,,,,,13439.02542,,,118321.1201,100896.1914,27654.03428,84047.69315,34240.81594,97123.30021,104455.3706,121087.7944,87657.53932,91862.65937,74136.03026,102766.53,111686.8085,131394.1611,107352.6425,82364.53213,107120.788,99185.45597,97074.77766,132864,94622.89672,81476.94852,,88656,81222.91579,82052.2781,94277.59073,114409.237,122878.4361,104423.4938,106416.2387,114946.0375,140416,97833.34704,107387.2949,112075.75,73651.56868,91373.713,73713.97548,96592.65741,142886.1124,173914.7286,253099.1007,224770.4104,263855.4406,231421.5618,318715.5481,,,,,,,,,,,,,
38336.3522,82276.89662,25856.61662,129379.8792,52684.30317,110614.1049,85818.60412,65232,65736.80115,93569.73238,87578.47937,90664,207310.9838,42793.93623,,86085.70078,115768,185441.8472,29068.96412,113080.6498,40698.89972,62251.65918,59995.20871,34659.9812,,17425.73834,93300.71934,68685.34833,26794.5597,18660.89507,80219.80818,60636.95123,51334.63147,50618.34639,28358.3012,23775.5846,17185.97661,23270.56513,26528,96806.92546,65835.59129,33786.9042,40198.32487,64869.95898,60519.2994,,62650.5861,30897.30672,140665.994,99207.92378,123907.6159,136390.278,315504.7902,120214.8772,11811.91833,14772.15732,13457.24012,213312,,197081.9922,,,,,,,,,,,,,,,,,,,,
,,57605.47537,,,,,,,28253.57738,,,,7086.748001,,,,,,,72133.8541,,,78489.98564,310101.1815,,,46699.7592,,74737.52413,225015.6986,142964.7423,79014.18869,,163315.7285,,167239.3544,,,100899.1248,,7449.836042,,,,,,,,28839.72566,,,39872.05963,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10611.50829,,7618.439523,,,,,,,,,,,,,,,,,,,,,,,,,,9265.960934,,94984.91286,225308.3723,123744.4618,89131.03755,253420.6621,118591.1271,119949.1771,66089.43748,301428.0036,176483.6132,81658.06525,133967.0667,127268.31,276410.3934,140998.2178,120498.4519,40581.65635,77953.51859,,214065.7439
,,12122.4515,,,19711.15072,,,,17422.54542,9804.973176,,15340.54968,,,13189.99382,17804.33108,,18155.83107,,,,,,,,,,,,,,,,,16995.24196,,,,,247754.6704,163241.5574,101091.7283,141888.356,50195.91254,141300.7373,241324.9681,299990.2605,233726.4772,187300.1372,235247.4468,171492.681,220972.9619,129234.2497,222477.5545,199029.0989,53140.66465,189952.4986,118828.578,86592.21845,,,,,,,,,,,,,,,,,,,,
77950.55324,,,72928.90083,30702.75496,,,47493.32234,79573.397,,39552.36877,102067.1515,53462.52863,41161.27204,,28916.53853,62875.84472,83350.51644,,,36996.4671,,,64686.64839,53222.19732,52185.3246,,,107039.5498,42952.47277,,65244.3946,,32936.44775,42625.681,32211.99839,41768.28626,40665.90314,50858.742,,,,,,,,36019.71664,,58416.76868,43305.22898,18604.06579,44659.5172,93808,,37526.85417,,,34306.86496,27477.51668,48551.89753,,,,,175410.3796,,,,,174961.3256,,,,,,,247703.5757,286026.3969,,
,26767.55314,27687.63245,,,16802.71205,,17143.24508,,21730.95041,27552,35081.45504,34047.29326,,,40068.50443,34659.55616,,,16250.07259,30017.39423,49569.52745,69344.70649,125803.1055,121498.0476,115778.0123,77856.95955,92359.8977,130288.0832,80608,22099.01571,,48596.71912,42946.76978,277310.7584,47697.94057,115258.241,86058.75522,90291.63583,40187.61463,39029.75591,18695.85315,110647.9059,59434.01757,48213.3984,,54116.75795,,116469.5408,81255.70342,33144,51795.89171,99740.39841,34962.29041,,,,74461.95623,,47365.09796,,103136,,,87272,38074.41559,,41032.30961,201032.2007,132924.344,,32129.1984,32068.23672,42735.50843,102368,,,,,38427.29523
24234.79792,,7878.095925,33403.15529,8007.338458,16204.589,16222.01646,16378,37748.05755,13603.26037,20325.8909,9427.064712,13856.04732,,,22834.34708,21054.18017,35276.95752,7163.480733,15835.90818,160576,215451.0171,241173.7061,220173.8527,237911.684,273145.9735,267723.9207,248128,215439.7429,115197.5996,273280,194528.3596,200434.9438,212828.075,53133.72536,133465.5861,136489.9117,159275.315,218480.4458,242953.6694,,,,,33825.02217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,79094.71281,164871.8058,173998.6752,136644.7118,,155840.4563,251339.429,270245.6409,127068.4916,150747.2703,112282.4957,142607.3576,134510.0375,152932.757,128514.6265,201081.1113,234853.7743,175427.2779,205364.7762,187893.0226,,9144.101076,,13967.66628,,,9981.481739,15589.48901,,,,,,10089.59225,,,,,,,,54519.83092,,,139284.9965,,104419.3076,,55703.75404,,,,,67329.75381,73232.99971,,,,,47737.12779
32362.04305,,,25510.53267,22403.54661,,,21082.09416,,,,,,26419.80865,,,,23621.60029,,,,,,,,,,,,,,,,,,,,,,,,,30283.66379,,,,,,,41917.11276,,,,,,35349.50194,,22763.14986,,,49218.99731,196002.7182,32213.12175,33397.85585,223447.7267,170194.1275,54334.78805,203150.5163,256073.9562,74350.61952,35670.65451,21249.66976,145585.8432,269488.6962,91383.68696,97715.55458,39641.76505,37483.95005,,235861.8668
141558.314,25396.13774,45675.47912,197119.6661,57558.22973,29209.40978,41330.83579,103239.8231,242697.7494,22720.97674,46513.89879,55654.45223,43287.05459,48122.10081,,49513.98589,45625.30446,266965.4333,23010.14415,26124.70757,27615.73314,13320.78921,19198.27171,105351.4272,21567.85908,18332.26231,13266.98219,19400.94155,24241.41965,86643.07468,42585.58825,87052.84251,76300.96907,31149.16071,30034.32041,71621.36376,35827.81975,28096.66267,56810.77378,39546.45764,,,14516.75649,,40690.73281,25534.91711,14301.65542,,20762.71257,24087.73476,13857.16614,22765.96239,27849.6244,,28253.15868,32884.87187,12752.8597,13992.84982,7291.991929,20562.08394,,27093.76087,21932.91588,32909.76192,52471.73646,47577.78778,40409.27298,22887.6079,21526.30156,16725.60711,16845.63457,19908.45498,30233.42936,32721.00767,,35167.63742,,12293.56096,,33503.68492
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39379.36248,76306.46544,,16191.41843,141545.958,39357.88481,50587.99815,186993.4537,128825.7451,169630.2204,264450.0549,77181.25361,162300.7607,58983.86623,234549.6806,15170.80877,104218.3461,88762.69369,,68507.70538
11771.27996,12914.67787,12509.99608,14856.84456,5104.441646,12373.48447,13340.80241,16405.81423,12869.0467,9659.825824,9993.056571,7530.468944,9913.584512,16845.39643,9950.78295,15221.29738,19573.39772,12389.77551,25058.0256,18168.02828,4695.806154,11869.45249,11842.15398,20502.13823,22404.41188,7259.00281,25119.66367,5711.062656,12341.08502,7267.24353,25945.01064,11851.59438,24047.22896,17014.98097,5604.890587,13455.32598,8686.890153,7734.062999,8466.28444,22909.76877,2258.368502,3038.524284,1878.324948,6064.931584,5061.872912,4671.504279,8892.705672,7125.943159,6649.389696,3011.791571,3066.579197,8215.941057,15291.65756,5246.024215,16841.35048,12420.92012,1933.095069,8528.558388,21619.04023,2923.548254,142306.42,131941.4433,84172.88338,89239.80423,175190.9264,138030.2431,224876.1516,216448.0929,160602.2174,221612.7708,262155.8418,123324.7081,183811.3893,181625.1546,235744.7118,135119.3728,146413.0828,165415.3041,,153975.4543
,,,26397.61291,,,,,,,,,,,,,,,,,16189.28195,,24162.54882,16123.38917,16171.66793,,14495.03211,14446.22732,,12668.28355,11786.76019,20970.74733,,,22290.96919,16203.35845,19429.81105,,14917.76128,,,,,,15514.79289,,,,,16102.98832,,18762.78845,18964.90715,,,,,,,,55764.55814,131491.3533,,,235047.1049,262095.6731,,250131.9356,171120.7166,,,,208430.362,200603.0913,46094.17622,,,,,216792.752
22753.04824,17725.52462,11611.10168,17249.26251,6983.797066,12635.50239,11739.37107,16089.80653,24375.548,23536.70006,21665.08868,19960.34518,27881.01963,21716.67003,4693.250566,16163.74288,17143.49477,22553.89966,12006.99676,20529.88518,46320.30059,51611.63531,52982.22577,51189.97374,58982.86153,62936.0121,50672.06934,68263.45553,57917.26067,52838.1759,65725.86927,49373.56159,68051.27485,56279.51839,44615.11416,40445.73308,46667.22611,53452.4241,49745.72597,74306.68286,14162.9754,11475.37778,7381.412311,9223.565649,14324.97916,11988.81272,8742.82048,15160.17665,16100.03737,11525.09562,16772.7002,12649.21439,16427.42389,13121.98486,13585.98534,10615.53646,6457.347218,7491.905003,8565.59589,15542.94864,261408.5082,103489.6066,130552.3903,118138.9233,143125.0196,135780.6513,179164.1165,,153362.5452,,,,,,,,,,,154048.7796
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42267.10858,40293.23335,75343.28704,34451.47,34369.11865,74702.33141,97467.15015,234243.9911,77361.55754,119983.5316,72421.87201,165821.7598,100506.5127,44494.01278,61724.22345,152785.3802,247809.7727,,45823.34294
26792,9751.316634,,18186.74042,10657.51112,,12062.21771,10649.79942,30990.47803,9476.402043,,15147.61002,15030.42191,12011.40913,,,13162.96529,16506.45712,8710.605687,12719.62447,90136.83878,102818.747,83680,96568,147222.544,71971.23819,60236.09034,245879.5947,180933.6696,66888.39499,62855.34244,46115.8187,39128.81541,64952.27875,79052.56193,37005.55953,62696.47544,48304.01541,48126.18402,58200,28819.39765,14835.59659,26848.5608,20288.34781,27793.88689,,14858.03824,16904,70290.24952,35702.0619,16153.6004,41186.90562,51314.22214,20231.85097,23205.93464,,9191.633767,25748.73049,62387.62583,24157.35322,83787.97851,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,13470,,29897.96229,22969.26982,,,,12402.02666,,,,15975.29576,13132.86278,14806,,,,,,,,,,,,,,,,,,,,,,135087.9781,160633.591,,,118898.0378,169522.8804,171106.4043,124995.9957,150080,118351.4638,45297.34486,75756.96937,76003.11648,130903.7233,167946.1209,245675.3754,214927.96,,,120700.9217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149685.4731,139154.6667,168256,111304,165603.4156,107681.4039,244429.8098,165603.5263,132733.8171,146019.3048,158555.2188,101155.7466,152803.4027,130272.5616,174221.5967,178920.6719,141084.0971,137723.8011,,161035.5003
,,,,,,,,,,,,,,,,,,,,53899.99414,136097.8559,115792.7964,111404.4636,107173.8377,127227.6798,124917.7964,237937.5139,167359.5454,82149.83361,,109642.4476,,136449.9344,51154.62589,,110305.8012,112623.4187,117833.383,193170.8699,,,,,,,,,17412.9734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232982.2899,204188.468,,,137599.7838,90000.00607,,116275.7815,237621.2258,212170.9589,49645.51119,95182.24796,57193.67804,77520,86485.78974,,63428.20079,,,100020.666
,,11046.91606,,,,,,,30412.16499,,,30240.02512,,,32392.32689,18062.90443,15113.5171,,,,,,,,,,,,,,,,,,31373.69283,,,,,,165408.3604,,127955.5911,77613.0609,140754.7693,,,236003.5238,,,167792.3772,39288.08276,147575.0305,,49038.85661,,207698.7208,,133774.8267,,,,,,,,,,,,,,,,,,,,
31890.0052,70609.43513,29900.86639,69637.54966,46615.55943,69187.5649,69174.69876,101860.5354,41620.00487,52234.49051,52808.65958,59802.81146,29870.69088,66262.21703,9924.822754,33950.74903,77440.1552,51277.73437,15404.90128,75080.50572,,,13758.05402,20053.11551,19288.95964,35576.24651,21138.80054,,,11121.83591,8236.829999,29115.51448,24932.98411,,17360.22716,55225.71959,10103.369,38787.81745,231473.9281,15446.65653,,,,,12159.50487,,,,,19286.80574,,,34203.03686,,30340.85036,18717.86124,,18903.96541,,22203.31002,19890.60794,,15282.93155,57487.26047,46248.73224,34757.22759,,,,37341.36326,,,,37820.92623,,41894.78817,73893.089,,,35052.82995
