massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row107	106.0	700.5295	54.318	0.004615591968082721	3.0156340690218655
row108	107.0	762.5298	39.585	0.02241851794169149	2.383033025930715
row109	108.0	739.5129	46.141	0.0011654371656115651	3.5194811573583293
row110	109.0	627.5575	30.205	0.04197463661806669	-2.1068094037734175
row111	110.0	1140.5954	28.002	0.13515286896584713	-1.5274527806605644
row112	111.0	819.5178	32.481	7.980807630383798e-05	4.433842743560574
row113	112.0	819.5182	32.574	7.796377615904722e-05	4.441570938534965
row114	113.0	1140.5954	27.83	0.27130283774834446	1.1167456565960097
row115	114.0	332.2676	28.295	5.795002566824487e-07	6.025713637809022
row116	115.0	788.5458	40.014	0.003916171544071864	3.077623793771016
row117	116.0	481.3131	26.305	6.851275015354485e-06	5.233075100056221
row118	117.0	390.2945	26.456	0.020918657841300203	-2.412462446922095
row119	118.0	284.2681	34.144	0.39677814257866284	-0.8573367165694731
row120	119.0	223.0287	22.034	7.989582796553399e-07	5.922720805923621
row121	120.0	528.3104	22.539	1.9517040892136618e-10	8.66616110682989
row122	121.0	714.5089	46.181	0.045472004876736014	2.0701480423308602
row123	122.0	790.5612	45.073	0.28600673288394307	1.082564409796233
row124	123.0	788.546	40.207	0.12711414825881237	1.5606747425055938
row125	124.0	241.2177	25.124	0.02443376005645445	-2.3461774250965193
row126	125.0	841.5028	30.515	1.803585247482059e-05	4.920388052041455
row127	126.0	390.2947	26.695	0.15231672772926422	1.4615114061352295
row128	127.0	330.2522	26.318	1.392870824766874e-09	7.996611562734259
row129	128.0	788.5457	40.422	0.024224349646267403	2.3498767011639603
row130	129.0	270.2524	29.517	0.8998952518700762	0.12666009704810746
row131	130.0	213.1863	21.341	0.09521452094460345	-1.712285718846156
row132	131.0	655.5528	61.996	0.26757884022246553	-1.1256108100564781
row133	132.0	270.2523	30.121	0.00040854244417425566	-3.884890616948837
row134	133.0	766.5399	52.852	0.6661275243537161	0.43494682288677505
row135	134.0	683.5841	64.815	0.9608322195228556	0.0494429825474775
row136	135.0	462.2994	24.699	9.583368458696018e-06	5.124907513766785
row137	136.0	365.1821	33.307	0.2808859828301053	1.0943240720191998
row138	137.0	464.3144	28.238	0.0002954620451532767	3.9955005702096473
row139	138.0	646.6155	62.435	0.00011148127616605666	4.323018850644168
row140	139.0	790.5611	45.583	0.2860067328839431	1.0825644097962328
row141	140.0	418.3258	30.187	0.22639961122445068	-1.230165101644394
row142	141.0	297.2441	19.375	0.009761612841439612	2.725016657930089
row143	142.0	481.3131	26.411	0.0029101281003664553	3.188238456426595
