Brain1,Brain2,Brain3,Heart1,Heart2,Heart3,Liver1,Liver2,Liver3,Muscle1,Muscle2,Muscle3,Plasma11,Plasma12,Plasma13
7889,29720,9999,96277,74688,113181,19277,19073,12843,647209,659115,633000,784735,177766,780189
0,2829,0,22156,11163,35566,38715,59301,45561,157261,168188,206158,501502,118359,410775
4309,4295,0,0,0,0,438,1980,7751,32421,7815,5150,125931,19601,114839
248521,201168,244520,462665,453232,453455,215600,167404,178879,899081,789834,926107,459840,108765,470150
0,0,0,46399,70946,46445,250891,328368,336066,292717,315603,325285,314718,88195,297479
0,0,2096,361,0,8244,0,805,41297,73294,318,0,58025,5760,51876
0,0,0,7152,4580,5240,9032,6066,4568,51794,58556,55150,92649,27879,86425
104443,109327,120843,564022,623366,582992,16391,18633,16327,921932,918153,942578,138500,47206,146936
5995,5868,10461,165001,180082,149460,0,0,1879,247649,251635,279341,124901,29231,99934
36904,28579,19009,362674,372377,308648,2328,6101,3998,694462,859460,771547,297586,75871,293417
0,0,0,126229,129384,114383,0,0,6452,332339,362622,370012,156978,36138,208174
0,0,12108,431427,512716,431700,38222,50853,35875,14340,18127,20751,3054,381,4006
194643,204620,251319,4957359,5038536,4634056,157035,189984,184702,2537344,2587737,2875641,571869,160249,618530
29628,28263,36302,352486,406678,373114,0,721,4554,1090445,1167732,1108351,158198,34871,158393
0,0,0,112189,108813,102449,0,0,0,362831,344509,390480,11285,0,13809
11805,9676,16860,986974,1030390,920124,114113,133650,125214,40002,54722,53004,10778,2377,8257
12973,9372,8504,419062,473804,426244,34533,34537,30979,58886,67599,66992,11317,6724,13908
11405,1445,85062,52851,90132,57153,9617,8630,4541,6580,5352,5684,14851,3734,21730
344510,384956,443578,20027098,22129778,19745150,1386259,1486667,1499788,1562360,1726896,1734980,315438,89820,297660
261144,252399,292819,2532174,2476015,2455984,95878,110919,95708,3339020,3472094,3316371,702642,175592,652944
10716,2141,4759,4757526,5475907,4774206,343065,374749,385461,1824260,2010808,2010165,361766,91448,366351
6422,10614,9992,1176691,1226182,1145885,403289,460211,437813,3022,2082,2934,3132,2678,7687
10077,7030,7531,1037884,1155190,996601,29171,39301,45839,8186,10176,5130,3729,2925,4666
123656,102698,144933,32494984,33060268,31695818,499641,580013,596671,91240,103648,94028,87796,40562,72544
67684,67124,83755,6428962,6674375,5821830,46186,75714,62712,128570,143375,134982,27881,0,11393
2800,0,0,623073,700864,630376,0,5320,2278,99754,128069,115757,6039,2152,5724
0,2285,0,334029,343869,312655,93976,127671,106766,36527,48917,55977,10565,0,4342
100601,97637,108409,1199767,1403912,1164481,177162,193446,200963,190118,198119,210550,2844,0,6429
4012,8758,11025,1495684,1535835,1427658,1078520,1294836,1255811,15245,8077,7526,15967,4313,9816
3188,2656,0,490624,588575,526757,423754,494853,487058,0,0,0,0,0,0
23642,35421,38815,8324898,8565351,7925090,135247,152511,173761,15643,15548,0,3878,5736,9815
100581,103957,114751,7600133,8669292,7606068,80719,107360,111663,8280,7289,11575,3546,3820,4002
0,0,0,1247558,1317360,1259806,2660,3151,0,0,0,0,0,0,0
0,0,0,283130,356906,253386,23196,37316,47066,0,0,5469,0,0,0
0,5741,0,906251,945246,803441,12820,21846,27250,24241,24822,15418,101812,14124,103588
21554,5632,15742,1213014,1209826,1229110,4969,10426,6068,0,0,0,0,0,9967
0,0,0,473398,510063,461537,0,0,0,0,0,0,0,0,0
65094,54111,46013,389803,414902,368330,57404,32043,41259,188157,189985,219734,120695,91753,108684
12053,8127,14558,153822,178076,164597,20189,40784,27025,381808,392767,404087,68633,17789,67611
25022,22994,12694,46446,60153,35639,22311,19207,24683,483747,539273,576330,345904,88202,303440
1054,2713,3104,8151,5584,4727,6362,14618,7259,507523,495590,566211,502283,153565,471843
1041114,1036890,1124770,13379356,14111106,12329489,1006671,1129587,1150348,23684726,23621806,25169568,3349601,1087233,2438552
0,0,0,0,0,0,0,0,0,0,0,0,26897,0,6096
0,0,0,0,0,0,0,0,0,0,0,0,1127921,209050,602392
0,0,0,0,0,0,0,4825,0,0,0,0,5434887,1072239,4571432
0,0,0,0,0,0,0,0,0,0,0,0,50444,0,25694
0,12661,9537,0,0,0,0,9225,0,0,0,0,26564737,6961412,22854183
86275,96148,98014,362803,466465,600993,3658919,4619265,4624161,41075,30915,67493,245709800,69319081,212052503
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,53139,72324,68287,0,0,0,6254769,1238379,5880969
0,0,0,0,0,0,0,0,0,0,0,0,157861,0,169242
0,0,0,0,0,0,0,0,0,0,0,0,48108,0,79204
0,0,0,0,0,0,24187,58694,43992,0,0,0,3705566,1101912,3533322
208112,198515,265590,0,0,0,179313,210610,211321,0,25983,51353,51299504,10935065,45969248
0,5576,0,0,0,0,0,5621,7894,0,0,0,5061595,1314456,4844622
14182,13692,5030,0,0,0,0,0,0,0,0,0,395737,44232,459890
0,0,0,0,0,0,0,0,0,0,0,0,125023,15614,142598
0,0,0,0,0,0,0,0,0,0,0,0,144221,9487,165096
77622,67079,60378,0,0,0,5393,14796,10645,0,0,0,5266164,1457387,4848810
0,0,0,0,0,0,0,0,0,0,0,0,730558,192346,743568
0,0,0,0,0,0,0,0,0,0,0,0,805714,200017,750817
120510,121515,229125,58314,51555,48387,5650387,5245185,5487411,8622,9047,14183,0,4228,0
39422,39953,36029,18011,27108,8990,818438,999014,981388,15382,14565,6166,0,19528,13807
70474,66054,63659,10210,12153,11925,3519758,4045336,4167510,6080,18449,4425,0,0,0
0,6219,15860,0,10554,16883,5891506,5959514,6552810,0,0,0,0,0,5975
101093,83768,149242,116707,167532,108842,7277544,7024960,7690926,75822,90248,86003,77949,96554,57316
96584,73678,113817,0,0,0,2311607,2771306,2941191,0,0,0,0,0,0
0,0,0,0,0,0,517567,471236,572725,0,0,0,0,0,0
0,0,0,0,0,0,4795650,5087488,5185431,0,0,0,0,0,0
867827,1037916,1815376,196779,204065,183398,1118840,1187713,1313484,66351,56905,76642,74074,49473,84959
