Index,Vip,Metabolite name,Average Mz,average RT,Brain1,Brain2,Brain3,Heart1,Heart2,Heart3,Liver1,Liver2,Liver3,Muscle1,Muscle2,Muscle3,Plasma11,Plasma12,Plasma13
45,,1_PG 17:0-14:1-d5,729.5466_734.5021_712.5198,4.185333333,2376829,2134991,2487599,2237637,2283270,2283495,2148303,2178605,2197103,1890242,2075934,2245059,2477311,669065,2478579
46,,1_PG 17:0-16:1-d5,757.5784_762.5334_740.5502,4.675,3572510,3710135,3767939,2648996,3017430,1814824,1520975,1755882,1746645,2197152,2244636,2207962,2727725,922482,2840897
47,,1_PG 17:0-18:1-d5,785.6102_790.5648_768.5822,5.226333333,4993340,4082469,4177951,16464197,16765665,15841076,7207271,8644323,8640007,13227692,15526765,16631941,5054491,1123188,4607250
48,,1_PG 17:0-20:3-d5,814.5679,5.223,1576524,1645220,1840230,3150105,3052102,2920499,12753547,14237329,14934059,4221836,4670906,4820093,466921,69495,250422
49,,1_PI 17:0-14:1-d5,817.5634_822.5184_800.5367,4.017333333,1551744,1635304,1926808,1942194,1891384,1723785,1540422,1667981,1781010,1495357,1752597,1701123,1917634,429799,1813900
50,,1_PI 17:0-16:1-d5,845.5945_850.5501_828.5678,4.493666667,2789459,2878901,3128316,3171993,3179136,3124762,2391808,2686849,2814187,2711964,2713838,3045832,3088424,886015,3351365
51,,1_PI 17:0-18:1-d5,873.6264_878.5787_856.6002,5.039333333,2908485,2801456,3535270,4026785,4399357,3598061,3003610,3192365,3435393,2879453,3662719,3961196,3777931,1040326,3800300
52,,1_PI 17:0-20:3-d5,897.6266_902.5829_880.6003,4.771,4567390,4664672,5017866,6873288,7657881,6832408,4429496,5197285,5689604,5522263,5850705,6190218,5792986,1528914,6399965
53,,1_PI 17:0-22:4-d5,923.6412_928.5986_906.6141,4.932666667,1318599,1214409,1648790,1321853,1314312,1181438,1152707,1447607,1491000,903733,1013681,1087676,1285772,266954,1302846
54,,1_PS 17:0-14:1-d5,747.4981_725.515,4.135,1495220,1448462,1635628,1694770,1649997,1605845,1380226,1541323,1547731,1279626,1460993,1485344,1553186,306100,1546359
55,,1_PS 17:0-16:1-d5,775.525_753.5469,4.6295,2583266,2849389,2848789,2909954,2975501,2668488,2249544,2673562,2930825,2474524,2623416,2551250,2826846,586283,2653009
56,,1_PS 17:0-18:1-d5,803.5567_781.5794,5.1875,3910105,3785332,4325405,4603342,4800680,4373823,1725330,2319485,2435122,3445323,4118554,4140756,3536124,709185,3719433
57,,1_PS 17:0-20:3-d5,805.5789,4.865,4372838,4306632,5054372,852360,737536,498821,644324,588587,735290,678554,627789,609605,996561,89367,825914
58,,1_PS 17:0-22:4-d5,853.5755_831.5953,5.085,593620,594475,838582,1147654,1230827,1133740,375741,463656,370891,883255,1013333,1089487,733607,48432,881550
59,,1_SM 16:1 (d18:1/16:1)-d9,732.5999_748.5742_710.6181,4.235666667,36224821,34078802,40698107,31002782,34144714,29489937,28514615,35932222,33517650,23734710,27543331,27045347,38784906,6626745,36770402
60,,1_SM 18:1 (d18:1/18:1)-d9,760.6324_776.6049_738.6496,4.805666667,96447841,91015049,100233319,62702101,59579156,51646584,69194623,77307526,78887298,49897797,54945011,56634340,59205706,9694613,57363229
61,,1_SM 20:1 (d18:1/20:1)-d9,788.6635_766.681,5.387,15847585,14984596,16188610,13580258,11999402,11253014,14871938,17031312,16720118,10558922,11613728,11344582,10813618,1664995,10866178
62,,1_SM 22:1 (d18:1/22:1)-d9,816.6951_832.6694_794.7124,6.009333333,33032728,34488896,39564854,23982376,25850137,20979125,21744266,23933991,22890597,14307631,15766696,14591135,16551116,2583782,13926523
63,,1_SM 24:1 (d18:1/24:1)-d9,844.7264_860.6999_822.7444,6.651,23598301,24830150,26719520,20085945,21439572,17950853,17359484,20071686,21293436,12991786,14568512,15253726,22354289,3419982,23566025
64,,1_TG 14:0-13:0-14:0-d5,731.6947_736.6498_752.6243,9.088,13104741,13401133,17788984,6139730,6881488,9538780,11625920,11121122,12037434,6981242,9055759,10057326,18393925,5132740,17094211
65,,1_TG 16:0-15:1-16:0-d5,813.7737,9.121,170998,178697,194048,100012,125524,176500,143810,152893,143840,61294,82563,65617,163315,17691,170882
66,,1_TG 16:0-19:2-16:0-d5,867.8209_872.7758_888.7474,10.59566667,21880454,23514002,32170942,5344112,6760604,10455476,14999457,15235155,17113029,7210020,8245611,11235118,38576996,10952174,37598144
67,,1_TG 18:1-17:1-18:1-d5,893.8363_898.7919_914.7632,10.57866667,36901996,36324352,45384113,20576620,25129503,30895552,23830237,29006887,31010281,11057850,13000308,16849633,41388295,10745009,37593888
68,,1_TG 18:1-19:2-18:1-d5,919.8525_924.8084_940.7791,10.631,23977601,25506969,27986478,10968914,14247641,18419423,15225432,16654296,18151113,6858524,7877801,10196566,24885593,6592651,25461190
69,,4-Imidazoleacrylic acid,139.0504,0.436,97384,60758,45301,189839,122000,66447,207108,177275,203438,61577,42535,32923,2823896,101995,694166
70,,AHexCer 52:3;3O|AHexCer (O-14:0)38:3;3O,978.8144,6.226,126790,90567,137455,13986,16311,11872,46144,33233,15500,14783,25753,11568,0,0,0
71,,AHexCer 57:3;3O|AHexCer (O-14:0)43:3;3O,1048.8922,7.895,0,0,0,22234,25522,28670,553396,502074,532987,0,0,0,8465,0,6651
72,,AHexCer 58:3;3O|AHexCer (O-14:0)44:3;3O,1062.9078,8.207,0,0,0,42096,57459,45372,566224,502573,590050,13393,16871,26152,99821,23369,95648
73,,AHexCer 72:5;3O|AHexCer (O-30:1)42:4;3O,1255.0834,6.822,172370,200101,192767,166896,196846,172855,260216,303945,287140,45261,56943,47003,125262,0,108209
74,,CAR 10:0,316.2498,0.568,7889,29720,9999,96277,74688,113181,19277,19073,12843,647209,659115,633000,784735,177766,780189
75,,CAR 10:1,314.2338,0.528,0,2829,0,22156,11163,35566,38715,59301,45561,157261,168188,206158,501502,118359,410775
76,,CAR 11:1,328.2498,0.564,4309,4295,0,0,0,0,438,1980,7751,32421,7815,5150,125931,19601,114839
77,,CAR 12:0,344.2811,0.72,248521,201168,244520,462665,453232,453455,215600,167404,178879,899081,789834,926107,459840,108765,470150
78,,CAR 12:1,342.2651,0.633,0,0,0,46399,70946,46445,250891,328368,336066,292717,315603,325285,314718,88195,297479
79,,CAR 12:2,340.2495,0.588,0,0,2096,361,0,8244,0,805,41297,73294,318,0,58025,5760,51876
80,,CAR 13:1,356.2805,0.703,0,0,0,7152,4580,5240,9032,6066,4568,51794,58556,55150,92649,27879,86425
81,,CAR 14:0,372.312,1.036,104443,109327,120843,564022,623366,582992,16391,18633,16327,921932,918153,942578,138500,47206,146936
82,,CAR 14:1 isomer A,370.2965,0.865,5995,5868,10461,165001,180082,149460,0,0,1879,247649,251635,279341,124901,29231,99934
83,,CAR 14:1 isomer B,370.2965,0.774,36904,28579,19009,362674,372377,308648,2328,6101,3998,694462,859460,771547,297586,75871,293417
84,,CAR 14:2,368.2808,0.694,0,0,0,126229,129384,114383,0,0,6452,332339,362622,370012,156978,36138,208174
