massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row216	215.0	820.9996	5.659	0.05289499286006011	-1.958561062140214
row217	216.0	274.0097	3.227	0.0602496802441455	1.9000573868043664
row218	217.0	249.0065	0.616	0.003291842320387374	-3.0100526699315453
row219	218.0	301.0011	2.718	0.18572763583317395	1.3323090698732474
row220	219.0	405.174	5.209	0.07428568598240629	-1.8033492041818804
row221	220.0	539.2466	3.859	0.6147557540651398	-0.5048463501370101
row222	221.0	666.0555	0.336	0.161398976659692	1.4106207933291772
row223	222.0	903.0021	5.668	0.2727563763519125	-1.1026908658304915
row224	223.0	355.0336	3.557	0.1468617379064875	1.4618306208120238
row225	224.0	700.1941	6.677	0.2347156130514665	1.195366622226963
row226	225.0	566.0397	5.644	0.1922720166057866	-1.312574902228253
row227	226.0	615.2002	3.399	0.9939061043079213	-0.007656383340368531
row228	227.0	144.0673	4.707	0.10992332725367741	1.6125908485811504
row229	228.0	144.0463	3.067	0.046263075602098976	2.017565004158434
row230	229.0	321.1288	4.691	0.04011424256401619	2.0791266473247796
row231	230.0	390.1002	3.362	0.10622968424978202	1.6297931361094338
row232	231.0	387.1636	3.121	0.3605311199890483	-0.9184864228568727
row233	232.0	275.0221	1.529	0.012267754825868652	2.5497441746653133
row234	233.0	267.134	3.162	0.180742756818738	1.3476935574587134
row235	234.0	369.0262	0.537	0.5957455838019274	-0.5321989442082505
row236	235.0	985.0056	5.666	0.39429646118179573	-0.8554692652619673
row237	236.0	352.0841	0.399	0.4793595954674692	-0.7099426681663251
row238	237.0	203.0825	3.936	0.08463477236058858	-1.74136399355825
row239	238.0	321.0389	1.662	0.01040879655436055	2.610278906442733
row240	239.0	308.0973	5.792	0.2333724557172646	-1.1988283764552177
row241	240.0	180.0338	1.861	0.13775519709781944	1.4959471589446844
row242	241.0	174.9883	0.395	0.4985794331177398	-0.6791525418491446
row243	242.0	301.0012	1.069	0.034036443456243376	2.148553099915228
row244	243.0	322.0609	2.545	0.7729150594787069	-0.2893313949495938
row245	244.0	168.0307	3.126	0.0018008790860293698	3.2054403751412197
row246	245.0	194.9968	1.064	0.04162846774705827	-2.063251648201872
row247	246.0	129.0564	1.01	0.1924694696879656	-1.3119873486074798
row248	247.0	302.0507	7.486	0.8227599343445299	0.22457402419712041
row249	248.0	345.1537	2.524	0.011108818224318605	2.586418834881788
row250	249.0	402.0507	3.163	0.12916903859246162	1.5297704040486158
row251	250.0	429.1742	3.037	0.32905762723527077	0.9807071054103649
row252	251.0	567.3147	5.342	0.50595981349801	0.6675006327120434
row253	252.0	230.9964	3.512	0.1920555728831424	1.313219482968873
