,position,name,ms_level,polarity,retention_time,height,area,mz,neutral_mass,adducts,p_value,DMEM_1.mzXML retention_time,DMEM_1.mzXML height,DMEM_1.mzXML area,DMEM_1.mzXML mz,DMEM_2.mzXML retention_time,DMEM_2.mzXML height,DMEM_2.mzXML area,DMEM_2.mzXML mz,DMEM_3.mzXML retention_time,DMEM_3.mzXML height,DMEM_3.mzXML area,DMEM_3.mzXML mz,DMEM_4.mzXML retention_time,DMEM_4.mzXML height,DMEM_4.mzXML area,DMEM_4.mzXML mz,KIC_1.mzXML retention_time,KIC_1.mzXML height,KIC_1.mzXML area,KIC_1.mzXML mz,KIC_2.mzXML retention_time,KIC_2.mzXML height,KIC_2.mzXML area,KIC_2.mzXML mz,KIC_3.mzXML retention_time,KIC_3.mzXML height,KIC_3.mzXML area,KIC_3.mzXML mz,KIC_4.mzXML retention_time,KIC_4.mzXML height,KIC_4.mzXML area,KIC_4.mzXML mz,KIV_1.mzXML retention_time,KIV_1.mzXML height,KIV_1.mzXML area,KIV_1.mzXML mz,KIV_2.mzXML retention_time,KIV_2.mzXML height,KIV_2.mzXML area,KIV_2.mzXML mz,KIV_3.mzXML retention_time,KIV_3.mzXML height,KIV_3.mzXML area,KIV_3.mzXML mz,KIV_4.mzXML retention_time,KIV_4.mzXML height,KIV_4.mzXML area,KIV_4.mzXML mz,KMV_1.mzXML retention_time,KMV_1.mzXML height,KMV_1.mzXML area,KMV_1.mzXML mz,KMV_2.mzXML retention_time,KMV_2.mzXML height,KMV_2.mzXML area,KMV_2.mzXML mz,KMV_3.mzXML retention_time,KMV_3.mzXML height,KMV_3.mzXML area,KMV_3.mzXML mz,KMV_4.mzXML retention_time,KMV_4.mzXML height,KMV_4.mzXML area,KMV_4.mzXML mz,VIP
87,66047,#66047 385.1288@11.001 MS1+,1,+,11.001,706364.125,67621.4777,385.1288,,,0.4262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0014,671213.096,64256.408,385.1288,,,,,,,,,0.582933787859764
88,39823,#39823 435.2353@33.447 MS1+,1,+,33.447,38915.4219,5013.5528,435.2353,,,0.4262,,,,,,,,,,,,,,,,,,,,,,,,,33.447,38735.8042,4990.4123,435.2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5871048808583093
89,40067,#40067 357.1471@35.487 MS1+,1,+,35.487,79547.8047,10331.5724,357.1471,,,0.4262,,,,,,,,,,,,,,,,,,,,,,,,,35.4872,79180.6445,10283.8861,357.1471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5871048808583093
90,38843,#38843 588.4091@24.800 MS1+,1,+,24.8,12527.2969,1140.1364,588.4091,,,0.4262,,,,,,,,,,,,,,,,,,,,,,,,,24.8002,12469.476,1134.874,588.4091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5871048808583093
91,20130,#20130 542.0687@8.486 MS1+,1,+,8.486,2317396.75,224186.1917,542.0687,,,0.4285,,,,,,,,,8.515,18528.7973,3895.6266,542.0686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4855,2202075.3775,213029.9409,542.0687,,,,,,,,,0.5878431284286724
92,50011,#50011 380.1122@6.483 MS1+,1,+,6.483,38203.4375,1244.0921,380.1122,,,0.0913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5129,6098.4057,846.8376,380.1122,,,,,,,,,6.4538,28402.9733,11762.399,380.1121,,,,,,,,,6.4835,33421.5803,1088.3712,380.1122,0.59081369201882
93,11881,#11881 499.2050@29.807 MS1+,1,+,29.807,52605.7266,6495.6309,499.205,,,0.1591,29.7965,26564.0857,1208.5513,499.205,,,,,,,,,29.8068,42235.6865,5215.1628,499.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8458,42513.9318,2108.2421,499.2052,,,,,,,,,,,,,,,,,0.5954934442210221
94,52453,#52453 382.2084@33.701 MS1+,1,+,33.701,20282.6758,1708.521,382.2084,,,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7007,16570.5551,1395.8287,382.2083,,,,,,,,,,,,,,,,,33.648,13623.1606,1074.0993,382.2084,33.7115,12235.5695,1257.4066,382.2085,0.5966719216271237
95,27630,#27630 359.1070@25.092 MS1+,1,+,25.092,520133.5,73405.4419,359.107,,,0.4262,,,,,,,,,,,,,25.0922,417600.8366,58935.204,359.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.596824529320273
96,27423,#27423 629.3145@23.005 MS1+,1,+,23.005,16254.3652,1908.0637,629.3145,,,0.4262,,,,,,,,,,,,,23.0053,13050.1814,1531.9317,629.3145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.596824529320273
